By ^in++++=By
six ^cd++++=six
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
three ^cd++++=three
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
wet ^jj+atrb+++=wet
sand ^nn++++=sand
below ^in+pl+++=below
Bellweather ^np+nom++??+=Bellweather
Point ^nn++++=Point,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
at ^rb++++=at
impossible ^jj+atrb+++=impossible
angles ^nns++++=angles
as ^cs+sub+++=as
if ^cs+cnd+++=if
dropped ^vbd+++xvbn+=dropped
from ^in++++=from
a ^at++++=a
careless ^jj+atrb+++=careless
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
windows ^nns++++=windows
were ^vbd+bed+aux++=were
packed ^vpsv++agls+xvbnx+=packed
with ^in++++=with
weed ^nn++++=weed.
. ^zz++++=EXTRAWORD
Barnacles ^np+++??+=Barnacles
crusted ^vbd+++xvbn+=crusted
the ^ati++++=the
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pale ^nn++++=pale
crabs ^nns+++??+=crabs
moved ^vbd+++xvbn+=moved
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
cliff ^nn++++=cliff
path ^nn++++=path
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty
years ^nns++++=years
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
Great ^jj+atrb+++=Great
Retreat ^nn++++=Retreat,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
old ^jj+atrb+++=old
part ^nn++++=part
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
in ^in++++=in
a ^at++++=a
single ^jj+atrb+++=single
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
the ^ati++++=the
church ^npl++++=church
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
school ^nn++++=school,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
houses ^nns++++=houses
and ^cc++++=and
the ^ati++++=the
road ^npl++++=road
that ^tht+rel+++=that
connected ^jj+++xvbn+=connected
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
No ^at++++=No
bodies ^nns++++=bodies
were ^vbd+bed+aux++=were
recovered ^vpsv++agls+xvbnx+=recovered.
. ^zz++++=EXTRAWORD
No ^at++++=No
ruins ^nns++++=ruins
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
resurfaced ^vprf+++xvbnx+=resurfaced.
. ^zz++++=EXTRAWORD
Until ^in++++=Until
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
Mara ^np+++??+=Mara,
, ^zz++++=EXTRAWORD
Mayor ^npt++++=Mayor
Pike ^np++++=Pike
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
to ^in++++=to
the ^ati++++=the
smallest ^jjt++++=smallest
house ^npl++++=house,
, ^zz++++=EXTRAWORD
" ^zz++++="belonged
belonged ^vbd+++xvbn+=EXTRAWORD
to ^in++++=to
your ^pp$+pp2+++=your
grandmother ^nn+nom+++=grandmother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vb+hv+aux++=had
already ^rb++splt++=already
recognized ^vprf++tht0+xvbnx+=recognized
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
crooked ^jj+atrb+++=crooked
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
the ^ati++++=the
narrow ^jj+atrb+++=narrow
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
the ^ati++++=the
iron ^nn++++=iron
hook ^nn++++=hook
where ^wrb+who+++=where
her ^pp$+pp3+++=her
grandmother ^nn+nom+++=grandmother
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
hung ^vprf+++xvbnx+=hung
a ^at++++=a
blue ^jj+atrb+++=blue
lantern ^nn++++=lantern.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
house ^nn++++=house
from ^in++++=from
photographs ^nns++++=photographs:
: ^zz++++=EXTRAWORD
black ^jj++++=black-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
