At ^rb++++=At
seven ^cd++++=seven
minutes ^nns++++=minutes
past ^jjb+atrb+++=past
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse
began ^vbd+++xvbn+=began
to ^to++++=to
answer ^vbi++++=answer
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^nn++++=Vale
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
exact ^jj+atrb+++=exact
time ^nn++++=time
because ^cs+cos+++=because
the ^ati++++=the
brass ^nn++++=brass
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
keeper ^nn++++=keeper's
's ^$++++=EXTRAWORD
kitchen ^nn++++=kitchen
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
chimed ^vprf+++xvbnx+=chimed
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
each ^dt++++=each
note ^nn++++=note
slow ^jj++++=slow
and ^cc++++=and
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
counted ^vprf+++xvbnx+=counted
seven ^cd++++=seven
more ^ql++++=more
minutes ^nns++++=minutes
while ^cs+sub+++=while
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
kettle ^nn++++=kettle
to ^to++++=to
boil ^vbi++++=boil.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
winter ^nn++++=winter
sea ^npl++++=sea
struck ^vbd+++xvbn+=struck
the ^ati++++=the
cliffs ^nns++++=cliffs
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
Island ^nn++++=Island
with ^in++++=with
enough ^dt++++=enough
force ^vb++++=force
to ^to+vcmp+++=to
tremble ^vbi++++=tremble
the ^ati++++=the
cups ^nns++++=cups
in ^in++++=in
their ^pp$+pp3+++=their
cabinet ^nn++++=cabinet.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
tower ^nn++++=tower
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
came ^jj+atrb++xvbn+=came
three ^cd++++=three
quick ^jj+atrb+++=quick
flashes ^nns++++=flashes.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
saw ^vbd+vprv++xvbn+=saw
them ^pp3o+pp3+++=them
through ^in++++=through
the ^ati++++=the
rain ^nn++++=rain-streaked
- ^zz++++=EXTRAWORD
streaked ^vbd+++xvbn+=EXTRAWORD
kitchen ^nn++++=kitchen
window ^nn++++=window:
: ^zz++++=EXTRAWORD
white ^jj++++=white
light ^jj++++=light
sweeping ^jj+++xvbg+=sweeping
over ^in++++=over
the ^ati++++=the
black ^jj+atrb+++=black
water ^nn++++=water,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
blinking ^vbg+++xvbg+=blinking
three ^cd++++=three
times ^nns++++=times
toward ^in++++=toward
the ^ati++++=the
mainland ^nn++++=mainland.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
set ^vbd+++xvbnx+=set
down ^rb+phrv+++=down
her ^pp3o+pp3+++=her
mug ^nn++++=mug.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Bellweather ^np+nom++??+=Bellweather
Light ^nn++++=Light
did ^vbd+dod+aux++=did
not ^xnot++not++=not
blink ^vb++++=blink.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
white ^jj+atrb+++=white
beam ^nn++++=beam
every ^at++++=every
twenty ^cd++++=twenty
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
as ^ql++++=as
steady ^jj++++=steady
as ^ql++++=as
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
maintained ^vprf+++xvbnx+=maintained
the ^ati++++=the
mechanism ^nn+nom+++=mechanism
for ^in++++=for
four ^cd++++=four
years ^nns++++=years
and ^cc++++=and
knew ^vbd+vprv++xvbn+=knew
every ^at++++=every
gear ^nn++++=gear,
, ^zz++++=EXTRAWORD
lens ^nn++++=lens,
, ^zz++++=EXTRAWORD
bolt ^nn++++=bolt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wire ^nn++++=wire
in ^in++++=in
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamp ^nn++++=lamp
could ^md+pos+++=could
go ^vb++++=go
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
spin ^vb++++=spin
too ^ql++++=too
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
grind ^vb+++??+=grind
to ^in++++=to
a ^at++++=a
halt ^nn++++=halt.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
could ^md+pos+++=could
not ^xnot++not++=not
blink ^vb++++=blink.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
more ^ql++++=more
flashes ^nns++++=flashes
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
coat ^nn++++=coat
from ^in++++=from
the ^ati++++=the
hook ^nn++++=hook
and ^cc++++=and
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
spiral ^nn++++=spiral
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
glass ^nn++++=glass
at ^in++++=at
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
ran ^vbd+++xvbn+=ran
sideways ^jjb++++=sideways
over ^in++++=over
the ^ati++++=the
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
the ^ati++++=the
great ^jj+atrb+++=great
Fresnel ^np+++??+=Fresnel
lens ^nn++++=lens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
electric ^jj+atrb+++=electric
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
normally ^rb+cnj+++=normally,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
clockwork ^nn++++=clockwork
motor ^nn++++=motor
turned ^vbd+++xvbn+=turned
with ^in++++=with
its ^pp$+it+++=its
familiar ^jj+atrb+++=familiar
purr ^nn++++=purr.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
checked ^vbd+++xvbnx+=checked
the ^ati++++=the
control ^nn++++=control
panel ^nn++++=panel.
. ^zz++++=EXTRAWORD
No ^at++++=No
faults ^nns++++=faults.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
maintenance ^nn+nom+++=maintenance
door ^nn++++=door
and ^cc++++=and
examined ^vbd+++xvbn+=examined
the ^ati++++=the
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
lighthouse ^nn++++=lighthouse
had ^vb+hv+vrb++=had
no ^at++++=no
shutters ^nns+nom+++=shutters
capable ^jj++++=capable
of ^in++++=of
producing ^xvbg+++xvbg+=producing
such ^abl++++=such
a ^at++++=a
signal ^nn++++=signal.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
stepped ^vbd+++xvbnx+=stepped
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
the ^ati++++=the
beam ^nn++++=beam
flickered ^vbd+++xvbn+=flickered
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
short ^jj+atrb+++=short
flashes ^nns++++=flashes.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
stared ^vbd+++xvbn+=stared
into ^in++++=into
the ^ati++++=the
brilliance ^nn+nom+++=brilliance.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
