By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
reached ^vbd+++xvbn+=reached
Bellwether ^np+nom++??+=Bellwether
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
in ^in++++=in
town ^nn++++=town
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
pretending ^vbg+++xvbg+=pretending
the ^ati++++=the
water ^nn++++=water
would ^md+prd+++=would
go ^vb++++=go
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
quietly ^rb++++=quietly
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping
over ^in++++=over
the ^ati++++=the
harbor ^nn++++=harbor
wall ^nn++++=wall
during ^in++++=during
the ^ati++++=the
highest ^jjt+atrb+++=highest
tides ^nns++++=tides
and ^cc++++=and
leaving ^vbg+++xvbg+=leaving
silver ^nn++++=silver
fish ^nns++++=fish
trembling ^vwbg+++xvbg+=trembling
in ^in++++=in
gutters ^nns+nom+++=gutters.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
stay ^vbi++++=stay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bakery ^nn++++=bakery
raised ^vbd+++xvbn+=raised
its ^pp$+it+++=its
ovens ^nns++++=ovens
onto ^in++++=onto
brick ^nn++++=brick
platforms ^nns++++=platforms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
post ^nn++++=post
office ^nn++++=office
delivered ^vwbn+++xvbn+=delivered
letters ^nns+nom+++=letters
by ^in++++=by
rowboat ^nn+++??+=rowboat.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
learned ^vbd+vprv++xvbn+=learned
to ^to+vcmp+++=to
tie ^vbi++++=tie
knots ^nns++++=knots
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
learned ^vbd+++xvbnx+=learned
long ^rb++++=long
division ^nn++++=division.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale,
, ^zz++++=EXTRAWORD
the ^ati++++=the
town ^nn++++=town
clockmaker ^jjr++++=clockmaker,
, ^zz++++=EXTRAWORD
refused ^vb+++xvbn+=refused
to ^to+vcmp+++=to
adapt ^vbi++++=adapt.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shop ^nn++++=shop
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
end ^nn++++=end
of ^in++++=of
Bellwether ^np+nom++??+=Bellwether
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
green ^jj+atrb+++=green
water ^nn++++=water
washed ^vwbn+++xvbn+=washed
the ^ati++++=the
steps ^nns++++=steps
twice ^rb++++=twice
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
other ^ap++++=other
business ^nns+nom+++=business
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved
uphill ^jjb++++=uphill,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Vale ^npl++++=Vale
remained ^vbd+++xvbn+=remained
among ^in++++=among
his ^pp$+pp3+++=his
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
polishing ^vbg+++xvbg+=polishing
brass ^nn++++=brass
pendulums ^nns+++??+=pendulums
and ^cc++++=and
replacing ^vbg+++xvbg+=replacing
tiny ^jj++++=tiny
springs ^vbz++++=springs
while ^cs+sub+++=while
waves ^nns++++=waves
tapped ^vwbn+++xvbn+=tapped
beneath ^in+pl+++=beneath
the ^ati++++=the
floorboards ^nns++++=floorboards.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
his ^pp$+pp3+++=his
door ^nn++++=door
hung ^vbd+++xvbn+=hung
a ^at++++=a
sign ^nn++++=sign:
: ^zz++++=EXTRAWORD
Vale ^npl++++=VALE
& ^zz++++=&
Daughter ^nn+nom+++=DAUGHTER
Clocks ^nns++++=CLOCKS
Repaired ^vbd+++xvbn+=REPAIRED
Time ^nn++++=TIME
Restored ^vwbn+++xvbn+=RESTORED
The ^ati++++=The
daughter ^nn+nom+++=daughter
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
gone ^vpsv++agls+xvbnx+=gone
for ^in+ppvb+++=for
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
townspeople ^nns++++=townspeople
were ^vbd+bed+vrb++=were
too ^ql++++=too
polite ^jj++++=polite
to ^to++++=to
mention ^nn+nom+++=mention
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Fourteen ^cd++++=Fourteen-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
passed ^vbd+++xvbn+=passed
the ^ati++++=the
shop ^nn++++=shop
every ^at++++=every
morning ^nn++++=morning
on ^rp++++=on
her ^pp3o+pp3+++=her
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
tide ^vb++++=tide
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
carried ^vbd+++xvbnx+=carried
a ^at++++=a
measuring ^jj+atrb++xvbg+=measuring
pole ^nn++++=pole
striped ^jj+atrb+++=striped
red ^nn++++=red
and ^cc++++=and
white ^jj++++=white,
, ^zz++++=EXTRAWORD
a ^at++++=a
notebook ^nn++++=notebook
sealed ^vwbn+++xvbn+=sealed
in ^in++++=in
waxed ^vbd+++xvbn+=waxed
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
brass ^nn++++=brass
whistle ^nn++++=whistle
in ^in++++=in
case ^nn++++=case
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
a ^at++++=a
current ^nn++++=current.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
job ^nn++++=job
was ^vbd+bedz+vrb++=was
to ^in++++=to
record ^nn++++=record
the ^ati++++=the
water ^nn++++=water
level ^nn++++=level
at ^in++++=at
six ^cd++++=six
iron ^nn++++=iron
markers ^nns+nom+++=markers
around ^in++++=around
town ^nn++++=town.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
had ^vb+hv+aux++=had
once ^cs+tm+++=once
belonged ^vprf+++xvbn+=belonged
to ^in++++=to
a ^at++++=a
university ^nn+nom+++=university
scientist ^nn+nom+++=scientist,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
scientist ^nn+nom+++=scientist
left ^vbd+++xvbn+=left
when ^wrb+who+++=when
the ^ati++++=the
railway ^nn++++=railway
flooded ^jj++++=flooded.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
mayor ^nn++++=mayor's
's ^$++++=EXTRAWORD
assistant ^nn+nom+++=assistant,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
left ^vbd+++xvbn+=left
when ^wrb+who+++=when
the ^ati++++=the
hospital ^npl+nom+++=hospital
moved ^vbd+++xvbn+=moved
inland ^jjb++++=inland.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
it ^pp3+it+++=it
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
Mara ^np+++??+=Mara
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
willing ^jj+pred+++=willing,
, ^zz++++=EXTRAWORD
accurate ^jj++++=accurate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inexpensive ^jj++++=inexpensive.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
always ^rb++++=always
measured ^vbd+++xvbn+=measured
the ^ati++++=the
marker ^nn++++=marker
outside ^jjb++++=outside
Vale ^np++++=Vale's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
last ^rb++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
meters ^nns++++=meters
and ^cc++++=and
six ^cd++++=six,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
door ^nn++++=door
one ^cd1++++=one
gray ^np++++=gray
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
" ^zz++++="Impossible,"
impossible ^jj++++=EXTRAWORD
