On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
church ^npl++++=church
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^nn++++=Vale
was ^vbd+bedz+aux++=was
repairing ^vbg+++xvbgx+=repairing
a ^at++++=a
clock ^nn++++=clock
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
not ^xnot++not++=not
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
truth ^nn++++=truth
in ^in++++=in
thirty ^cd++++=thirty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
brass ^nn++++=brass
carriage ^nn+nom+++=carriage
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
blackened ^jj++++=blackened
by ^in++++=by
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
fire ^nn++++=fire
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
destroyed ^vprf+++xvbnx+=destroyed
the ^ati++++=the
old ^jj+atrb+++=old
railway ^nn++++=railway
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
its ^pp$+it+++=its
owner ^nn++++=owner,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clock ^nn++++=clock
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
at ^rb++++=at
4:17 ^cd++++=4:17
on ^in++++=on
the ^ati++++=the
afternoon ^nn++++=afternoon
her ^pp$+pp3+++=her
husband ^nn++++=husband
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
cleaned ^vprf+++xvbnx+=cleaned
every ^at++++=every
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
polished ^jj++++=polished
every ^at++++=every
pivot ^nn++++=pivot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
replaced ^vbd+++xvbn+=replaced
the ^ati++++=the
cracked ^jj+atrb++xvbn+=cracked
mainspring ^nn++++=mainspring,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
set ^vbd+++xvbnx+=set
the ^ati++++=the
hands ^nns++++=hands
and ^cc++++=and
wound ^nn+++xvbn+=wound
the ^ati++++=the
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
crept ^vbd+++xvbnx+=crept
backward ^jj++++=backward
to ^to++++=to
4:17 ^cd++++=4:17
and ^cc++++=and
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
move ^vbi++++=move.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
remember ^nn+nom+++=remember
too ^ql++++=too
much ^ap++++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
whispered ^vbd+vpub++xvbn+=whispered
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside
her ^pp$+pp3+++=her
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
village ^nn+nom+++=village
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
descended ^vbd+++xvbn+=descended
in ^in++++=in
steep ^jj+atrb+++=steep
lanes ^nns++++=lanes
toward ^in++++=toward
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
Slate ^nn++++=Slate
roofs ^nns++++=roofs
glistened ^vbd+++xvbn+=glistened
beneath ^in+pl+++=beneath
a ^at++++=a
pale ^jj+atrb+++=pale
autumn ^nn++++=autumn
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Fishing ^nvbg+++xvbg+=Fishing
boats ^nns++++=boats
rocked ^vbd+++xvbn+=rocked
against ^in++++=against
their ^pp$+pp3+++=their
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gulls ^nns++++=gulls
argued ^vwbn+vpub++xvbn+=argued
over ^in++++=over
silver ^nn++++=silver
scraps ^nns++++=scraps
on ^in++++=on
the ^ati++++=the
quay ^nn++++=quay.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
tide ^nn++++=tide
withdrew ^vbd+++xvbn+=withdrew.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ebb ^vb++++=ebb
in ^in++++=in
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^npl++++=sea
pulled ^vbd+++xvbn+=pulled
back ^jjb++++=back
as ^cs+sub+++=as
if ^cs+cnd+++=if
seized ^vpsv++by+xvbn+=seized
by ^in++++=by
a ^at++++=a
giant ^jjb+atrb+++=giant
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
exposing ^vbg+++xvbg+=exposing
the ^ati++++=the
harbor ^nn++++=harbor
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
reefs ^nns++++=reefs
beyond ^in++++=beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
wide ^jj+atrb+++=wide
plain ^nn++++=plain
of ^in++++=of
shining ^xvbg+++xvbg+=shining
mud ^nn++++=mud
no ^at++++=no
living ^jj+atrb++xvbg+=living
villager ^nn+nom+++=villager
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
seen ^vprf+++xvbnx+=seen.
. ^zz++++=EXTRAWORD
Fish ^nns++++=Fish
flapped ^vbd+++xvbn+=flapped
in ^in++++=in
shallow ^jj+atrb+++=shallow
pools ^nns++++=pools.
. ^zz++++=EXTRAWORD
Anchors ^np+++??+=Anchors
lay ^vbd+++xvbn+=lay
tangled ^vwbn+++xvbn+=tangled
among ^in++++=among
rotting ^jj+atrb+++=rotting
ribs ^nns++++=ribs
of ^in++++=of
ships ^nns++++=ships.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
green ^jj+atrb+++=green
water ^nn++++=water
had ^vb+hv+aux++=had
always ^rb++splt++=always
covered ^vprf+++xvbnx+=covered
the ^ati++++=the
ruins ^nns++++=ruins
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
town ^nn++++=town,
, ^zz++++=EXTRAWORD
a ^at++++=a
bell ^nn++++=bell
tower ^nn++++=tower
rose ^vbd+++xvbn+=rose
dripping ^jj+++xvbg+=dripping
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^nn++++=church
of ^in++++=of
Saint ^nn++++=Saint
Orra ^np+++??+=Orra
had ^vbd+hvd+aux++=had
drowned ^vprf+++xvbnx+=drowned
three ^cd++++=three
hundred ^cd++++=hundred
years ^nns++++=years
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
an ^at++++=an
earthquake ^nn++++=earthquake
lowered ^vbd+++xvbn+=lowered
half ^abn++++=half
the ^ati++++=the
coast ^nn++++=coast
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
stories ^nns++++=stories
remained ^vbd+++xvbn+=remained:
: ^zz++++=EXTRAWORD
stories ^nns++++=stories
of ^in++++=of
stained ^jj+++xvbn+=stained-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
saints ^nns++++=saints,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
altar ^nn++++=altar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
great ^jj+atrb+++=great
bronze ^jj+atrb+++=bronze
bell ^nn++++=bell
whose ^whp+rel+obj++=whose
voice ^nn++++=voice
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++agls+xvbnx+=heard
twenty ^cd++++=twenty
miles ^nns++++=miles
inland ^jjb++++=inland.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
that ^dt+dem+++=that
bell ^nn++++=bell
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
wet ^jj+atrb+++=wet
sand ^nn++++=sand
below ^in+pl+++=below
the ^ati++++=the
broken ^jj+++xvbn+=broken
tower ^npl++++=tower.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
began ^vbd+++xvbn+=began
shouting ^nvbg+++xvbg+=shouting
in ^in++++=in
the ^ati++++=the
harbor ^nn++++=harbor.
. ^zz++++=EXTRAWORD
Doors ^nns++++=Doors
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
half ^abn++++=half
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
downhill ^rb+pl+++=downhill.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
did ^vbd+dod+aux++=did
not ^xnot++not++=not
follow ^vb+vprv+++=follow
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
watched ^vbd+++xvbnx+=watched
from ^in++++=from
her ^pp$+pp3+++=her
window ^nn++++=window
as ^ql++++=as
villagers ^nns+nom+++=villagers
picked ^vbd+++xvbn+=picked
their ^pp$+pp3+++=their
way ^nn++++=way
across ^in+pl+++=across
the ^ati++++=the
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
shrieked ^vbd+++xvbn+=shrieked
with ^in++++=with
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
men ^nns++++=men
crossed ^vbd+++xvbn+=crossed
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Mayor ^npt++++=Mayor
Pike ^np++++=Pike
strode ^vbd+++xvbn+=strode
at ^in++++=at
the ^ati++++=the
front ^nn++++=front
in ^in++++=in
his ^pp$+pp3+++=his
red ^jj+atrb+++=red
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
already ^rb++++=already
behaving ^vbg+++xvbg+=behaving
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
personally ^rb++splt++=personally
arranged ^vprf+++xvbnx+=arranged
the ^ati++++=the
miracle ^nn++++=miracle.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
looked ^vbd+++xvbn+=looked
back ^jjb++++=back
at ^in++++=at
the ^ati++++=the
carriage ^nn+nom+++=carriage
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
minute ^nn++++=minute
hand ^nn++++=hand
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
now ^rn+tm+++=now
pointed ^vbd+++xvbn+=pointed
to ^to++++=to
4:18 ^cd++++=4:18.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stared ^vbd+++xvbnx+=stared
until ^cs+sub+++=until
it ^pp3+it+++=it
clicked ^vbd+++xvbn+=clicked
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
4:19 ^cd++++=4:19.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
every ^at++++=every
clock ^nn++++=clock
began ^vbd+++xvbn+=began
to ^to++++=to
chime ^vbi++++=chime.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
wall ^nn++++=wall
clocks ^nns++++=clocks,
