By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
reached ^vbd+++xvbn+=reached
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
road ^npl++++=road
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
beneath ^in+pl+++=beneath
the ^ati++++=the
rusted ^jj+++xvbn+=rusted
gallery ^npl+nom+++=gallery,
, ^zz++++=EXTRAWORD
rain ^nn++++=rain
running ^vwbg+++xvbg+=running
from ^in++++=from
her ^pp$+pp3+++=her
hood ^nn++++=hood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
the ^ati++++=the
last ^rb++++=last
white ^jj+atrb+++=white
stones ^nns++++=stones
disappear ^vb+seem+++=disappear
under ^in++++=under
black ^jj+atrb+++=black
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tide ^nn++++=tide
rushed ^vbd+++xvbn+=rushed
across ^in+pl+++=across
the ^ati++++=the
causeway ^nn++++=causeway
with ^in++++=with
the ^ati++++=the
speed ^nn++++=speed
of ^in++++=of
a ^at++++=a
closing ^jj+atrb++xvbg+=closing
door ^nn++++=door.
. ^zz++++=EXTRAWORD
In ^in++++=In
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
the ^ati++++=the
island ^nn++++=island
was ^vbd+bedz+aux++=was
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off
from ^in++++=from
the ^ati++++=the
mainland ^nn++++=mainland.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
checked ^vwbn+++xvbn+=checked
her ^pp3o+pp3+++=her
watch ^vb++++=watch.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
past ^jjb++++=past
four ^cd++++=four.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
late ^jj+pred+++=late,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
voice ^nn++++=voice
above ^in+pl+++=above
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
An ^at++++=An
old ^jj+atrb+++=old
man ^nn++++=man
leaned ^vbd+++xvbn+=leaned
over ^in++++=over
the ^ati++++=the
gallery ^nn+nom+++=gallery
rail ^nn++++=rail,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
gray ^np++++=gray
beard ^nn++++=beard
flattening ^vwbg+++xvbg+=flattening
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
storm ^nn++++=storm
delayed ^vwbn+++xvbn+=delayed
the ^ati++++=the
bus ^nn++++=bus,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
called ^vbd+++xvbn+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
storm ^nn++++=storm
delayed ^vwbn+++xvbn+=delayed
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Storms ^nns++++=Storms
arrive ^vb++++=arrive
exactly ^rb++++=exactly
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
mean ^vb++++=mean
to ^to+vcmp+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
vanished ^vbd+++xvbnx+=vanished
from ^in++++=from
the ^ati++++=the
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse
door ^nn++++=door
opened ^vbd+++xvbn+=opened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
wore ^vbd+++xvbn+=wore
a ^at++++=a
blue ^jj+atrb+++=blue
sweater ^nn++++=sweater,
, ^zz++++=EXTRAWORD
patched ^jj+atrb+++=patched
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slippers ^nns+nom+++=slippers
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
yellow ^jj+atrb+++=yellow
ducks ^nns++++=ducks.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
boots ^nns++++=boots
are ^vb+ber+vrb++=are
wet ^jj+pred+++=wet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+vrb++=were
about ^in++++=about
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
weather ^nn++++=weather
carries ^vbz++++=carries
you ^pp2+pp2+++=you
to ^in++++=to
Norway ^np++++=Norway."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lighthouse ^nn++++=lighthouse
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
kerosene ^nn+++??+=kerosene,
, ^zz++++=EXTRAWORD
salt ^jj++++=salt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burnt ^jj+atrb++xvbn+=burnt
toast ^nn++++=toast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
round ^jj+atrb+++=round
entrance ^nn+nom+++=entrance
room ^nn++++=room
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded
with ^in++++=with
shelves ^nns++++=shelves
holding ^vwbg+++xvbg+=holding
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
coiled ^xvbn+++xvbn+=coiled
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
cloudy ^jj+atrb+++=cloudy
glass ^nn++++=glass
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
books ^nns++++=books
swollen ^jj++++=swollen
by ^in++++=by
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
impossible ^jj+atrb+++=impossible
number ^nn++++=number
of ^in++++=of
clocks ^nns++++=clocks.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
clocks ^nns++++=clocks
on ^in++++=on
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
clocks ^nns++++=clocks
on ^in++++=on
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
clocks ^nns++++=clocks
hanging ^vwbg+++xvbg+=hanging
from ^in++++=from
hooks ^nns++++=hooks.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
ticked ^jj+++xvbn+=ticked.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
moved ^vbd+++xvbn+=moved
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
shut ^vbd+++xvbn+=shut
the ^ati++++=the
door ^nn++++=door
against ^in++++=against
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn."
. ^zz++++=EXTRAWORD
