Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
something ^pn++++=something
small ^jj++++=small:
: ^zz++++=EXTRAWORD
a ^at++++=a
blue ^jj+atrb+++=blue
button ^nn++++=button,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
spoon ^nn++++=spoon,
, ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj+atrb+++=red
mitten ^np++++=mitten
stiff ^jj++++=stiff
with ^in++++=with
salt ^nn++++=salt.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger:
: ^zz++++=EXTRAWORD
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
door ^nn++++=door,
, ^zz++++=EXTRAWORD
a ^at++++=a
fishing ^jj+++xvbg+=fishing
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
the ^ati++++=the
carved ^jj+atrb++xvbn+=carved
wooden ^jj+atrb+++=wooden
head ^nn++++=head
of ^in++++=of
a ^at++++=a
saint ^nn++++=saint.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
appeared ^vbd+seem++xvbn+=appeared
on ^in++++=on
the ^ati++++=the
wet ^jj+atrb+++=wet
black ^jj+atrb+++=black
sand ^nn++++=sand
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
someone ^pn++++=someone
who ^whp+who+++=who
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
always ^rb++++=always
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
always ^rb++++=always
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nn++++=people
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
not ^xnot++not++=not
to ^to++++=to
ask ^vbi++++=ask
how ^wrb+who+++=how
the ^ati++++=the
sea ^npl++++=sea
kept ^vbd+++xvbn+=kept
its ^pp$+it+++=its
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
simply ^rb++++=simply
gathered ^xvbn+++xvbn+=gathered
at ^rb++++=at
dawn ^nn++++=dawn
and ^cc++++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
had ^vbd+hvd+aux++=had
served ^vprf+++xvbnx+=served
as ^ql++++=as
the ^ati++++=the
town ^nn++++=town's
's ^$++++=EXTRAWORD
Keeper ^nn++++=Keeper
of ^in++++=of
Lost ^xvbn+++xvbn+=Lost
Things ^nns++++=Things.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
house ^npl++++=house
beside ^in+pl+++=beside
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
every ^at++++=every
wall ^nn++++=wall
was ^vbd+bedz+aux++=was
lined ^vpsv++agls+xvbnx+=lined
with ^in++++=with
shelves ^nns++++=shelves
and ^cc++++=and
every ^at++++=every
shelf ^nn++++=shelf
held ^vbd+vprv+tht0+xvbn+=held
objects ^nns++++=objects
returned ^vwbn+++xvbn+=returned
by ^in++++=by
the ^ati++++=the
tide ^nn++++=tide.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
catalogued ^vbd+++xvbnx+=catalogued
each ^ppls++++=each
one ^pn++++=one
in ^in++++=in
a ^at++++=a
leather ^nn++++=leather
book ^nn++++=book,
, ^zz++++=EXTRAWORD
noting ^vbg+vprv++xvbg+=noting
the ^ati++++=the
date ^nn++++=date,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
marks ^nns++++=marks
that ^tht+rel+subj++=that
might ^md+pos+++=might
identify ^vb++++=identify
its ^pp$+it+++=its
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
A ^at++++=A
brass ^nn++++=brass
key ^jjb++++=key,
, ^zz++++=EXTRAWORD
green ^nn++++=green
with ^in++++=with
age ^nn++++=age.
