When ^wrb+who+++=When
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
church ^npl++++=church
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
person ^nn++++=person
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
to ^to++++=to
hear ^vbi+vprv+++=hear
it ^pp3+it+++=it
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
at ^rb++++=at
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
night ^nn++++=night
of ^in++++=of
hard ^jj+atrb+++=hard
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
the ^ati++++=the
northern ^jj+atrb+++=northern
beach ^npl++++=beach
with ^in++++=with
a ^at++++=a
coil ^nn++++=coil
of ^in++++=of
rope ^nn++++=rope
over ^in++++=over
one ^cd1++++=one
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
searching ^vbg+++xvbg+=searching
for ^in++++=for
timber ^nn++++=timber
washed ^vwbn+++xvbn+=washed
loose ^jj++++=loose
from ^in++++=from
the ^ati++++=the
old ^jj+atrb+++=old
pier ^nn++++=pier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
storm ^nn++++=storm
had ^vbd+hvd+aux++=had
scrubbed ^vprf+++xvbnx+=scrubbed
the ^ati++++=the
sky ^nn++++=sky
clean ^jj++++=clean.
. ^zz++++=EXTRAWORD
Pale ^nn++++=Pale
light ^jj++++=light
rested ^jj+++xvbn+=rested
on ^in++++=on
the ^ati++++=the
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cliffs ^nns++++=cliffs
shone ^vbd+++xvbn+=shone
black ^nn++++=black
with ^in++++=with
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang
beneath ^in+pl+++=beneath
