By ^in++++=By
the ^ati++++=the
time ^nn++++=time
Mara ^np+++??+=Mara
reached ^vbd+++xvbn+=reached
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
road ^npl++++=road
behind ^in+pl+++=behind
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
final ^jj+atrb+++=final
black ^jj+atrb+++=black
rock ^npl++++=rock,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
her ^pp$+pp3+++=her
suitcase ^nn++++=suitcase
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
the ^ati++++=the
iron ^nn++++=iron
railing ^nn+nom+++=railing
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
struck ^vbd+++xvbn+=struck
the ^ati++++=the
hood ^nn++++=hood
of ^in++++=of
her ^pp$+pp3+++=her
yellow ^jj+atrb+++=yellow
coat ^nn++++=coat
like ^in++++=like
thrown ^vbd+++xvbn+=thrown
gravel ^nn++++=gravel.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty
feet ^nns++++=feet
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
waves ^nns++++=waves
crashed ^vbd+++xvbn+=crashed
through ^in++++=through
the ^ati++++=the
gap ^nn++++=gap
where ^wrb+who+++=where
the ^ati++++=the
causeway ^nn++++=causeway
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
only ^rb+down+++=only
minutes ^nns++++=minutes
earlier ^jjr++++=earlier.
. ^zz++++=EXTRAWORD
Ahead ^rb+cnj+++=Ahead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
island ^nn++++=island
like ^in++++=like
a ^at++++=a
white ^jj+atrb+++=white
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
lantern ^nn++++=lantern
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
checked ^vwbn+++xvbn+=checked
her ^pp3o+pp3+++=her
watch ^vb++++=watch.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
twelve ^cd++++=twelve.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
before ^in++++=before
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
slippery ^jj+atrb+++=slippery
steps ^nns++++=steps
and ^cc++++=and
hammered ^vpsv++agls+xvbn+=hammered
on ^in++++=on
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hammered ^vbd+++xvbnx+=hammered
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
brass ^nn++++=brass
knocker ^jjr++++=knocker
was ^vbd+bedz+aux++=was
shaped ^vpsv++agls+xvbnx+=shaped
like ^in++++=like
a ^at++++=a
fish ^nn++++=fish
with ^in++++=with
an ^at++++=an
open ^jj+atrb+++=open
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
mainland ^nn++++=mainland
office ^nn++++=office."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
creaked ^vbd+++xvbn+=creaked
inward ^jjb++++=inward
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lighthouse ^nn++++=lighthouse
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
kerosene ^nn+++??+=kerosene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
sweetly ^rb++++=sweetly
rotten ^jj++++=rotten.
. ^zz++++=EXTRAWORD
A ^at++++=A
narrow ^jj+atrb+++=narrow
staircase ^nn++++=staircase
spiraled ^vbd+++xvbn+=spiraled
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
stone ^nn++++=stone
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
To ^in++++=To
her ^pp$+pp3+++=her
left ^vbd+++xvbn+=left
was ^vbd+bedz+vrb++=was
the ^ati++++=the
keeper ^nn++++=keeper's
's ^$++++=EXTRAWORD
room ^nn++++=room:
: ^zz++++=EXTRAWORD
a ^at++++=a
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
a ^at++++=a
table ^nn++++=table,
, ^zz++++=EXTRAWORD
a ^at++++=a
cold ^jj+atrb+++=cold
stove ^nn++++=stove,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shelves ^nns++++=shelves
crowded ^vbd+++xvbn+=crowded
with ^in++++=with
jars ^nns++++=jars.
. ^zz++++=EXTRAWORD
A ^at++++=A
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Steam ^nn++++=Steam
no ^at++++=no
longer ^rbr++++=longer
rose ^nn+++xvbn+=rose
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
Mara ^np+++??+=Mara
touched ^vbd+++xvbn+=touched
the ^ati++++=the
porcelain ^nn++++=porcelain,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vale ^np++++=Vale?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
scrape ^nn++++=scrape
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
above ^nn++++=above.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
set ^vbd+++xvbn+=set
down ^rb+phrv+++=down
her ^pp3o+pp3+++=her
suitcase ^nn++++=suitcase
and ^cc++++=and
took ^vbd+++xvbn+=took
out ^rp+pl+++=out
the ^ati++++=the
envelope ^nn++++=envelope
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
to ^to+vcmp+++=to
deliver ^vbi++++=deliver.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
bore ^vbd+++xvbn+=bore
no ^at++++=no
stamp ^nn++++=stamp
and ^cc++++=and
no ^at++++=no
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
keeper ^nn++++=keeper's
's ^$++++=EXTRAWORD
name ^nn++++=name
in ^in++++=in
the ^ati++++=the
director ^nn++++=director's
's ^vbz+bez+vrb++0=EXTRAWORD
careful ^jj+atrb+++=careful
handwriting ^nn++++=handwriting.
. ^zz++++=EXTRAWORD
Elias ^np+++??+=ELIAS
Vale ^nn++++=VALE.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello?"
hello ^rb+dspt+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scrape ^nn++++=scrape
sounded ^vbd+++xvbn+=sounded
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
three ^cd++++=three
slow ^jj++++=slow
knocks ^vbz++++=knocks.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
looked ^vbd+++xvbn+=looked
up ^rp++++=up
the ^ati++++=the
