Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
six ^cd++++=six,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
one ^cd1++++=one
thing ^nn++++=thing
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
left ^vbd+++xvbn+=left
the ^ati++++=the
object ^nn++++=object
on ^in++++=on
the ^ati++++=the
black ^jj+atrb+++=black
stones ^nns++++=stones
below ^in+pl+++=below
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
where ^wrb+who+++=where
the ^ati++++=the
last ^rb++++=last
reach ^vb++++=reach
of ^in++++=of
foam ^nn++++=foam
thinned ^vbd+++xvbn+=thinned
into ^in++++=into
lace ^nn++++=lace.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
mornings ^nns++++=mornings
it ^pp3+it+++=it
returned ^vbd+++xvbn+=returned
ordinary ^jj+atrb+++=ordinary
things ^nns++++=things:
: ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
button ^nn++++=button,
, ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's
's ^vbz+bez+vrb++0=EXTRAWORD
red ^jj+atrb+++=red
bucket ^nn++++=bucket,
, ^zz++++=EXTRAWORD
a ^at++++=a
spoon ^nn++++=spoon
bent ^vbd+++xvbn+=bent
nearly ^rb+down+++=nearly
in ^in++++=in
half ^nn++++=half.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
mornings ^nns++++=mornings
it ^pp3+it+++=it
offered ^vbd+++xvbn+=offered
objects ^nns++++=objects
no ^at++++=no
one ^pn++++=one
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
remembered ^vwbn+vprv++xvbn+=remembered
losing ^jj+++xvbg+=losing:
: ^zz++++=EXTRAWORD
a ^at++++=a
violin ^nn++++=violin
without ^in++++=without
strings ^nns++++=strings,
, ^zz++++=EXTRAWORD
a ^at++++=a
silver ^nn++++=silver
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
a ^at++++=a
door ^nn++++=door
key ^jjb++++=key
as ^in++++=as
long ^rb++++=long
as ^ql++++=as
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
For ^in++++=For
thirty ^cd++++=thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
recorded ^vbd+vpub++xvbn+=recorded
each ^dt++++=each
gift ^nn++++=gift
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
lighthouse ^nn++++=lighthouse
at ^in++++=at
the ^ati++++=the
eastern ^jj+atrb+++=eastern
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
island ^nn++++=island,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
lamp ^nn++++=lamp
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
automated ^vpsv++agls+xvbnx+=automated
long ^rb++++=long
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn
she ^pp3a+pp3+++=she
descended ^vbd+++xvbnx+=descended
the ^ati++++=the
spiral ^nn++++=spiral
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
coarse ^jj+atrb+++=coarse
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
climbed ^vprf+++xvbn+=climbed
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
rubber ^nn++++=rubber
boots ^nns++++=boots
in ^in++++=in
winter ^nn++++=winter
and ^cc++++=and
went ^vbd+++xvbn+=went
barefoot ^jj++++=barefoot
in ^in++++=in
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
whatever ^nn+nom+++=whatever
the ^ati++++=the
tide ^vb++++=tide
had ^vbd+hvd+aux++=had
placed ^vprf+++xvbnx+=placed
among ^in++++=among
the ^ati++++=the
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
