By ^in++++=By
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
sea ^npl++++=sea
returned ^vbd+++xvbn+=returned
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
the ^ati++++=the
missing ^jj+atrb++xvbg+=missing
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Venn ^np+++??+=Venn
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
Bellweather ^np+nom++??+=Bellweather
Light ^nn++++=Light
for ^in++++=for
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
rose ^vbd+++xvbn+=rose
from ^in++++=from
the ^ati++++=the
water ^nn++++=water
at ^rb++++=at
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
roof ^nn++++=roof
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
shingles ^nns+++??+=shingles
breaking ^vwbg+++xvbg+=breaking
through ^in++++=through
the ^ati++++=the
gray ^np++++=gray
surface ^nn++++=surface
beyond ^in++++=beyond
the ^ati++++=the
reef ^nn++++=reef.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
chimney ^nn++++=chimney
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
two ^cd++++=two
attic ^nn++++=attic
windows ^nns++++=windows
bright ^jj++++=bright
with ^in++++=with
reflected ^vbd+vprv++xvbn+=reflected
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
poured ^vbd+++xvbn+=poured
from ^in++++=from
the ^ati++++=the
eaves ^nns++++=eaves.
. ^zz++++=EXTRAWORD
Barnacles ^np+++??+=Barnacles
crusted ^vbd+++xvbn+=crusted
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ropes ^nns++++=ropes
of ^in++++=of
green ^jj+atrb+++=green
weed ^nn++++=weed
hung ^vbd+++xvbn+=hung
from ^in++++=from
the ^ati++++=the
gutters ^nns+nom+++=gutters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
house ^npl++++=house
itself ^ppl++++=itself
seemed ^vbd+seem++xvbn+=seemed
whole ^jj++++=whole.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
watched ^vbd+++xvbn+=watched
from ^in++++=from
the ^ati++++=the
lantern ^nn++++=lantern
room ^nn++++=room
with ^in++++=with
one ^cd1++++=one
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
brass ^nn++++=brass
rail ^nn++++=rail.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
in ^in++++=in
Bellweather ^np+nom++??+=Bellweather
would ^md+prd+++=would
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
at ^rb++++=at
the ^ati++++=the
eastern ^jj+atrb+++=eastern
end ^nn++++=end
of ^in++++=of
Harbor ^np+++??+=Harbor
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
painted ^j+++xvbn+=painted
yellow ^jj++++=yellow,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
blue ^jj+atrb+++=blue
door ^nn++++=door
and ^cc++++=and
a ^at++++=a
pear ^nn++++=pear
tree ^nn++++=tree
leaning ^vwbg+++xvbg+=leaning
over ^in++++=over
the ^ati++++=the
fence ^nn++++=fence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Great ^nn++++=Great
Tide ^vb++++=Tide
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
it ^pp3+it+++=it
forty ^cd++++=forty
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in"++++=with
half ^nn++++=half
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
seventy ^cd++++=seventy-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
Mara ^np++++=Mara's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
and ^cc++++=and
younger ^jjr+atrb+++=younger
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
the ^ati++++=the
Vale ^nn++++=Vale
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
remembered ^vwbn+vprv++xvbn+=remembered
playing ^vbg+++xvbg+=playing
beneath ^rb++++=beneath
its ^pp$+it+++=its
kitchen ^nn++++=kitchen
table ^nn++++=table
with ^in++++=with
Lio ^np+++??+=Lio
Vale ^nn++++=Vale,
, ^zz++++=EXTRAWORD
both ^abx++++=both
of ^in++++=of
them ^pp3o+pp3+++=them
pretending ^vbg+++xvbg+=pretending
the ^ati++++=the
table ^nn++++=table
was ^vbd+bedz+vrb++=was
a ^at++++=a
ship ^nn++++=ship
and ^cc++++=and
the ^ati++++=the
floor ^nn++++=floor
was ^vbd+bedz+vrb++=was
a ^at++++=a
sea ^nn++++=sea
full ^jj++++=full
of ^in++++=of
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
real ^jj+atrb+++=real
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
their ^pp$+pp3+++=their
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
reached ^vbd+++xvbn+=reached
for ^in++++=for
the ^ati++++=the
speaking ^jj+atrb++xvbg+=speaking
tube ^nn++++=tube
that ^tht+rel+subj++=that
connected ^vbd+++xvbn+=connected
the ^ati++++=the
lantern ^nn++++=lantern
room ^nn++++=room
to ^in++++=to
the ^ati++++=the
keeper ^nn++++=keeper's
's ^$++++=EXTRAWORD
cottage ^nn+nom+++=cottage
below ^rb++++=below.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
one ^cd1++++=one
downstairs ^jjb++++=downstairs
to ^to++++=to
call ^vbi++++=call.
. ^zz++++=EXTRAWORD
Bellweather ^np+nom++??+=Bellweather
Light ^jj++++=Light
had ^vbd+hvd+aux++=had
become ^vb++++=become
automated ^vbd+++xvbn+=automated
five ^cd++++=five
years ^nns++++=years
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
retirement ^nn+nom+++=retirement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
council ^nn++++=council
had ^vbd+hvd+aux++=had
allowed ^vprf+++xvbnx+=allowed
her ^pp$+pp3+++=her
to ^to++++=to
remain ^vbi++++=remain
as ^in++++=as
caretaker ^nn+nom+++=caretaker
because ^cs+cos+++=because
no ^at++++=no
one ^cd1++++=one
else ^rb+cnj+++=else
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
live ^vbi++++=live
on ^in++++=on
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
old ^jj+atrb+++=old
signal ^nn++++=signal
telescope ^nn++++=telescope
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^npl++++=house
drifted ^vbd+++xvbn+=drifted
beyond ^in++++=beyond
the ^ati++++=the
reef ^nn++++=reef
where ^wrb+who+++=where
the ^ati++++=the
drowned ^jj+atrb++xvbn+=drowned
portion ^nn+nom+++=portion
of ^in++++=of
town ^nn++++=town
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
eight ^cd++++=eight
fathoms ^nns++++=fathoms
of ^in++++=of
water ^nn++++=water.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
moved ^vbd+++xvbn+=moved
