Every ^at++++=Every
morning ^nn++++=morning
at ^in++++=at
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bell ^nn++++=bell
in ^in++++=in
the ^ati++++=the
tower ^nn++++=tower
rang ^vbd+++xvbn+=rang
thirteen ^cd++++=thirteen
times ^nns++++=times.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^pn++++=one
in ^in++++=in
Bellwether ^np+nom++??+=Bellwether
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
the ^ati++++=the
extra ^jj+atrb+++=extra
note ^nn++++=note.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
learned ^vbd+vprv++xvbn+=learned
to ^to+vcmp+++=to
count ^vbi++++=count
around ^in++++=around
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Bakers ^nns++++=Bakers
removed ^vwbn+++xvbn+=removed
bread ^nn++++=bread
from ^in++++=from
their ^pp$+pp3+++=their
ovens ^nns++++=ovens
on ^in++++=on
the ^ati++++=the
twelfth ^np++++=twelfth
chime ^nn++++=chime,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fishermen ^nns++++=fishermen
pushed ^vwbn+++xvbn+=pushed
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
harbor ^nn++++=harbor
on ^in++++=on
the ^ati++++=the
thirteenth ^od++++=thirteenth.
. ^zz++++=EXTRAWORD
Visitors ^nns++++=Visitors
sometimes ^rb++++=sometimes
looked ^vbd+++xvbn+=looked
up ^rp++++=up
in ^in++++=in
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
townspeople ^nns++++=townspeople
merely ^rb+down+++=merely
smiled ^vbd+++xvbn+=smiled
and ^cc+phrs+++=and
continued ^vbd+++xvbn+=continued
with ^in++++=with
their ^pp$+pp3+++=their
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tower ^nn++++=tower
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
market ^nn++++=market
square ^jj++++=square
longer ^rbr++++=longer
than ^in++++=than
any ^dti++++=any
house ^nn++++=house,
, ^zz++++=EXTRAWORD
longer ^rbr++++=longer
even ^rb++++=even
than ^in++++=than
the ^ati++++=the
sea ^nn++++=sea
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
stones ^nns++++=stones
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black
with ^in++++=with
salt ^nn++++=salt
and ^cc++++=and
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ivy ^nn++++=ivy
climbed ^vbd+++xvbn+=climbed
halfway ^rb++++=halfway
to ^in++++=to
the ^ati++++=the
clock ^nn++++=clock
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
the ^ati++++=the
clock ^nn++++=clock
hung ^vbd+++xvbn+=hung
thirteen ^cd++++=thirteen
bronze ^jj+atrb+++=bronze
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
only ^rb+down+++=only
twelve ^cd++++=twelve
could ^md+pos+++=could
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
from ^in++++=from
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thirteenth ^od++++=thirteenth
was ^vbd+bedz+aux++=was
hidden ^vpsv++agls+xvbnx+=hidden
in ^in++++=in
the ^ati++++=the
tower ^nn++++=tower's
's ^vbz+bez+vrb++0=EXTRAWORD
narrow ^jj+atrb+++=narrow
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
Vale ^npl++++=Vale
had ^vbd+hvd+aux++=had
rung ^vprf+++xvbn+=rung
the ^ati++++=the
bells ^nns++++=bells
for ^in++++=for
forty ^cd++++=forty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
years ^nns++++=years.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
woman ^nn++++=woman
with ^in++++=with
hands ^nns++++=hands
like ^in++++=like
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
spiral ^nn++++=spiral
stairs ^nns++++=stairs,
, ^zz++++=EXTRAWORD
wound ^j+++xvbn+=wound
the ^ati++++=the
mechanism ^nn+nom+++=mechanism,
, ^zz++++=EXTRAWORD
checked ^xvbn+++xvbn+=checked
the ^ati++++=the
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
