By ^in++++=By
six ^cd++++=six
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
attic ^nn++++=attic
window ^nn++++=window
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
lighthouse ^nn++++=lighthouse,
, ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
could ^md+pos+++=could
see ^vb+vprv+++=see
waves ^nns++++=waves
spilling ^vwbg+++xvbg+=spilling
over ^in++++=over
the ^ati++++=the
stone ^nn++++=stone
causeway ^nn++++=causeway,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
ribbons ^nns++++=ribbons
of ^in++++=of
foam ^nn++++=foam
across ^in+pl+++=across
the ^ati++++=the
black ^jj+atrb+++=black
rocks ^nns++++=rocks.
. ^zz++++=EXTRAWORD
On ^in++++=On
ordinary ^jj+atrb+++=ordinary
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
causeway ^nn++++=causeway
connected ^vbd+++xvbn+=connected
Bellweather ^np+nom++??+=Bellweather
Island ^nn++++=Island
to ^in++++=to
the ^ati++++=the
mainland ^nn++++=mainland
for ^in++++=for
nine ^cd++++=nine
hours ^nns++++=hours
at ^in++++=at
a ^at++++=a
time ^nn++++=time.
. ^zz++++=EXTRAWORD
On ^in++++=On
storm ^nn++++=storm
days ^nns++++=days,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
vanished ^vbd+++xvbn+=vanished
early ^jj++++=early
and ^cc+phrs+++=and
returned ^jj+++xvbn+=returned
late ^jj++++=late,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
island ^nn++++=island
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
its ^pp$+it+++=its
rope ^nn++++=rope
and ^cc++++=and
drifted ^vbd+++xvbn+=drifted
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
Atlantic ^np++++=Atlantic.
. ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
preferred ^vbd+++xvbn+=preferred
it ^pp3+it+++=it
that ^dt+dem+++=that
way ^nn++++=way.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
Bellweather ^np+nom++??+=Bellweather
in ^in++++=in
October ^nr++++=October
to ^in++++=to
catalogue ^nn++++=catalogue
the ^ati++++=the
possessions ^nns++++=possessions
of ^in++++=of
Elias ^np+++??+=Elias
Vale ^nn++++=Vale,
, ^zz++++=EXTRAWORD
the ^ati++++=the
last ^jj+atrb+++=last
lighthouse ^nn++++=lighthouse
keeper ^nn++++=keeper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
island ^nn++++=island's
's ^$++++=EXTRAWORD
electric ^nn++++=electric
beacon ^npl++++=beacon
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
automated ^vpsv++agls+xvbnx+=automated
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Elias ^np+++??+=Elias
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
as ^ql++++=as
caretaker ^nn+nom+++=caretaker,
, ^zz++++=EXTRAWORD
weather ^nn++++=weather
recorder ^nn+nom+++=recorder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unofficial ^jj+atrb+++=unofficial
guardian ^nn++++=guardian
until ^in++++=until
his ^pp$+pp3+++=his
death ^nn++++=death
at ^in++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
eighty ^cd++++=eighty-seven.
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
nearest ^jjt++++=nearest
relative ^jj++++=relative,
, ^zz++++=EXTRAWORD
a ^at++++=a
nephew ^nn++++=nephew
in ^in++++=in
Toronto ^np++++=Toronto,
, ^zz++++=EXTRAWORD
wanted ^j+++xvbn+=wanted
the ^ati++++=the
house ^npl++++=house
cleared ^vwbn+++xvbn+=cleared
and ^cc+phrs+++=and
sold ^vwbn+++xvbn+=sold.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
anything ^pn++++=anything
useful ^jj++++=useful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
Mara ^np+++??+=Mara
over ^in++++=over
the ^ati++++=the
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
" ^zz++++="Burn
burn ^vb++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mara ^np+++??+=Mara
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
two ^cd++++=two
weeks ^nns++++=weeks
opening ^vwbg+++xvbg+=opening
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
emptying ^vbg+++xvbg+=emptying
cupboards ^nns++++=cupboards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
writing ^nvbg+++xvbg+=writing
neat ^jj+atrb+++=neat
descriptions ^nns+nom+++=descriptions
in ^in++++=in
her ^pp$+pp3+++=her
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
