All ^abn++++=All
afternoon ^nn++++=afternoon
John ^np++++=John
Hammond ^np++++=Hammond
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
telling ^nvbg+++xvbg+=telling
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
the ^ati++++=the
next ^ap++++=next
ten ^cd++++=ten
minutes ^nns++++=minutes
would ^md+prd+++=would
finish ^vb++++=finish
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
minutes ^nns++++=minutes
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
could ^md+pos+++=could
stand ^vb++++=stand
anything ^pn++++=anything
for ^in++++=for
ten ^cd++++=ten
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
stand ^vb++++=stand
the ^ati++++=the
wet ^jj+atrb+++=wet
wind ^nn++++=wind
slipping ^vwbg+++xvbg+=slipping
under ^in++++=under
his ^pp$+pp3+++=his
coat ^nn++++=coat
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
rope ^nn++++=rope
and ^cc++++=and
tar ^nn++++=tar
and ^cc++++=and
old ^jj+atrb+++=old
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gulls ^nns++++=gulls
crying ^vwbg+++xvbg+=crying
out ^rp+pl+++=out
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
too ^ql++++=too
had ^vb+hv+vrb++=had
wives ^nns++++=wives
aboard ^in+pl+++=aboard
the ^ati++++=the
*ardent* ^nn+++??+=*Ardent*.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
even ^rb++splt++=even
stand ^vb++++=stand
that ^cs+sub+++=that
blue ^jj++++=blue-coated
- ^zz++++=EXTRAWORD
coated ^vwbn+++xvbn+=EXTRAWORD
official ^jj++++=official
who ^whp+who+++=who
had ^vb+hv+aux++=had
twice ^rb++splt++=twice
requested ^vprf+++xvbnx+=requested
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
civilly ^jj++++=civilly
but ^cc++++=but
with ^in++++=with
an ^at++++=an
unforgivable ^jj+atrb+++=unforgivable
firmness ^nns+nom+++=firmness,
, ^zz++++=EXTRAWORD
to ^to++++=to
remain ^vbi++++=remain
behind ^in+pl+++=behind
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
line ^nn++++=line.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
ten ^cd++++=ten
minutes ^nns++++=minutes
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
another ^dt++++=another
ten ^cd++++=ten
minutes ^nns++++=minutes
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
Hammond ^np++++=Hammond
pulled ^vbd+++xvbn+=pulled
out ^rp+pl+++=out
his ^pp$+pp3+++=his
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
snapped ^j+++xvbn+=snapped
it ^pp3+it+++=it
open ^jj++++=open,
, ^zz++++=EXTRAWORD
snapped ^j+++xvbn+=snapped
it ^pp3+it+++=it
shut ^vbd+++xvbn+=shut.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
forty ^cd++++=forty-seven.
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv+tht0+xvbnx+=held
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
ear ^nn++++=ear.
. ^zz++++=EXTRAWORD
Tick ^np+++??+=Tick-tick-tick
- ^zz++++=EXTRAWORD
tick ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
tick ^nn+++??+=EXTRAWORD
the ^ati++++=the
insolent ^jj+atrb+++=insolent
little ^jj+atrb+++=little
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
great ^jj+atrb+++=great
liner ^nn++++=liner
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
harbour ^npl++++=harbour
seemed ^vbd+seem++xvbn+=seemed
no ^at++++=no
nearer ^rbr++++=nearer
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
