# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editorial ^jj+atrb+++=EDITORIAL
Note ^nn++++=NOTE
The ^ati++++=The
following ^jj+atrb++xvbg+=following
narrative ^nn++++=narrative
is ^vbz+bez+aux++=is
transcribed ^vpsv++agls+xvbnx+=transcribed
from ^in++++=from
the ^ati++++=the
sole ^jjb+atrb+++=sole
surviving ^jj+atrb++xvbg+=surviving
copy ^nn++++=copy
of ^in++++=of
*the ^nn+++??+=*The
Red ^jj+atrb+++=Red
Basket ^nn++++=Basket:
: ^zz++++=EXTRAWORD
Being ^vbg+beg++xvbg+=Being
the ^ati++++=the
Account ^nn++++=Account
of ^in++++=of
an ^at++++=an
Arm ^nn++++=Arm
and ^cc++++=and
Certain ^jj++++=Certain
Other ^ap++++=Other
Matters* ^np+++??+=Matters*,
, ^zz++++=EXTRAWORD
printed ^j+++xvbn+=printed
without ^in++++=without
license ^nn+++??+=license
at ^rb++++=at
East ^np+pl+++=East
Liverpool ^np++++=Liverpool
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
2412 ^cd++++=2412.
. ^zz++++=EXTRAWORD
Possession ^nn++++=Possession
of ^in++++=of
the ^ati++++=the
pamphlet ^nn+nom+++=pamphlet
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
a ^at++++=a
felony ^nn+++??+=felony
under ^in++++=under
Article ^nn++++=Article
Ix ^np+++??+=IX
of ^in++++=of
the ^ati++++=the
Labor ^np+++??+=Labor
Tranquillity ^nn+nom+++=Tranquillity
Act ^nn++++=Act
of ^in++++=of
2415 ^cd++++=2415,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
declared ^vpsv++agls+xvbnx+=declared
unlawful ^jj++++=unlawful
for ^in++++=for
any ^dti++++=any
bonded ^vwbn+++xvbn+=bonded
person ^nn++++=person
" ^zz++++="to
to ^to++++=EXTRAWORD
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
write ^vb++++=write,
, ^zz++++=EXTRAWORD
repeat ^nn++++=repeat
histories ^nns++++=histories,
, ^zz++++=EXTRAWORD
preserve ^nn++++=preserve
genealogies ^nns++++=genealogies,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
communicate ^nn+nom+++=communicate
matter ^nn++++=matter
tending ^vb+++xvbg+=tending
to ^to+vcmp+++=to
diminish ^vbi++++=diminish
respect ^nn++++=respect
for ^in++++=for
ownership ^nn+nom+++=ownership."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
alleged ^jj+++xvbn+=alleged
thirty ^cd++++=thirty
thousand ^cd++++=thousand
copies ^nns++++=copies,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-nine
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
thousand ^cd++++=thousand,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine
hundred ^cd++++=hundred
and ^cc++++=and
eighty ^cd++++=eighty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
were ^vbd+bed+aux++=were
officially ^rb++splt++=officially
burned ^vpsv++agls+xvbnx+=burned.
. ^zz++++=EXTRAWORD
Sixteen ^cd++++=Sixteen
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
found ^vpsv++agls+xvbnx+=found
and ^cc+phrs+++=and
destroyed ^vbd+++xvbn+=destroyed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+atrb++xvbg+=remaining
copy ^nn++++=copy
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
in ^in++++=in
2861 ^cd++++=2861
inside ^jjb++++=inside
the ^ati++++=the
false ^jj+atrb+++=false
bottom ^nn++++=bottom
of ^in++++=of
an ^at++++=an
iron ^nn++++=iron
flour ^nn++++=flour
chest ^nn++++=chest
excavated ^vbd+++xvbn+=excavated
near ^in+pl+++=near
the ^ati++++=the
ruins ^nns++++=ruins
of ^in++++=of
Pittsburgh ^np+++??+=Pittsburgh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
purports ^vbz++++=purports
to ^in++++=to
record ^nn++++=record
a ^at++++=a
speech ^nn++++=speech
delivered ^vwbn+++xvbn+=delivered
by ^in++++=by
a ^at++++=a
wandering ^jj+++xvbg+=wandering
storyteller ^jjr++++=storyteller
to ^in++++=to
factory ^nn++++=factory
slaves ^nns++++=slaves
sometime ^rb++++=sometime
between ^in++++=between
2390 ^cd++++=2390
and ^cc++++=and
2400 ^cd++++=2400.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
speaker ^nn++++=speaker's
's ^$++++=EXTRAWORD
name ^nn++++=name
is ^vbz+bez+aux++=is
nowhere ^rb+pl+splt++=nowhere
given ^vpsv++agls+xvbnx+=given,
, ^zz++++=EXTRAWORD
records ^vbz+vpub+++=records
of ^in++++=of
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
Textile ^nn++++=Textile
Combine ^nn++++=Combine,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
Ledger ^np+++??+=Ledger
H ^zz++++=H-77
- ^zz++++=EXTRAWORD
77 ^cd++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
private ^jj+atrb+++=private
correspondence ^nn+nom+++=correspondence
of ^in++++=of
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
confirm ^vb+vpub+++=confirm
the ^ati++++=the
principal ^jjb+atrb+++=principal
incident ^nn++++=incident.
. ^zz++++=EXTRAWORD
Modern ^jj+atrb+++=Modern
readers ^nns+nom+++=readers
should ^md+nec+++=should
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
slavery ^nn+nom+++=slavery
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
considered ^vbd+vprv++xvbn+=considered
an ^at++++=an
embarrassment ^nn+nom+++=embarrassment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important.
. ^zz++++=EXTRAWORD
Institute ^nn++++=Institute
of ^in++++=of
Early ^jj+atrb+++=Early
Democratic ^jj+atrb+++=Democratic
Antiquities ^nns+nom++??+=Antiquities,
, ^zz++++=EXTRAWORD
Revised ^jj+atrb++xvbn+=Revised
Edition ^nn+nom+++=Edition,
, ^zz++++=EXTRAWORD
3118 ^cd++++=3118
-- ^--+clp+++=--###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Tale ^nn++++=TALE
Of ^in++++=OF
The ^ati++++=THE
Arm ^nn++++=ARM
Listen ^vb++++=Listen,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
Come ^vb++++=Come
closer ^rbr++++=closer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
is ^vbz+bez+vrb++=is
cold ^jj+pred+++=cold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
sit ^vb++++=sit
so ^rb++++=so
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
stove ^nn++++=stove
you ^pp2+pp2+++=you
will ^md+prd+++=will
hear ^vb+vprv+++=hear
your ^pp$+pp2+++=your
teeth ^nns++++=teeth
better ^jjr++++=better
than ^cs+sub+++=than
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
no ^at++++=no
more ^rbr++++=more
coal ^nn++++=coal
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Smoke ^nn++++=Smoke
is ^vbz+bez+vrb++=is
a ^at++++=a
tattler ^nn++++=tattler.
. ^zz++++=EXTRAWORD
Light ^jj++++=Light
is ^vbz+bez+vrb++=is
a ^at++++=a
tattler ^nn++++=tattler.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
a ^at++++=a
warm ^jj+atrb+++=warm
chimney ^nn++++=chimney
may ^md+pos+++=may
carry ^vb++++=carry
news ^nn++++=news
to ^in++++=to
the ^ati++++=the
patrol ^nn++++=patrol.
. ^zz++++=EXTRAWORD
