# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
's ^$++++=EXTRAWORD
Preliminary ^jj+atrb+++=PRELIMINARY
Note ^nn++++=NOTE
The ^ati++++=The
following ^jj+atrb++xvbg+=following
narrative ^nn++++=narrative
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
in ^in++++=in
the ^ati++++=the
winter ^nn++++=winter
of ^in++++=of
2841 ^cd++++=2841
among ^in++++=among
the ^ati++++=the
uncatalogued ^jj+atrb++xvbn+=uncatalogued
wax ^nn++++=wax-cylinder
- ^zz++++=EXTRAWORD
cylinder ^nn+nom+++=EXTRAWORD
transcripts ^vbz+++??+=transcripts
held ^vpsv++by+xvbn+=held
by ^in++++=by
the ^ati++++=the
Institute ^nn++++=Institute
of ^in++++=of
Pre ^np+++??+=Pre-Republican
- ^zz++++=EXTRAWORD
republican ^nn+nom+++=EXTRAWORD
Industrial ^jj+atrb+++=Industrial
Studies ^nns++++=Studies
at ^rb++++=at
New ^jj+atrb+++=New
Glasgow ^np++++=Glasgow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cylinder ^nn+nom+++=cylinder
itself ^ppl++++=itself
has ^vbz+hvz+aux++=has
perished ^vprf+++xvbnx+=perished,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
phonetic ^jj+atrb+++=phonetic
copy ^nn++++=copy,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
in ^in++++=in
2713 ^cd++++=2713
by ^in++++=by
Assistant ^nn+nom+++=Assistant
Archivist ^np+nom++??+=Archivist
Lenore ^np+++??+=Lenore
Hest ^np+++??+=Hest,
, ^zz++++=EXTRAWORD
survives ^vbz++++=survives
in ^in++++=in
Cabinet ^nn++++=Cabinet
44 ^cd++++=44-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Workers ^nns+nom+++=Workers'
' ^zz++++=EXTRAWORD
Commonwealth ^nn++++=Commonwealth
Collection ^nn+nom+++=Collection.
. ^zz++++=EXTRAWORD
Internal ^jj+atrb+++=Internal
evidences ^nns+nom+++=evidences
place ^nn++++=place
the ^ati++++=the
original ^jj+atrb+++=original
recital ^nn++++=recital
between ^in++++=between
the ^ati++++=the
years ^nns++++=years
2190 ^cd++++=2190
and ^cc++++=and
2210 ^cd++++=2210,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
later ^rbr+tm+++=later
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
North ^np+pl+++=North
Atlantic ^np++++=Atlantic
Industrial ^jj+atrb+++=Industrial
Oligarchy ^nn++++=Oligarchy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
speaker ^nn++++=speaker's
's ^$++++=EXTRAWORD
references ^nns+nom+++=references
to ^in++++=to
the ^ati++++=the
Illiteracy ^np+nom++??+=Illiteracy
Statutes ^nns++++=Statutes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
household ^nn++++=household
insignia ^nn+++??+=insignia
of ^in++++=of
Roger ^np++++=Roger
Vanderwater ^np+nom++??+=Vanderwater,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
administration ^nn+nom+++=administration
of ^in++++=of
factory ^nn++++=factory
relief ^nn++++=relief
funds ^nns++++=funds
agree ^vb+vpub+++=agree
substantially ^rb++++=substantially
with ^in++++=with
court ^nn++++=court
records ^vbz+vpub+++=records
of ^in++++=of
the ^ati++++=the
period ^nn++++=period.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
punishment ^nn+nom+++=punishment
of ^in++++=of
the ^ati++++=the
overseers ^nns+nom+++=overseers
Joseph ^np++++=Joseph
Clancy ^np+++??+=Clancy
and ^cc++++=and
Adolph ^np+++??+=Adolph
Munster ^np+nom++??+=Munster
is ^vbz+bez+aux++=is
corroborated ^vpsv++agls+xvbnx+=corroborated,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
guarded ^jj+atrb++xvbn+=guarded
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
Domestic ^jj+atrb+++=Domestic
Chronicle ^nn++++=Chronicle
for ^in++++=for
the ^ati++++=the
year ^nn++++=year
2197 ^cd++++=2197.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reader ^nn++++=reader
should ^md+nec+++=should
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
the ^ati++++=the
words ^nns++++=words
" ^zz++++="worker"
worker ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="slave"
slave ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
legally ^rb++++=legally
interchangeable ^jj++++=interchangeable.
. ^zz++++=EXTRAWORD
The ^ati++++=The
statute ^nn++++=statute
books ^nns++++=books
described ^vbd+++xvbn+=described
the ^ati++++=the
factory ^nn++++=factory
population ^nn+nom+++=population
as ^in++++=as
" ^zz++++="hereditary
hereditary ^jj+atrb+++=EXTRAWORD
