# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Malitia ^np+++??+=MALITIA
Vetus ^np+++??+=VETUS
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
consulship ^nn+nom+++=consulship
of ^in++++=of
Marcus ^np++++=Marcus
Tullius ^np+++??+=Tullius
Cicero ^np+++??+=Cicero
and ^cc++++=and
Caius ^np+++??+=Caius
Antonius ^np+++??+=Antonius
Hybrida ^np+++??+=Hybrida,
, ^zz++++=EXTRAWORD
during ^in++++=during
that ^dt+dem+++=that
disordered ^jj+atrb+++=disordered
autumn ^nn++++=autumn
when ^wrb+who+++=when
rumours ^nns++++=rumours
of ^in++++=of
Catiline ^np++++=Catiline's
's ^$++++=EXTRAWORD
designs ^nns++++=designs
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
move ^vbi++++=move
secretly ^rb++++=secretly
through ^in++++=through
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Lucius ^np+++??+=Lucius
C ^zz++++=C
cilius ^nns+++??+=cilius
Rufus ^np++++=Rufus,
, ^zz++++=EXTRAWORD
quaestor ^nn++++=quaestor
in ^in++++=in
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Hispania ^np+++??+=Hispania
Citerior ^np+++??+=Citerior,
, ^zz++++=EXTRAWORD
first ^od++++=first
addressed ^vbd+++xvbn+=addressed
the ^ati++++=the
Council ^nn++++=Council
of ^in++++=of
Pompelo ^np+++??+=Pompelo
concerning ^in++++=concerning
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
the ^ati++++=the
northern ^jj+atrb+++=northern
mountains ^npl++++=mountains.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
set ^vbd+++xvbnx+=set
down ^rb+phrv+++=down
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
with ^in++++=with
precision ^nn++++=precision,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
affirm ^vb+++??+=affirm
that ^tht+vcmp+++=that
precision ^nn++++=precision
avails ^vbz+++??+=avails
aught ^vbd+++xvbn+=aught
against ^in++++=against
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
subsequently ^rb+tm+++=subsequently
forced ^vbd+++xvbn+=forced
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Pompelo ^np+++??+=Pompelo,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Pompeius ^np+++??+=Pompeius
Magnus ^np+++??+=Magnus
had ^vbd+hvd+aux++=had
enlarged ^vprf+++xvbnx+=enlarged
and ^cc+phrs+++=and
honoured ^vpsv++agls+xvbn+=honoured
after ^in++++=after
his ^pp$+pp3+++=his
Sertorian ^np+++??+=Sertorian
campaigns ^nns++++=campaigns,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
scarcely ^rb+down+++=scarcely
a ^at++++=a
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
Italian ^jj+atrb+++=Italian
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
an ^at++++=an
armed ^jj+atrb++xvbn+=armed
market ^nn++++=market-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
set ^vbd+++xvbn+=set
amongst ^in++++=amongst
hostile ^jj+atrb+++=hostile
immensities ^nns+nom+++=immensities.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
recently ^rb+tm+++=recently
whitened ^jj++++=whitened,
, ^zz++++=EXTRAWORD
enclosed ^j+++xvbn+=enclosed
a ^at++++=a
basilica ^nn+++??+=basilica,
, ^zz++++=EXTRAWORD
pr ^nn+++??+=pr
torium ^nn+++??+=torium,
, ^zz++++=EXTRAWORD
granaries ^nns++++=granaries,
, ^zz++++=EXTRAWORD
baths ^nns++++=baths
of ^in++++=of
modest ^jj+atrb+++=modest
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dwellings ^nns+nom+++=dwellings
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
Roman ^jj+atrb+++=Roman
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
native ^jj+atrb+++=native
magistrates ^nns+nom+++=magistrates
and ^cc++++=and
discharged ^xvbn+++xvbn+=discharged
auxiliaries ^nns++++=auxiliaries.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
southern ^jj+atrb+++=southern
gate ^nn++++=gate
stretched ^vwbn+++xvbn+=stretched
vineyards ^nns++++=vineyards
and ^cc++++=and
stony ^jj+atrb+++=stony
fields ^nns++++=fields;
; ^zz++++=EXTRAWORD
to ^in++++=to
northward ^jjb++++=northward
arose ^vbd+++xvbn+=arose
the ^ati++++=the
Pyren ^np+++??+=Pyren
an ^at++++=an
foothills ^nns++++=foothills,
, ^zz++++=EXTRAWORD
fold ^nn++++=fold
upon ^in++++=upon
fold ^nn++++=fold,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
their ^pp$+pp3+++=their
blue ^jj+atrb+++=blue
ridges ^nns++++=ridges
mingled ^vbd+++xvbn+=mingled
with ^in++++=with
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
at ^rb++++=at
noon ^nn++++=noon
those ^dt+dem+++=those
elevations ^nns+nom+++=elevations
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
duskiness ^nns+nom+++=duskiness
which ^whp+rel+obj++=which
no ^at++++=no
sunlight ^nn++++=sunlight
wholly ^rb++++=wholly
dispersed ^vbd+++xvbn+=dispersed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
folk ^nn++++=folk
inhabiting ^vwbg+++xvbg+=inhabiting
their ^pp$+pp3+++=their
deeper ^jjr+atrb+++=deeper
valleys ^nns++++=valleys
were ^vbd+bed+aux++=were
called ^vpsv++agls+xvbnx+=called
Vascones ^np+++??+=Vascones
by ^in++++=by
our ^pp$+pp1+++=our
geographers ^nns+nom+++=geographers,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
townsmen ^nns++++=townsmen
distinguished ^vbd+++xvbn+=distinguished
amongst ^in++++=amongst
them ^pp3o+pp3+++=them
numerous ^jj+atrb+++=numerous
clans ^nns++++=clans
whose ^whp+rel+obj++=whose
appellations ^nns+nom+++=appellations
I ^pp1a+pp1+++=I
could ^md+pos+++=could
neither ^rb++splt++=neither
pronounce ^vb++++=pronounce
nor ^cc++neg++=nor
reliably ^rb++++=reliably
transcribe ^nn+++??+=transcribe.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
certain ^jj+atrb+++=certain
tribes ^nns++++=tribes
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
save ^vb++++=save
through ^in++++=through
traders ^nns+nom+++=traders
who ^whp+rel+subj++=who
descended ^vbd+++xvbn+=descended
twice ^rb++++=twice
yearly ^jj++++=yearly
with ^in++++=with
salt ^nn++++=salt,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
medicinal ^jj+atrb+++=medicinal
roots ^nns++++=roots
and ^cc++++=and
small ^jj+atrb+++=small
images ^nns++++=images
carved ^vbd+++xvbn+=carved
from ^in++++=from
a ^at++++=a
greasy ^jj+atrb+++=greasy
green ^nn++++=green
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
acknowledged ^vbd+vpub++xvbnx+=acknowledged
neither ^dt++neg++=neither
Roman ^jj+atrb+++=Roman
law ^nn++++=law
nor ^cc++neg++=nor
any ^dti++++=any
recognised ^jj+++xvbn+=recognised
Iberian ^np+++??+=Iberian
divinity ^nn+nom+++=divinity.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
priests ^nns++++=priests
if ^cs+cnd+++=if
priests ^nns++++=priests
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
wore ^vpsv++agls+xvbnx+=wore
masks ^vbz++++=masks
of ^in++++=of
horn ^nn++++=horn
and ^cc++++=and
hide ^nn++++=hide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
rites ^nns++++=rites
occurred ^vbd+++xvbn+=occurred
at ^rb++++=at
the ^ati++++=the
spring ^nn++++=spring
and ^cc++++=and
autumn ^nn++++=autumn
equinoxes ^nns+++??+=equinoxes,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
nights ^nns++++=nights
which ^whp+rel+obj++=which
the ^ati++++=the
townspeople ^nns++++=townspeople,
, ^zz++++=EXTRAWORD
borrowing ^nvbg+++xvbg+=borrowing
some ^dti++++=some
obscure ^jj+atrb+++=obscure
eastern ^jj+atrb+++=eastern
term ^nn++++=term,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Sabbaths ^np+++??+=Sabbaths.
. ^zz++++=EXTRAWORD
At ^rb++++=At
each ^dt++++=each
Sabbath ^nn++++=Sabbath
persons ^nns++++=persons
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
fact ^nn++++=fact
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
entered ^vbd+++xvbn+=entered
in ^in++++=in
the ^ati++++=the
municipal ^jj+atrb+++=municipal
fasti ^nn+++??+=fasti,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
diles ^nns+++??+=diles
habitually ^nn++++=habitually
denied ^vbd+vpub++xvbn+=denied
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
five ^cd++++=five
years ^nns++++=years
preceding ^vwbg+++xvbg+=preceding
my ^pp$+pp1+++=my
quaestorship ^nn+nom+++=quaestorship,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
shepherds ^nns++++=shepherds,
, ^zz++++=EXTRAWORD
woodcutters ^nns+nom+++=woodcutters,
, ^zz++++=EXTRAWORD
muleteers ^nns+nom+++=muleteers
and ^cc++++=and
children ^nns++++=children
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
from ^in++++=from
hamlets ^nns+nom+++=hamlets
within ^in++++=within
a ^at++++=a
day ^nn++++=day's
's ^$++++=EXTRAWORD
journey ^nn++++=journey
of ^in++++=of
Pompelo ^np+++??+=Pompelo.
. ^zz++++=EXTRAWORD
No ^at++++=No
corpse ^nn++++=corpse
was ^vbd+bedz+aux++=was
recovered ^vpsv++agls+xvbnx+=recovered.
. ^zz++++=EXTRAWORD
Dogs ^nns++++=Dogs
refused ^vbd+++xvbn+=refused
the ^ati++++=the
trails ^nns++++=trails.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
autumn ^nn++++=autumn
observance ^nn+nom+++=observance,
, ^zz++++=EXTRAWORD
a ^at++++=a
sandal ^nn++++=sandal
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
a ^at++++=a
missing ^jj+atrb++xvbg+=missing
girl ^nn++++=girl
was ^vbd+bedz+aux++=was
discovered ^vpsv++agls+xvbnx+=discovered
upon ^in++++=upon
the ^ati++++=the
roof ^nn++++=roof
