# ^zz++++=##
# ^zz++++=EXTRAWORD
Root ^nn++++=Root
and ^cc++++=and
Branch ^nn++++=Branch
When ^wrb+who+++=When
Ellis ^np++++=Ellis
Duncan ^np++++=Duncan
entered ^vbd+++xvbn+=entered
his ^pp$+pp3+++=his
uncle ^nn++++=uncle's
's ^vbz+bez+aux++0=EXTRAWORD
counting ^vbg+++xvbgx+=counting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
at ^in++++=at
Dalrymple ^np+++??+=Dalrymple
Mill ^nn++++=Mill,
, ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
Duncan ^np++++=Duncan
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
him ^pp3o+pp3+++=him
to ^to++++=to
sit ^vbi++++=sit
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
noticed ^vbd+vprv+tht0+xvbn+=noticed
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
gave ^vbd+++xvbn+=gave
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
resentment ^nn+nom+++=resentment.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
the ^ati++++=the
high ^jj+atrb+++=high
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
cap ^nn++++=cap
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
while ^cs+sub+++=while
his ^pp$+pp3+++=his
uncle ^npt++++=uncle
finished ^vbd+++xvbn+=finished
adding ^vbg+vpub++xvbg+=adding
a ^at++++=a
column ^nn++++=column
of ^in++++=of
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
was ^vbd+bedz+vrb++=was
fourteen ^cd++++=fourteen,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
height ^nn++++=height
and ^cc++++=and
broad ^jj+atrb+++=broad
shoulders ^nns+nom+++=shoulders
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
appear ^vb+seem+++=appear
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brown ^jj+atrb+++=brown
coat ^nn++++=coat
was ^vbd+bedz+aux++=was
worn ^vpsv++agls+xvbnx+=worn
at ^rb++++=at
the ^ati++++=the
elbows ^nns++++=elbows,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
neatly ^rb++++=neatly
brushed ^jj+++xvbn+=brushed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
twice ^rb++++=twice
mended ^jj+++xvbn+=mended,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
clean ^jj+pred+++=clean.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Timothy ^np++++=Timothy
laid ^vbd+++xvbn+=laid
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
to ^to++++=to
ask ^vbi++++=ask
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
could ^md+pos+++=could
give ^vb++++=give
me ^pp1o+pp1+++=me
work ^nn++++=work,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Timothy ^np++++=Timothy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Work!"
work ^nn++++=EXTRAWORD
