In ^in++++=In
taking ^xvbg+++xvbg+=taking
possession ^nn++++=possession
of ^in++++=of
my ^pp$+pp1+++=my
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
H ^zz++++=H
tel ^np++++=tel
des ^&fw++++=des
Sources ^nns++++=Sources,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
in ^in++++=in
the ^ati++++=the
drawer ^nn++++=drawer
of ^in++++=of
the ^ati++++=the
writing ^jj+++xvbg+=writing-table,
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
a ^at++++=a
railway ^nn++++=railway
timetable ^nn++++=timetable,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
notebook ^nn++++=notebook
bound ^vwbn+++xvbn+=bound
in ^in++++=in
green ^jj+atrb+++=green
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
pages ^nns++++=pages
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
were ^vbd+bed+aux++=were
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
a ^at++++=a
hurried ^jj+atrb++xvbn+=hurried
but ^cc+phrs+++=but
legible ^jj+atrb+++=legible
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
book ^nn++++=book
bore ^vbd+++xvbn+=bore
neither ^dt++neg++=neither
name ^nn++++=name
nor ^cc++neg++=nor
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
waiter ^nn++++=waiter,
, ^zz++++=EXTRAWORD
on ^in++++=on
being ^nn+nn+aux++=being
questioned ^vbd+vpub++xvbn+=questioned,
, ^zz++++=EXTRAWORD
replied ^j+++xvbn+=replied
merely ^rb+cnj+++=merely,
, ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
before ^in++++=before
Monsieur ^npt++++=Monsieur,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
as ^ql++++=as
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--**June
**june ^nn+++??+=EXTRAWORD
3.** ^cd++++=3.**
Arrived ^vbd+++xvbn+=Arrived
at ^rb++++=at
Chatel ^np+++??+=Chatel-Guyon
- ^zz++++=EXTRAWORD
guyon ^nn+++??+=EXTRAWORD
at ^rb++++=at
five ^cd++++=five
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
A ^at++++=A
watering ^jj+atrb++xvbg+=watering
place ^nn++++=place
is ^vbz+bez+vrb++=is
a ^at++++=a
town ^nn++++=town
where ^wrb+who+++=where
people ^nns++++=people
who ^whp+rel+subj++=who
possess ^nns+nom+++=possess
money ^nn++++=money
and ^cc++++=and
have ^vb+hv+vrb++=have
mislaid ^nn+++??+=mislaid
their ^pp$+pp3+++=their
health ^nn++++=health
come ^vb++++=come
to ^in++++=to
exchange ^nn++++=exchange
the ^ati++++=the
former ^ap++++=former
for ^in++++=for
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
recovering ^xvbg+++xvbg+=recovering
the ^ati++++=the
latter ^ap++++=latter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arrangement ^nn+nom+++=arrangement
is ^vbz+bez+vrb++=is
generally ^rb+down+++=generally
satisfactory ^jj+pred+++=satisfactory
to ^in++++=to
the ^ati++++=the
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hotel ^npl++++=hotel
stands ^vbz++++=stands
opposite ^jj++++=opposite
a ^at++++=a
square ^jj++++=square
full ^jj++++=full
of ^in++++=of
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
nurses ^nns++++=nurses,
, ^zz++++=EXTRAWORD
invalids ^nns++++=invalids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
disconsolate ^jj+atrb+++=disconsolate
