When ^wrb+who+++=When
Elizabeth ^np++++=Elizabeth
Astrado ^np+++??+=Astrado
came ^vbd+++xvbn+=came
to ^in++++=to
Bellevale ^np+++??+=Bellevale,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
lies ^vbz++++=lies
among ^in++++=among
the ^ati++++=the
mild ^jj+atrb+++=mild
swells ^nns++++=swells
of ^in++++=of
southern ^np++++=southern
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
corn ^nn++++=corn
grows ^vbz++++=grows
tall ^jj++++=tall
enough ^qlp++++=enough
to ^to++++=to
hide ^vbi++++=hide
a ^at++++=a
mounted ^jj+atrb++xvbn+=mounted
man ^nn++++=man
and ^cc++++=and
the ^ati++++=the
July ^nr++++=July
heavens ^nns++++=heavens
have ^vb+hv+vrb++=have
the ^ati++++=the
lucent ^jj+atrb+++=lucent
blue ^nn++++=blue
of ^in++++=of
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
knew ^vpsv++by+xvbn+=knew
by ^in++++=by
what ^wdt+who+++=what
road ^nn++++=road
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
appeared ^vbd+seem++xvbnx+=appeared
one ^cd1++++=one
April ^nr++++=April
morning ^nn++++=morning
at ^in++++=at
the ^ati++++=the
little ^ap++++=little
inn ^npl++++=inn
beside ^in+pl+++=beside
the ^ati++++=the
railway ^nn++++=railway,
, ^zz++++=EXTRAWORD
attended ^xvbn+++xvbn+=attended
by ^in++++=by
neither ^dt++neg++=neither
husband ^nn++++=husband
nor ^cc++neg++=nor
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessing ^jj+++xvbg+=possessing,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^in++++=as
the ^ati++++=the
town ^nn++++=town
could ^md+pos+++=could
ascertain ^vb+vprv+++=ascertain,
, ^zz++++=EXTRAWORD
three ^cd++++=three
enormous ^jj+atrb+++=enormous
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
six ^cd++++=six
foreign ^jj++++=foreign
boxes ^vbz++++=boxes
bound ^vbd+++xvbn+=bound
with ^in++++=with
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
silk ^nn++++=silk
umbrella ^nn++++=umbrella,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
letter ^nn++++=letter
of ^in++++=of
