# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Many ^ap++++=Many
Years ^nns++++=Years
Father ^nn++++=Father
Olympus ^np+++??+=Olympus
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
large ^jj++++=large
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
beneath ^in+pl+++=beneath
the ^ati++++=the
low ^jj+atrb+++=low
gate ^nn++++=gate
of ^in++++=of
the ^ati++++=the
bishop ^nn++++=bishop's
's ^$++++=EXTRAWORD
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
strangers ^nns+nom+++=strangers
involuntarily ^rb++++=involuntarily
bent ^vbd+++xvbn+=bent
their ^pp$+pp3+++=their
own ^ap++++=own
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shoulders ^nns+nom+++=shoulders
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
designed ^vpsv++agls+xvbnx+=designed
for ^in++++=for
carrying ^xvbg+++xvbg+=carrying
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
chest ^nn++++=chest
resembled ^vbd+++xvbn+=resembled
the ^ati++++=the
polished ^jj+atrb+++=polished
casing ^nn++++=casing
of ^in++++=of
a ^at++++=a
municipal ^jj+atrb+++=municipal
fire ^nn++++=fire
engine ^nn++++=engine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
above ^jjb++++=above
the ^ati++++=the
broad ^jj+atrb+++=broad
purple ^jj+atrb+++=purple
face ^nn++++=face
rose ^vbd+++xvbn+=rose
a ^at++++=a
mane ^nn++++=mane
of ^in++++=of
iron ^nn++++=iron-grey
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
hair ^nn++++=hair
which ^whp+rel+obj++=which
no ^at++++=no
comb ^nn++++=comb
had ^vb+hv+vrb++=had
ever ^rb++++=ever
completely ^rb+amp+++=completely
subdued ^jj++++=subdued.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
Shopkeepers ^nns+nom+++=Shopkeepers
came ^vbd+++xvbn+=came
to ^in++++=to
their ^pp$+pp3+++=their
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
Ladies ^nns++++=Ladies
peered ^vbd+++xvbn+=peered
through ^in++++=through
carriage ^nn+nom+++=carriage
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
few ^ap++++=few
knew ^vbd+vprv++xvbn+=knew
anything ^pn++++=anything
about ^rb++++=about
him ^pp3o+pp3+++=him
except ^cs+sub+++=except
that ^cs"++++=that
on ^in++++=on
feast ^nn++++=feast
days ^nns++++=days
he ^pp3a+pp3+++=he
could ^md+pos+++=could
shake ^vb++++=shake
the ^ati++++=the
crystal ^nn++++=crystal
pendants ^nns+nom+++=pendants
of ^in++++=of
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
chandeliers ^nns+nom+++=chandeliers
with ^in++++=with
a ^at++++=a
single ^jj+atrb+++=single
low ^jj+atrb+++=low
note ^nn++++=note.
. ^zz++++=EXTRAWORD
" ^zz++++="Listen!
listen ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Olympus ^np+++??+=Olympus
is ^vbz+bez+aux++=is
giving ^vbg+++xvbgx+=giving
us ^pp1o+pp1+++=us
the ^ati++++=the
bottom ^jjb+atrb+++=bottom
doh ^nn+++??+=doh!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
people ^nns++++=people
would ^md+prd+++=would
whisper ^vb+vpub+++=whisper
with ^in++++=with
delighted ^nn++++=delighted
alarm ^vb++++=alarm.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
temptation ^nn+nom+++=temptation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
his ^pp$+pp3+++=his
theology ^nn++++=theology.
. ^zz++++=EXTRAWORD
Singers ^nns+nom+++=Singers,
, ^zz++++=EXTRAWORD
like ^in++++=like
actors ^nns++++=actors
and ^cc++++=and
unusually ^rb++++=unusually
handsome ^jj+atrb+++=handsome
men ^nns++++=men,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
seldom ^rb++splt++=seldom
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
forget ^vbi+vprv+++=forget
the ^ati++++=the
instruments ^nns+nom+++=instruments
with ^in++++=with
which ^whp+rel+pied++=which
nature ^nn++++=nature
has ^vbz+hvz+aux++=has
distinguished ^vprf+++xvbnx+=distinguished
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
may ^md+pos+++=may
speak ^vb++++=speak
modestly ^jj++++=modestly
of ^in++++=of
grace ^nn++++=grace,
, ^zz++++=EXTRAWORD
labour ^nn++++=labour,
, ^zz++++=EXTRAWORD
discipline ^nn++++=discipline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
divine ^jj+atrb+++=divine
favour ^nn++++=favour,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
heart ^nn++++=heart
they ^pp3a+pp3+++=they
remember ^nn+nom+++=remember
the ^ati++++=the
evening ^nn++++=evening
when ^wrb+who+++=when
a ^at++++=a
governor ^npt++++=governor
applauded ^vwbn+++xvbn+=applauded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rehearsal ^nn+nom+++=rehearsal
at ^in++++=at
which ^whp+rel+pied++=which
a ^at++++=a
rival ^nn++++=rival
turned ^vbd+++xvbn+=turned
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
exact ^jj+atrb+++=exact
note ^vb++++=note
that ^tht+vcmp+subj++=that
made ^vwbn+++xvbn+=made
three ^cd++++=three
ladies ^nns++++=ladies
faint ^jj++++=faint.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Olympus ^np+++??+=Olympus
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
vain ^rb++++=vain
in ^in++++=in
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
way ^nn++++=way.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
praise ^vb++++=praise
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
pitied ^vbd+++xvbn+=pitied
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
could ^md+pos+++=could
not ^xnot++not++=not
hear ^vb+vprv+++=hear
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
inside ^jjb++++=inside
his ^pp$+pp3+++=his
own ^ap++++=own
ribs ^nns++++=ribs.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
still ^rb++++=still
in ^in++++=in
his ^pp$+pp3+++=his
shirt ^nn++++=shirt,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
before ^cs+sub+++=before
the ^ati++++=the
cracked ^jj+atrb++xvbn+=cracked
mirror ^nn++++=mirror
and ^cc++++=and
tested ^vbd+++xvbn+=tested
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
acoustics ^nn++++=acoustics
upon ^in++++=upon
the ^ati++++=the
bedroom ^nn++++=bedroom
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
" ^zz++++="Doh
doh ^nn+++??+=EXTRAWORD
oh ^uh++++=oh
oh ^uh++++=oh
" ^zz++++="
The ^ati++++=The
wardrobe ^nn++++=wardrobe
gave ^vbd+++xvbn+=gave
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Re
re ^in++++=EXTRAWORD
eh ^uh++++=eh
eh ^uh++++=eh
" ^zz++++="
A ^at++++=A
blue ^jj+atrb+++=blue
glass ^nn++++=glass
on ^in++++=on
the ^ati++++=the
washstand ^nn++++=washstand
trembled ^vbd+++xvbn+=trembled
agreeably ^rb++++=agreeably.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Pelageya ^np+++??+=Pelageya
Andreevna ^np+++??+=Andreevna,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
appear ^vb+seem+++=appear
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
small ^jj++++=small,
, ^zz++++=EXTRAWORD
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
yellowish ^jj++++=yellowish,
, ^zz++++=EXTRAWORD
with ^in++++=with
shoulders ^nns+nom+++=shoulders
sharp ^jj++++=sharp
as ^cs+sub+++=as
folded ^jj+atrb++xvbn+=folded
scissors ^nns++++=scissors.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
beginning ^nvbg+++xvbg+=beginning
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
buffalo ^nn+++??+=buffalo?
? ^zz++++=EXTRAWORD
The ^ati++++=The
neighbours ^nns++++=neighbours
are ^vb+ber+vrb++=are
asleep ^jj+pred+++=asleep."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
seeing ^vbg+vprv++xvbgx+=seeing
whether ^cs+who+++=whether
the ^ati++++=the
throat ^nn++++=throat
" ^zz++++="
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
seeing ^vbg+vprv++xvbgx+=seeing.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
you ^pp2+pp2+++=you
drank ^vbd+++xvbn+=drank
cold ^jj+atrb+++=cold
kvass ^nns+++??+=kvass.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
before ^cs+sub+++=before
yesterday ^nr+tm+++=yesterday
you ^pp2+pp2+++=you
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
draught ^nn++++=draught.
. ^zz++++=EXTRAWORD
Tonight ^nr+tm+++=Tonight
you ^pp2+pp2+++=you
snored ^vbd+++xvbn+=snored
like ^in++++=like
a ^at++++=a
sawmill ^nn+++??+=sawmill.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
lose ^vb++++=lose
your ^pp$+pp2+++=your
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
what ^wdt+who+++=what
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
eat ^vb++++=eat?
? ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
beard ^nn++++=beard?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Father ^nn++++=Father
Olympus ^np+++??+=Olympus,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
could ^md+pos+++=could
fill ^vb++++=fill
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
with ^in++++=with
terror ^nn++++=terror
at ^in++++=at
forty ^cd++++=forty
paces ^nns++++=paces,
, ^zz++++=EXTRAWORD
lowered ^j+++xvbn+=lowered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
before ^in++++=before
this ^dt+dem+++=this
little ^jj+atrb+++=little
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pasha ^npt++++=Pasha."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gargle."
gargle ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pasha ^npt++++=Pasha."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
no ^at++++=no
vodka ^nn++++=vodka."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sighed ^vbd+++xvbnx+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
even ^rb++++=even
one ^cd1++++=one
little ^jj+atrb+++=little
glass ^nn++++=glass
for ^in++++=for
warmth ^nn++++=warmth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
warmth ^nn++++=warmth!
! ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
liver ^nn++++=liver
is ^vbz+bez+aux++=is
warm ^vb++++=warm
enough ^qlp++++=enough
to ^to++++=to
roast ^vbi++++=roast
a ^at++++=a
goose ^nn++++=goose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
were ^vbd+bed+vrb++=were
the ^ati++++=the
domestic ^jj+atrb+++=domestic
lives ^nns++++=lives
of ^in++++=of
celebrated ^jj+atrb++xvbn+=celebrated
men ^nns++++=men
regulated ^vwbn+++xvbn+=regulated
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father
Olympus ^np+++??+=Olympus
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
less ^rbr++splt++=less
occupied ^vpsv++agls+xvbn+=occupied
with ^in++++=with
his ^pp$+pp3+++=his
throat ^nn++++=throat
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evenings ^nns++++=evenings
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reading ^vbg+++xvbgx+=reading
a ^at++++=a
novel ^nn++++=novel
by ^in++++=by
Count ^nn++++=Count
Leo ^np++++=Leo
Tolstoy ^np++++=Tolstoy.
. ^zz++++=EXTRAWORD
A ^at++++=A
schoolmaster ^nn+nom+++=schoolmaster
from ^in++++=from
the ^ati++++=the
district ^nn++++=district
gymnasium ^nn++++=gymnasium,
, ^zz++++=EXTRAWORD
a ^at++++=a
