By ^in++++=By
four ^cd++++=four
o'clock ^rb++++=o'clock
the ^ati++++=the
light ^nn++++=light
over ^in++++=over
the ^ati++++=the
office ^nn++++=office
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
dirty ^jj+atrb+++=dirty
wool ^nn++++=wool.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
pressed ^vbd+++xvbn+=pressed
against ^in++++=against
the ^ati++++=the
high ^jj+atrb+++=high
windows ^nns++++=windows
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
every ^at++++=every
smear ^nn++++=smear
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
green ^nn++++=green
shades ^nns++++=shades
the ^ati++++=the
clerks ^nns++++=clerks
bent ^vbd+++xvbn+=bent
over ^in++++=over
their ^pp$+pp3+++=their
books ^nns++++=books,
, ^zz++++=EXTRAWORD
ruling ^jj++++=ruling,
, ^zz++++=EXTRAWORD
copying ^jj+++xvbg+=copying,
, ^zz++++=EXTRAWORD
blotting ^nn++++=blotting,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
pages ^nns++++=pages;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
scratch ^nn++++=scratch
of ^in++++=of
their ^pp$+pp3+++=their
pens ^nns++++=pens
went ^vbd+++xvbn+=went
on ^in++++=on
with ^in++++=with
the ^ati++++=the
steadiness ^nns+nom+++=steadiness
of ^in++++=of
mice ^nns++++=mice
behind ^in+pl+++=behind
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
Farrington ^np+++??+=Farrington
sat ^vbd+++xvbn+=sat
at ^in++++=at
the ^ati++++=the
last ^jj+atrb+++=last
desk ^nn++++=desk
but ^cc++++=but
one ^pn++++=one,
, ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj+atrb+++=broad
man ^nn++++=man
in ^in++++=in
a ^at++++=a
shiny ^jj+atrb+++=shiny
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
collar ^nn++++=collar
of ^in++++=of
the ^ati++++=the
coat ^nn++++=coat
was ^vbd+bedz+vrb++=was
grey ^np++++=grey
with ^in++++=with
wear ^nn++++=wear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dark ^jj+atrb+++=dark
crescent ^npl++++=crescent
of ^in++++=of
sweat ^nn++++=sweat
had ^vbd+hvd+aux++=had
dried ^vprf+++xvbnx+=dried
between ^in++++=between
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy
and ^cc+phrs+++=and
inflamed ^jj++++=inflamed,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
darker ^jjr++++=darker
than ^in++++=than
usual ^nn++++=usual
in ^in++++=in
the ^ati++++=the
failing ^jj+++xvbg+=failing
light ^jj++++=light.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
copied ^vprf+++xvbnx+=copied
seventeen ^cd++++=seventeen
lines ^nns++++=lines
of ^in++++=of
the ^ati++++=the
contract ^nn++++=contract
since ^in++++=since
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
the ^ati++++=the
sheet ^nn++++=sheet
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
it ^pp3+it+++=it
fixedly ^rb++++=fixedly.
. ^zz++++=EXTRAWORD
Seventeen ^cd++++=Seventeen
lines ^nns++++=lines.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
five ^cd++++=five
full ^jj+atrb+++=full
pages ^nns++++=pages
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
before ^in++++=before
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
five ^cd++++=five.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
tongue ^nn++++=tongue
moved ^vbd+++xvbn+=moved
over ^in++++=over
his ^pp$+pp3+++=his
dry ^jj+atrb+++=dry
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
feel ^vb+vprv+++=feel
the ^ati++++=the
thirst ^nn++++=thirst
in ^in++++=in
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
his ^pp$+pp3+++=his
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
a ^at++++=a
rough ^jj+atrb+++=rough
hot ^jj+atrb+++=hot
patch ^nn++++=patch
which ^whp+rel+obj++=which
no ^at++++=no
swallowing ^nn++++=swallowing
eased ^vbd+++xvbn+=eased.
. ^zz++++=EXTRAWORD
All ^abn++++=All
afternoon ^nn++++=afternoon
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
not ^xnot++not++=not
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
porter ^nn++++=porter.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
thought ^nn+++xvbn+=thought
came ^vbd+++xvbn+=came
back ^jjb++++=back
each ^dt++++=each
time ^nn++++=time
his ^pp$+pp3+++=his
pen ^nn++++=pen
stopped ^vbd+++xvbn+=stopped:
: ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj+atrb+++=black
pint ^nn++++=pint
standing ^vwbg+++xvbg+=standing
on ^in++++=on
a ^at++++=a
wet ^jj+atrb+++=wet
counter ^nn++++=counter,
, ^zz++++=EXTRAWORD
the ^ati++++=the
foam ^nn++++=foam
settling ^vwbg+++xvbg+=settling
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
cold ^jj+atrb+++=cold
mouthful ^nn+nom+++=mouthful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
in ^in++++=in
the ^ati++++=the
inner ^jjb+atrb+++=inner
office ^nn++++=office
rang ^vbd+++xvbn+=rang.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
moved ^vbd+++xvbn+=moved.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="Farrington!"
farrington ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=called
the ^ati++++=the
chief ^jjb+atrb+++=chief
clerk ^nn++++=clerk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
pushed ^vwbn+++xvbn+=pushed
back ^jjb++++=back
his ^pp$+pp3+++=his
chair ^nn++++=chair
and ^cc++++=and
rose ^nn+++xvbn+=rose
heavily ^rb++++=heavily.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
room ^nn++++=room
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
aware ^jj++++=aware
that ^tht+jcmp+++=that
the ^ati++++=the
other ^ap++++=other
clerks ^nns++++=clerks
had ^vbd+hvd+aux++=had
lowered ^vprf+++xvbnx+=lowered
their ^pp$+pp3+++=their
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
glass ^nn++++=glass
door ^nn++++=door
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Alleyne ^np++++=Alleyne
stood ^vbd+++xvbn+=stood
beside ^in+pl+++=beside
the ^ati++++=the
fireplace ^nn++++=fireplace
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
beneath ^in+pl+++=beneath
the ^ati++++=the
tails ^nn++++=tails
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
pink ^jj+atrb+++=pink,
, ^zz++++=EXTRAWORD
hairless ^jj+atrb+++=hairless
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
gas ^nn++++=gas
his ^pp$+pp3+++=his
bald ^jj+atrb+++=bald
head ^nn++++=head
shone ^vbd+++xvbn+=shone
smooth ^jj++++=smooth
and ^cc++++=and
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
egg ^nn++++=egg
left ^vbd+++xvbn+=left
upon ^in++++=upon
a ^at++++=a
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Delacour ^np++++=Delacour
sat ^vwbn+++xvbn+=sat
by ^in++++=by
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
on ^in++++=on
one ^cd1++++=one
glove ^nn++++=glove
finger ^nn++++=finger
by ^in++++=by
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
A ^at++++=A
blue ^jj+atrb+++=blue
feather ^nn++++=feather
trembled ^vbd+++xvbn+=trembled
over ^in++++=over
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
perfume ^nn++++=perfume
about ^rb++++=about
her ^pp3o+pp3+++=her
made ^vbd+++xvbn+=made
the ^ati++++=the
air ^nn++++=air
seem ^vb+seem+++=seem
close ^nn++++=close.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Alleyne ^np++++=Alleyne
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Farrington ^np+++??+=Farrington
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Alleyne ^np++++=Alleyne
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
rang ^vbd+++xvbnx+=rang
twice ^rb++++=twice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
soon ^rb+tm+++=soon
as ^ql++++=as
you ^pp2+pp2+++=you
heard ^vbd+vprv++xvbn+=heard.
. ^zz++++=EXTRAWORD
Quite ^rb++++=Quite.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
perhaps ^rb++++=perhaps
you ^pp2+pp2+++=you
will ^md+prd+++=will
tell ^vb++++=tell
me ^pp1o+pp1+++=me
where ^wrb+who+++=where
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
during ^in++++=during
the ^ati++++=the
last ^ap++++=last
twenty ^cd++++=twenty
minutes ^nns++++=minutes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Farrington ^np+++??+=Farrington
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
strip ^nn++++=strip
of ^in++++=of
carpet ^nn++++=carpet
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
lavatory ^nn++++=lavatory,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
twenty ^cd++++=twenty
minutes ^nns++++=minutes?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No?
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
where ^wrb+who+whq++=where
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
downstairs ^jjb+pred+++=downstairs
for ^in++++=for
part ^nn++++=part
