# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Easter ^np++++=Easter
Passage ^nn+nom+++=Passage
At ^rb++++=At
forty ^cd++++=forty,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Nikolai ^np+++??+=Nikolai
Andreyevich ^np+++??+=Andreyevich
Voznitsin ^np+++??+=Voznitsin
began ^vbd+++xvbn+=began
to ^to++++=to
grow ^vbi++++=grow
old ^jj++++=old.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mean ^vb++++=mean
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
stooped ^vbd+++xvbnx+=stooped,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
coughed ^vpsv++agls+xvbn+=coughed
in ^in++++=in
the ^ati++++=the
mornings ^nns++++=mornings,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
counted ^vbd+++xvbn+=counted
the ^ati++++=the
steps ^nns++++=steps
to ^in++++=to
the ^ati++++=the
third ^nn++++=third
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
broad ^jj+pred+++=broad
in ^in++++=in
the ^ati++++=the
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
moustache ^nn++++=moustache
was ^vbd+bedz+vrb++=was
still ^rb++++=still
almost ^rb+hdg+++=almost
entirely ^rb+amp+++=entirely
black ^jj++++=black,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
reviews ^nns++++=reviews
he ^pp3a+pp3+++=he
could ^md+pos+++=could
sit ^vb++++=sit
a ^at++++=a
horse ^nn++++=horse
for ^in++++=for
six ^cd++++=six
hours ^nns++++=hours
without ^in++++=without
afterwards ^rb+tm+++=afterwards
acknowledging ^vbg+++xvbg+=acknowledging
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
a ^at++++=a
stiffness ^nns+nom+++=stiffness
in ^in++++=in
the ^ati++++=the
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
men ^nns++++=men
whose ^whp+rel+obj++=whose
old ^jj+atrb+++=old
age ^nn++++=age
begins ^vbz++++=begins
in ^in++++=in
the ^ati++++=the
bones ^nns++++=bones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
Voznitsin ^np+++??+=Voznitsin
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
where ^wrb+who+++=where
no ^at++++=no
doctor ^nn++++=doctor
could ^md+pos+++=could
find ^vb+vprv+++=find
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Pleasures ^nns++++=Pleasures
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
suspiciously ^rb++++=suspiciously
alike ^rb++++=alike.
. ^zz++++=EXTRAWORD
Wine ^nn++++=Wine
warmed ^vwbn+++xvbn+=warmed
him ^pp3o+pp3+++=him
without ^in++++=without
making ^xvbg+++xvbg+=making
him ^pp3o+pp3+++=him
merry ^jj++++=merry;
; ^zz++++=EXTRAWORD
women ^nns++++=women
pleased ^vbd+++xvbn+=pleased
and ^cc+phrs+++=and
wearied ^vprf+++xvbn+=wearied
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
hour ^nn++++=hour;
; ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
at ^in++++=at
twenty ^cd++++=twenty
had ^vbd+hvd+aux++=had
shaken ^vprf+++xvbnx+=shaken
his ^pp$+pp3+++=his
heart ^nn++++=heart
as ^in++++=as
a ^at++++=a
storm ^nn++++=storm
shakes ^vbz++++=shakes
a ^at++++=a
young ^jj+atrb+++=young
birch ^nn++++=birch,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
produced ^xvbn+++xvbn+=produced
reflections ^nns+nom+++=reflections
concerning ^in++++=concerning
the ^ati++++=the
orchestra ^nn++++=orchestra,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
the ^ati++++=the
absurd ^jj+atrb+++=absurd
neck ^nn++++=neck
of ^in++++=of
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
in ^in++++=in
front ^nn++++=front.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
noticed ^vbd+vprv++xvbnx+=noticed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
as ^in++++=as
a ^at++++=a
religious ^jj+atrb+++=religious
mystery ^nn+nom+++=mystery
or ^cc++++=or
a ^at++++=a
poetical ^jj+atrb+++=poetical
misfortune ^nn++++=misfortune,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
a ^at++++=a
personal ^jj+atrb+++=personal
inconvenience ^nn+nom+++=inconvenience.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
some ^dti++++=some
old ^jj+atrb+++=old
general ^npt++++=general
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
Nikolai ^np+++??+=Nikolai
Andreyevich ^np+++??+=Andreyevich
no ^at++++=no
longer ^rbr++++=longer
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="He
