At ^rb++++=At
four ^cd++++=four
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
winter ^nn++++=winter
light ^jj++++=light
had ^vbd+hvd+aux++=had
thinned ^vprf+++xvbnx+=thinned
to ^in++++=to
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
skimmed ^jj+atrb++xvbn+=skimmed
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bell ^nn++++=bell
rang ^vbd+++xvbn+=rang.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
expecting ^vbg+vprv++xvbgx+=expecting
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless
she ^pp3a+pp3+++=she
sat ^vbd+++xvbnx+=sat
quite ^rb++++=quite
still ^rb++++=still
at ^rb++++=at
her ^pp3o+pp3+++=her
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hand ^nn++++=hand
resting ^vwbg+++xvbg+=resting
on ^in++++=on
a ^at++++=a
page ^nn++++=page
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
read ^vb+vprv++xvbn+=read
for ^in++++=for
ten ^cd++++=ten
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
the ^ati++++=the
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
impatient ^jj+atrb+++=impatient
vibration ^nn+nom+++=vibration
pass ^vb++++=pass
through ^in++++=through
the ^ati++++=the
studio ^nn++++=studio.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Instantly ^rb+tm+++=Instantly
the ^ati++++=the
room ^nn++++=room
drew ^vbd+++xvbn+=drew
itself ^ppl++++=itself
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
The ^ati++++=The
orange ^np++++=orange
shade ^nn++++=shade
over ^in++++=over
the ^ati++++=the
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
more ^rbr++++=more
warmly ^rb++++=warmly;
