# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Deposition ^nn+nom+++=Deposition
Before ^in++++=Before
the ^ati++++=the
Academy ^nn++++=Academy
of ^in++++=of
Practical ^jj+atrb+++=Practical
Sciences ^nns+nom+++=Sciences
Gentlemen ^nns++++=Gentlemen
of ^in++++=of
the ^ati++++=the
Academy ^nn++++=Academy,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
requested ^vprf+++xvbnx+=requested
an ^at++++=an
account ^nn++++=account
of ^in++++=of
my ^pp$+pp1+++=my
development ^nn+nom+++=development
from ^in++++=from
an ^at++++=an
ape ^nn++++=ape
into ^in++++=into
what ^wdt+who+++=what
your ^pp$+pp2+++=your
secretary ^nn+nom+++=secretary,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
tact ^nn++++=tact
for ^in++++=for
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
grateful ^jj+pred+++=grateful,
, ^zz++++=EXTRAWORD
calls ^vbz++++=calls
" ^zz++++="a
a ^at++++=EXTRAWORD
person ^nn++++=person
of ^in++++=of
established ^vbd+vprv++xvbn+=established
public ^jj+atrb+++=public
standing ^nvbg+++xvbg+=standing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
accept ^vb+vprv+++=accept
the ^ati++++=the
phrase ^nn++++=phrase.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
the ^ati++++=the
advantage ^nn+nom+++=advantage
of ^in++++=of
describing ^xvbg+++xvbg+=describing
my ^pp$+pp1+++=my
position ^nn+nom+++=position
without ^in++++=without
examining ^xvbg+++xvbg+=examining
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
begin ^vb++++=begin,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
by ^in++++=by
disappointing ^jj++++=disappointing
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ask ^vb++++=ask
for ^in+ppvb+++=for
recollections ^nns+nom+++=recollections
of ^in++++=of
my ^pp$+pp1+++=my
former ^ap++++=former
life ^nn++++=life:
: ^zz++++=EXTRAWORD
the ^ati++++=the
damp ^jj+atrb+++=damp
forests ^nns++++=forests
of ^in++++=of
the ^ati++++=the
Gold ^nn++++=Gold
Coast ^nn++++=Coast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
society ^nn++++=society
of ^in++++=of
my ^pp$+pp1+++=my
troop ^nn++++=troop,
, ^zz++++=EXTRAWORD
the ^ati++++=the
arrangement ^nn+nom+++=arrangement
of ^in++++=of
our ^pp$+pp1+++=our
affections ^nns+nom+++=affections
and ^cc++++=and
quarrels ^nns++++=quarrels,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
even ^rb++++=even
some ^dti++++=some
observations ^nns+nom+++=observations
concerning ^in++++=concerning
the ^ati++++=the
