# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=SIXTY-TWO
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
Cents ^nns++++=CENTS
At ^in++++=At
noon ^nn++++=noon
the ^ati++++=the
price ^nn++++=price
came ^vbd+++xvbn+=came
over ^in++++=over
the ^ati++++=the
wire ^nn++++=wire
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
agent ^nn++++=agent
at ^rb++++=at
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk:
: ^zz++++=EXTRAWORD
December ^nr+nom+++=December
wheat ^nn++++=wheat,
, ^zz++++=EXTRAWORD
sixty ^cd++++=sixty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agent ^nn++++=agent
wrote ^vbd+vprv++xvbn+=wrote
the ^ati++++=the
figures ^nns++++=figures
in ^in++++=in
blue ^jj+atrb+++=blue
pencil ^nn++++=pencil
upon ^in++++=upon
the ^ati++++=the
margin ^nn++++=margin
of ^in++++=of
a ^at++++=a
circular ^nn++++=circular
and ^cc++++=and
pinned ^xvbn+++xvbn+=pinned
it ^pp3+it+++=it
behind ^in+pl+++=behind
the ^ati++++=the
fly ^vb++++=fly-specked
- ^zz++++=EXTRAWORD
specked ^jj+atrb++xvbn+=EXTRAWORD
glass ^nn++++=glass
of ^in++++=of
the ^ati++++=the
bulletin ^nn++++=bulletin
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
two ^cd++++=two
o'clock ^rb++++=o'clock
every ^at++++=every
farmer ^nn++++=farmer
within ^in++++=within
ten ^cd++++=ten
miles ^nns++++=miles
knew ^vbd+vprv++xvbn+=knew
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
stopped ^vbd+++xvbn+=stopped
their ^pp$+pp3+++=their
teams ^nns++++=teams
in ^in++++=in
the ^ati++++=the
road ^nn++++=road
to ^to++++=to
tell ^vbi++++=tell
one ^cd1++++=one
another ^dt++++=another;
; ^zz++++=EXTRAWORD
the ^ati++++=the
blacksmith ^nn++++=blacksmith
repeated ^vbd+++xvbn+=repeated
it ^pp3+it+++=it
between ^in++++=between
strokes ^nns+++??+=strokes
of ^in++++=of
his ^pp$+pp3+++=his
hammer ^nn++++=hammer;
; ^zz++++=EXTRAWORD
at ^in++++=at
Delaney ^np++++=Delaney's
's ^$++++=EXTRAWORD
store ^nn++++=store
they ^pp3a+pp3+++=they
discussed ^vbd+++xvbnx+=discussed
it ^pp3+it+++=it
in ^in++++=in
low ^jj+atrb+++=low
voices ^nns++++=voices
over ^in++++=over
the ^ati++++=the
flour ^nn++++=flour
barrels ^nns++++=barrels.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
cents ^nns++++=cents
meant ^vbd+vprv++xvbn+=meant
ruin ^nn++++=ruin.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
cost ^nn++++=cost
Sam ^nn++++=Sam
Lewiston ^np+++??+=Lewiston
seventy ^cd++++=seventy-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
cents ^nns++++=cents
to ^to++++=to
grow ^vbi++++=grow
his ^pp$+pp3+++=his
wheat ^nn++++=wheat.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
included ^jj+atrb++xvbn+=included
seed ^nn++++=seed,
, ^zz++++=EXTRAWORD
