At ^rb++++=At
the ^ati++++=the
Cannes ^np++++=Cannes
Flower ^nn++++=Flower
Festival ^nn+nom+++=Festival,
, ^zz++++=EXTRAWORD
Marguerite ^np+++??+=Marguerite
and ^cc++++=and
Simone ^np++++=Simone
seemed ^vbd+seem++xvbn+=seemed
buried ^vbd+++xvbn+=buried
alive ^jj++++=alive
beneath ^rb++++=beneath
blossoms ^vbz+++??+=blossoms.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
landau ^nn+++??+=landau,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
from ^in++++=from
wheel ^nn++++=wheel-rim
- ^zz++++=EXTRAWORD
rim ^nn++++=EXTRAWORD
to ^in++++=to
lantern ^nn++++=lantern
in ^in++++=in
garlands ^nns++++=garlands,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
rigid ^jj+atrb+++=rigid
appearance ^nn+nom+++=appearance
of ^in++++=of
a ^at++++=a
carriage ^nn+nom+++=carriage
and ^cc++++=and
become ^vb++++=become
a ^at++++=a
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling,
, ^zz++++=EXTRAWORD
flowery ^nn+nom+++=flowery
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Roses ^nns++++=Roses
covered ^vbd+++xvbn+=covered
the ^ati++++=the
doors ^nns++++=doors;
; ^zz++++=EXTRAWORD
pale ^nn++++=pale
carnations ^nns+nom+++=carnations
trembled ^vbd+++xvbn+=trembled
along ^in++++=along
the ^ati++++=the
hood ^nn++++=hood;
; ^zz++++=EXTRAWORD
violets ^nns+nom+++=violets,
, ^zz++++=EXTRAWORD
crushed ^xvbn+++xvbn+=crushed
by ^in++++=by
the ^ati++++=the
ladies ^nns++++=ladies'
' ^zz++++=EXTRAWORD
skirts ^nns++++=skirts,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
out ^rp+pl+++=out
a ^at++++=a
warm ^jj+atrb+++=warm
and ^cc+phrs+++=and
melancholy ^jj+atrb+++=melancholy
perfume ^nn++++=perfume;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^jj+atrb+++=long
sprays ^nns++++=sprays
