Adventure ^nn++++=Adventure
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
supposed ^vpsv++agls+xvbnx+=supposed
to ^to+vcmp+++=to
favour ^vb++++=favour
the ^ati++++=the
bold ^jj++++=bold,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
agreeable ^jj+atrb+++=agreeable
theories ^nns++++=theories
which ^whp+rel+subj++=which
owe ^vb++++=owe
their ^pp$+pp3+++=their
survival ^nn+nom+++=survival
to ^in++++=to
the ^ati++++=the
bold ^nn++++=bold
having ^xvbg+++xvbg+=having
written ^xvbn+++xvbn+=written
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
memoirs ^nns++++=memoirs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cautious ^jj++++=cautious
also ^rb++++=also
encounter ^nn+nom+++=encounter
adventures ^nns++++=adventures;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
merely ^rb+down+++=merely
experience ^nn+nom+++=experience
them ^pp3o+pp3+++=them
as ^in++++=as
administrative ^jj+atrb+++=administrative
errors ^nns++++=errors.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
Abbleway ^np+++??+=Abbleway
was ^vbd+bedz+vrb++=was
cautious ^jj+pred+++=cautious
by ^in++++=by
upbringing ^nn++++=upbringing,
, ^zz++++=EXTRAWORD
profession ^nn++++=profession,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
private ^jj+atrb+++=private
inclination ^nn+nom+++=inclination.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
a ^at++++=a
town ^nn++++=town
where ^wrb+who+++=where
the ^ati++++=the
principal ^jjb+atrb+++=principal
excitements ^nns+nom+++=excitements
were ^vbd+bed+vrb++=were
municipal ^jj+atrb+++=municipal
elections ^nns+nom+++=elections
and ^cc++++=and
the ^ati++++=the
annual ^jj+atrb+++=annual
rumour ^nn++++=rumour
that ^tht+ncmp+++=that
a ^at++++=a
second ^od++++=second
bank ^nn++++=bank
might ^md+pos+++=might
open ^vb++++=open.
. ^zz++++=EXTRAWORD
At ^rb++++=At
thirty ^cd++++=thirty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
he ^pp3a+pp3+++=he
represented ^vbd+++xvbnx+=represented
an ^at++++=an
English ^jj++++=English
firm ^jj++++=firm
that ^cs+sub+++=that
sold ^vprf+++xvbn+=sold
agricultural ^jj+atrb+++=agricultural
machinery ^nn+nom+++=machinery
to ^in++++=to
countries ^nns++++=countries
whose ^whp+rel+obj++=whose
agriculture ^nn++++=agriculture
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
as ^ql++++=as
picturesque ^jj++++=picturesque
but ^cc+cls+++=but
whose ^whp+who+++=whose
machinery ^nn+nom+++=machinery
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
as ^ql++++=as
regrettably ^rb++++=regrettably
foreign ^jj++++=foreign.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
business ^nns+nom+++=business
journeys ^nns++++=journeys
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
through ^in++++=through
places ^nns++++=places
in ^in++++=in
which ^whp+rel+pied++=which
emperors ^nns++++=emperors,
, ^zz++++=EXTRAWORD
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
railway ^nn++++=railway
timetables ^nns++++=timetables
seemed ^vbd+seem++xvbn+=seemed
equally ^rb++++=equally
liable ^jj++++=liable
to ^to+jcmp+++=to
alteration ^nn+nom+++=alteration
without ^in++++=without
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
travelling ^nvbg+++xvbg+=travelling
from ^in++++=from
Vienna ^np++++=Vienna
to ^in++++=to
Fiume ^np+++??+=Fiume,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
meet ^vbi++++=meet
his ^pp$+pp3+++=his
fianc ^nn+++??+=fianc
e ^zz++++=e,
, ^zz++++=EXTRAWORD
Millicent ^np+++??+=Millicent
Sowerby ^np+++??+=Sowerby.
. ^zz++++=EXTRAWORD
Millicent ^np+++??+=Millicent
was ^vbd+bedz+vrb++=was
a ^at++++=a
placidly ^rb++++=placidly
lovable ^jj+atrb+++=lovable
English ^jj+atrb+++=English
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
John ^np++++=John
James ^np++++=James
was ^vbd+bedz+vrb++=was
placidly ^rb++++=placidly
in ^in++++=in
love ^nn++++=love
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
engagement ^nn+nom+++=engagement
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
undertaken ^vpsv++agls+xvbnx+=undertaken
with ^in++++=with
every ^at++++=every
precaution ^nn+nom+++=precaution
which ^whp+rel+subj++=which
could ^md+pos+++=could
reasonably ^rb++++=reasonably
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
so ^ql+emph+++=so
hazardous ^jj++++=hazardous
an ^at++++=an
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
consent ^nn++++=consent
of ^in++++=of
both ^abx++++=both
families ^nns++++=families
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
obtained ^vpsv++agls+xvbnx+=obtained;
; ^zz++++=EXTRAWORD
incomes ^nns++++=incomes
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
compared ^vpsv++agls+xvbnx+=compared;
; ^zz++++=EXTRAWORD
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
dietary ^jj++++=dietary,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seaside ^nn++++=seaside
preferences ^nns+nom+++=preferences
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
discussed ^vpsv++agls+xvbnx+=discussed.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
remained ^vbd+++xvbn+=remained
except ^in++++=except
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^cs+sub+++=even
that ^dt+pdem+++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fixed ^vpsv++agls+xvbnx+=fixed
for ^in++++=for
a ^at++++=a
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
that ^tht+ncmp+++=that
railway ^nn++++=railway
accommodation ^nn+nom+++=accommodation
was ^vbd+bedz+vrb++=was
easier ^jjr+pred+++=easier
toward ^in++++=toward
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
week ^nn++++=week.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
therefore ^rb+cnj+++=therefore
had ^vb+hv+vrb++=had
a ^at++++=a
future ^jjb++++=future,
, ^zz++++=EXTRAWORD
a ^at++++=a
timetable ^nn++++=timetable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
second ^od++++=second-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
compartment ^nn+nom+++=compartment
almost ^rb+hdg+++=almost
to ^in++++=to
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
three ^cd++++=three
possessions ^nns++++=possessions
which ^whp+rel+subj++=which
generally ^rb+down+++=generally
produce ^vb++++=produce
serenity ^nn+nom+++=serenity
in ^in++++=in
an ^at++++=an
Englishman ^nn+nom+++=Englishman
abroad ^rb+pl+++=abroad.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fourth ^od++++=fourth
occupant ^nn+nom+++=occupant
of ^in++++=of
his ^pp$+pp3+++=his
happiness ^nns+nom+++=happiness
was ^vbd+bedz+vrb++=was
a ^at++++=a
luncheon ^nn++++=luncheon
basket ^nn++++=basket
containing ^vwbg+++xvbg+=containing
ham ^nn++++=ham,
, ^zz++++=EXTRAWORD
bread ^nn++++=bread,
