I ^pp1a+pp1+++=I
Little ^ap++++=Little
Nadya ^np+++??+=Nadya
was ^vbd+bedz+vrb++=was
six ^cd++++=six
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
nearly ^rb+down+++=nearly
a ^at++++=a
month ^nn++++=month
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
ill ^jj++++=ill
with ^in++++=with
a ^at++++=a
strange ^jj+atrb+++=strange
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
complained ^vprf+++xvbnx+=complained
of ^in++++=of
a ^at++++=a
headache ^nn++++=headache.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
refused ^vprf+++xvbnx+=refused
her ^pp$+pp3+++=her
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
leave ^vbi++++=leave
her ^pp$+pp3+++=her
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
sun ^nn++++=sun
shone ^vbd+++xvbn+=shone
warmly ^rb++++=warmly
through ^in++++=through
the ^ati++++=the
nursery ^nn+nom+++=nursery
windows ^nns++++=windows
and ^cc++++=and
her ^pp$+pp3+++=her
nurse ^vb++++=nurse
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
in ^rb+phrv+++=in
the ^ati++++=the
yellow ^jj+atrb+++=yellow
perambulator ^nn++++=perambulator
which ^whp+rel+obj++=which
Nadya ^np+++??+=Nadya
generally ^rb+down+++=generally
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
push ^vbi++++=push
from ^in++++=from
room ^nn++++=room
to ^in++++=to
room ^nn++++=room.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
weaker ^jjr++++=weaker
and ^cc+phrs+++=and
quieter ^jjr++++=quieter
every ^at++++=every
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Doctors ^nns++++=Doctors
came ^vbd+++xvbn+=came
to ^to++++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
doctor ^nn++++=doctor
was ^vbd+bedz+vrb++=was
old ^jj+pred+++=old
and ^cc+phrs+++=and
bald ^jj++++=bald,
, ^zz++++=EXTRAWORD
with ^in++++=with
gold ^nn++++=gold
eye ^nn++++=eye-glasses
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
and ^cc++++=and
soft ^jj+atrb+++=soft
white ^jj+atrb+++=white
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
had ^vb+hv+vrb++=had
black ^jj+atrb+++=black
whiskers ^nns+nom+++=whiskers
and ^cc++++=and
smelled ^vpsv++agls+xvbn+=smelled
of ^in++++=of
tobacco ^nn++++=tobacco
and ^cc++++=and
winter ^nn++++=winter
air ^nn++++=air.
. ^zz++++=EXTRAWORD
A ^at++++=A
third ^nn++++=third
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
important ^jj++++=important
and ^cc+phrs+++=and
arrived ^jj+++xvbn+=arrived
in ^in++++=in
a ^at++++=a
carriage ^nn+nom+++=carriage.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
ear ^nn++++=ear
to ^in++++=to
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
tapped ^xvbn+++xvbn+=tapped
her ^pp$+pp3+++=her
back ^jjb++++=back
with ^in++++=with
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
counted ^j+++xvbn+=counted
her ^pp$+pp3+++=her
pulse ^nn++++=pulse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
performed ^vbd+++xvbn+=performed
several ^ap++++=several
other ^ap++++=other
mysterious ^jj+atrb+++=mysterious
actions ^nns+nom+++=actions
which ^whp+rel+obj++=which
sick ^jj+atrb+++=sick
children ^nns++++=children
are ^vb+ber+aux++=are
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
endure ^vbi++++=endure.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
doctors ^nns++++=doctors
went ^vbd+++xvbn+=went
into ^in++++=into
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
and ^cc++++=and
spoke ^vpsv++agls+xvbn+=spoke
in ^in++++=in
low ^jj+atrb+++=low
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
listened ^vbd+++xvbn+=listened
with ^in++++=with
clasped ^xvbn+++xvbn+=clasped
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
doctor ^nn++++=doctor
polished ^jj++++=polished
his ^pp$+pp3+++=his
eye ^nn++++=eye-glasses
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
before ^in++++=before
answering ^nn++++=answering.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
child ^nn++++=child
has ^vbz+hvz+vrb++=has
no ^at++++=no
dangerous ^jj+atrb+++=dangerous
bodily ^jj+atrb+++=bodily
disease ^nn++++=disease,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
