On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
his ^pp$+pp3+++=his
last ^rb++++=last
day ^nn++++=day
in ^in++++=in
England ^np++++=England,
, ^zz++++=EXTRAWORD
Reginald ^np++++=Reginald
took ^vbd+++xvbn+=took
one ^cd1++++=one
look ^vb++++=look
at ^rb++++=at
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
glass ^nn++++=glass
and ^cc++++=and
decided ^vprf+++xvbn+=decided
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
green ^nn++++=green.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
entirely ^rb+amp+++=entirely
green ^jj++++=green,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
green ^nn++++=green
of ^in++++=of
billiard ^nn++++=billiard
cloth ^nn++++=cloth
or ^cc++++=or
parsley ^nn++++=parsley
sauce ^nn++++=sauce,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
greenish ^jj++++=greenish
where ^wrb+who+++=where
the ^ati++++=the
light ^nn++++=light
from ^in++++=from
the ^ati++++=the
wet ^jj+atrb+++=wet
garden ^nn++++=garden
struck ^vbd+++xvbn+=struck
it ^pp3+it+++=it
above ^jjb++++=above
the ^ati++++=the
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
absurd ^jj+pred+++=absurd.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
could ^md+pos+++=could
not ^xnot++not++=not
go ^vb++++=go
and ^cc+phrs+++=and
ask ^vb++++=ask
a ^at++++=a
girl ^nn++++=girl
to ^to++++=to
marry ^vbi++++=marry
him ^pp3o+pp3+++=him
with ^in++++=with
green ^jj+atrb+++=green
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
leaned ^vbd+++xvbnx+=leaned
closer ^rbr++++=closer,
, ^zz++++=EXTRAWORD
gripping ^vbg+++xvbg+=gripping
the ^ati++++=the
washstand ^nn+++??+=washstand.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
No ^at++++=No
brown ^jj++++=brown
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
a ^at++++=a
decent ^jj++++=decent
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
so ^ql++++=so
flat ^nn++++=flat.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
it ^pp3+it+++=it
up ^rb+phrv+++=up
with ^in+ppvb+++=with
both ^abx++++=both
hands ^nns++++=hands
and ^cc++++=and
instantly ^rb+tm+++=instantly
looked ^vbd+++xvbn+=looked
like ^in++++=like
a ^at++++=a
startled ^jj+atrb++xvbn+=startled
cockatoo ^nn+++??+=cockatoo.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smoothed ^vbd+++xvbnx+=smoothed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Worse ^jjr++++=Worse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stepped ^vbd+++xvbnx+=stepped
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
tie ^nn++++=tie
was ^vbd+bedz+vrb++=was
a ^at++++=a
mistake ^nn++++=mistake
too ^ql++++=too.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fellow ^nn++++=fellow
in ^in++++=in
Bond ^np++++=Bond
Street ^nn++++=Street
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
it ^pp3+it+++=it
distinguished ^vbd+++xvbn+=distinguished,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
checks ^nns++++=checks
cream ^nn++++=cream,
, ^zz++++=EXTRAWORD
black ^jj++++=black
and ^cc++++=and
an ^at++++=an
angry ^jj+atrb+++=angry
little ^jj+atrb+++=little
line ^nn++++=line
of ^in++++=of
orange ^nn++++=orange
gave ^vbd+++xvbn+=gave
Reggie ^np+++??+=Reggie
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
a ^at++++=a
cat ^nn++++=cat
in ^in++++=in
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
nursery ^nn+nom+++=nursery
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
a ^at++++=a
cat ^nn++++=cat
dressed ^vbd+++xvbn+=dressed
for ^in++++=for
the ^ati++++=the
Lord ^npt++++=Lord
Mayor ^np++++=Mayor's
's ^$++++=EXTRAWORD
Show ^vb+vprv+++=Show.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
would ^md+prd+++=would
see ^vb+vprv+++=see
it ^pp3+it+++=it
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv+tht0+xvbnx+=saw
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
tie ^nn++++=tie,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
helpless ^jj+atrb+++=helpless
silver ^nn++++=silver
laughter ^nn+nom+++=laughter
would ^md+prd+++=would
begin ^vb++++=begin.
. ^zz++++=EXTRAWORD
Dash ^nn++++=Dash
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
should ^md+nec+++=should
a ^at++++=a
tie ^nn++++=tie
matter ^nn++++=matter?
? ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
everything ^pn++++=everything
mattered ^vbd+++xvbn+=mattered
to ^to++++=to-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
last ^rb++++=last
day ^nn++++=day.
. ^zz++++=EXTRAWORD
At ^rb++++=At
six ^cd++++=six
the ^ati++++=the
following ^jj+atrb++xvbg+=following
morning ^nn++++=morning
he ^pp3a+pp3+++=he
must ^md+nec+++=must
take ^vb++++=take
the ^ati++++=the
train ^nn++++=train
for ^in++++=for
Southampton ^np++++=Southampton,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
the ^ati++++=the
long ^jj+atrb+++=long
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hot ^jj++++=hot
little ^ap++++=little
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dusty ^jj+atrb+++=dusty
road ^nn++++=road
and ^cc++++=and
the ^ati++++=the
fruit ^nn++++=fruit
farm ^nn++++=farm
in ^in++++=in
Rhodesia ^np++++=Rhodesia,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
twelve ^cd++++=twelve
acres ^nns++++=acres
of ^in++++=of
young ^jj+atrb+++=young
orange ^nn++++=orange
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
unreliable ^jj+atrb+++=unreliable
pump ^nn++++=pump
and ^cc++++=and
its ^pp$+it+++=its
mortgage ^nn+nom+++=mortgage.
. ^zz++++=EXTRAWORD
A ^at++++=A
modest ^jj+atrb+++=modest
property ^nn++++=property,
, ^zz++++=EXTRAWORD
people ^nns++++=people
called ^vbd+++xvbn+=called
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Modest ^jj++++=Modest!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
practically ^rb+down+splt++=practically
blushing ^vbg+++xvbgx+=blushing
itself ^ppl++++=itself
out ^rp+pl+++=out
of ^in++++=of
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
sideways ^jjb++++=sideways
before ^cs+sub+++=before
the ^ati++++=the
glass ^nn++++=glass
and ^cc++++=and
drew ^vpsv++agls+xvbn+=drew
in ^in++++=in
his ^pp$+pp3+++=his
stomach ^nn++++=stomach.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
Anne ^np++++=Anne
accepted ^vbd+++xvbn+=accepted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+++=Suppose,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
income ^nn++++=income
being ^vwbg+beg++xvbg+=being
what ^wdt+who+++=what
the ^ati++++=the
governor ^npt++++=governor
used ^md"++pmd"++=used
to ^to++++=to
describe ^vb++++=describe
as ^in++++=as
" ^zz++++="prospective
prospective ^jj++++=EXTRAWORD
rather ^rb++++=rather
than ^in++++=than
actual ^jj++++=actual,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
distance ^nn+nom+++=distance
and ^cc++++=and
the ^ati++++=the
heat ^nn++++=heat
and ^cc++++=and
the ^ati++++=the
insects ^nns++++=insects,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
yes ^uh++++=yes.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
would ^md+prd+++=would
take ^vb++++=take
her ^pp$+pp3+++=her
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
them ^pp3o+pp3+++=them
standing ^vbg+++xvbg+=standing
on ^in++++=on
the ^ati++++=the
deck ^nn++++=deck
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Anne ^np++++=Anne
wrapped ^vbd+++xvbn+=wrapped
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
cloak ^nn++++=cloak,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
immensely ^rb++++=immensely
black ^jj++++=black
around ^rp++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
steward ^nn++++=steward
would ^md+prd+++=would
come ^vprf+++xvbn+=come
running ^jj+++xvbg+=running
up ^rp++++=up
to ^to++++=to
say ^vbi+vpub+tht0++=say
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
danger ^nn++++=danger
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
man ^nn++++=man
overboard ^rb+pl+++=overboard
and ^cc++++=and
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
capable ^jj++++=capable,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
put ^vb+++xvbn+=put
Anne ^np++++=Anne
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
