# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Memoranda ^np+++??+=Memoranda
Concerning ^in++++=Concerning
the ^ati++++=the
Fogo ^np+++??+=Fogo
Hands ^nns++++=Hands
Among ^in++++=Among
the ^ati++++=the
numerous ^jj+atrb+++=numerous
varieties ^nns++++=varieties
of ^in++++=of
mankind ^nn++++=mankind
encountered ^vwbn+++xvbn+=encountered
by ^in++++=by
the ^ati++++=the
practical ^jj+atrb+++=practical
mariner ^nn++++=mariner
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
without ^in++++=without
troubling ^xvbg+++xvbg+=troubling
Salamanca ^np+++??+=Salamanca,
, ^zz++++=EXTRAWORD
Oxford ^np++++=Oxford,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
other ^ap++++=other
inland ^jjb+atrb+++=inland
establishment ^nn+nom+++=establishment
of ^in++++=of
conjecture ^nn++++=conjecture,
, ^zz++++=EXTRAWORD
sees ^vbz+vprv+++=sees
more ^ql++++=more
nations ^nns+nom+++=nations
before ^cs+sub+++=before
breakfast ^nn++++=breakfast
than ^in++++=than
a ^at++++=a
professor ^nn++++=professor
does ^vbz+doz+vrb++=does
in ^in++++=in
his ^pp$+pp3+++=his
natural ^jj+atrb+++=natural
life ^nn++++=life
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
none ^pn++++=none
concerning ^in++++=concerning
which ^whp+rel+pied++=which
greater ^jjr+atrb+++=greater
misinformation ^nn+nom+++=misinformation
prevails ^vbz++++=prevails
than ^in++++=than
the ^ati++++=the
people ^nns++++=people
commonly ^rb++++=commonly
denominated ^vpsv++by+xvbn+=denominated
by ^in++++=by
forecastle ^nn+++??+=forecastle
authority ^nn+nom+++=authority
the ^ati++++=the
" ^zz++++="'Gees."
' ^zz++++=EXTRAWORD
gees ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
place ^nn++++=place
the ^ati++++=the
apostrophe ^nn++++=apostrophe
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
represents ^vbz++++=represents,
, ^zz++++=EXTRAWORD
as ^ql++++=as
near ^in+pl+++=near
as ^ql++++=as
punctuation ^nn+nom+++=punctuation
may ^md+pos+++=may,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
original ^jj+atrb+++=original
word ^nn++++=word
which ^whp+rel+obj++=which
sailors ^nns++++=sailors
have ^vb+hv+aux++=have
thrown ^vprf+++xvbnx+=thrown
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primitive ^jj+atrb+++=primitive
word ^nn++++=word
is ^vbz+bez+vrb++=is
Portuguese ^nn+nom+++=Portuguese;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
commercial ^jj+atrb+++=commercial
abbreviation ^nn+nom+++=abbreviation,
, ^zz++++=EXTRAWORD
Portugee ^np+nom++??+=Portugee;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
final ^jj+atrb+++=final
maritime ^jj+atrb+++=maritime
concentration ^nn+nom+++=concentration,
, ^zz++++=EXTRAWORD
' ^zz++++='Gee.
gee ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
is ^vbz+bez+aux++=is
language ^nn+nom+++=language
purified ^vprf+++xvbn+=purified
by ^in++++=by
use ^nn++++=use,
, ^zz++++=EXTRAWORD
as ^in++++=as
rosewater ^nn++++=rosewater
becomes ^vbz++++=becomes
attar ^np++++=attar,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
lengthy ^jj+atrb+++=lengthy
sermon ^nn++++=sermon
becomes ^vbz++++=becomes,
, ^zz++++=EXTRAWORD
under ^in++++=under
judicious ^jj+atrb+++=judicious
sleep ^nn++++=sleep,
, ^zz++++=EXTRAWORD
a ^at++++=a
brief ^jj+atrb+++=brief
benediction ^nn+nom+++=benediction.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
philologists ^nns+nom+++=philologists
assert ^vb+vpub+++=assert
that ^tht+vcmp+++=that
the ^ati++++=the
term ^nn++++=term
derives ^vbz++++=derives
from ^in++++=from
a ^at++++=a
native ^jj+atrb+++=native
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others,
, ^zz++++=EXTRAWORD
with ^in++++=with
greater ^jjr+atrb+++=greater
probability ^nn+nom+++=probability,
, ^zz++++=EXTRAWORD
hold ^vb++++=hold
that ^tht+vcmp+obj++=that
Jack ^np++++=Jack
Tar ^nn++++=Tar,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
no ^at++++=no
leisure ^nn++++=leisure
for ^in++++=for
syllables ^nns++++=syllables
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
useful ^jj++++=useful
in ^in++++=in
reefing ^xvbg+++xvbg+=reefing
topsails ^nns+++??+=topsails,
, ^zz++++=EXTRAWORD
knocked ^j+++xvbn+=knocked
the ^ati++++=the
head ^nn++++=head
and ^cc++++=and
tail ^nn++++=tail
off ^in+pl+++=off
Portugee ^np+nom++??+=Portugee
and ^cc++++=and
retained ^vbd+++xvbn+=retained
the ^ati++++=the
middle ^nn++++=middle
for ^in++++=for
ballast ^nn++++=ballast.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
offer ^vb++++=offer
both ^abx++++=both
theories ^nns++++=theories
impartially ^rb+cnj+++=impartially,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
latter ^ap++++=latter
has ^vbz+hvz+vrb++=has
cost ^nn++++=cost
me ^pp1o+pp1+++=me
more ^rbr++++=more
reflection ^nn+nom+++=reflection
and ^cc++++=and
should ^md+nec+++=should
therefore ^rb+cnj+splt++=therefore
weigh ^vb++++=weigh
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
' ^zz++++='Gee
gee ^np++++=EXTRAWORD
particularly ^rb++++=particularly
intended ^vbd+vsua++xvbn+=intended
in ^in++++=in
these ^dt+dem+++=these
memoranda ^nns++++=memoranda
is ^vbz+bez+vrb++=is
native ^jj+pred+++=native
to ^in++++=to
Fogo ^np+++??+=Fogo,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Cape ^np++++=Cape
Verde ^np+++??+=Verde
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
ancestors ^nns++++=ancestors,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
best ^jjt+atrb+++=best
cabin ^nn++++=cabin-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
partly ^rb+down+++=partly
Portuguese ^jj+atrb+++=Portuguese
settlers ^nns+nom+++=settlers
and ^cc++++=and
partly ^rb+down+++=partly
Africans ^nns+nom+++=Africans,
, ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
additional ^jj+atrb+++=additional
ingredients ^nns++++=ingredients
as ^ql++++=as
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
piracy ^nn++++=piracy,
, ^zz++++=EXTRAWORD
miscalculation ^nn+nom+++=miscalculation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hot ^jj+atrb+++=hot
weather ^nn++++=weather
may ^md+pos+++=may
have ^vb+hv+aux++=have
introduced ^vprf+++xvbnx+=introduced.
. ^zz++++=EXTRAWORD
Fogo ^np+++??+=Fogo
signifies ^vbz++++=signifies
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
from ^in++++=from
