# ^zz++++=##
# ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
Count ^npt++++=Count
Hurt ^vbd+++xvbn+=Hurt
His ^pp$+pp3+++=His
Hand ^nn++++=Hand
Och ^uh++++=Och
hon ^npt++++=hon!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
the ^ati++++=the
little ^jj+atrb+++=little
Frinch ^np+++??+=Frinch
count ^nn++++=count's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
ye ^pp2+pp2+++=ye're
're ^vb+ber+aux++0=EXTRAWORD
axing ^vbg+++xvbgx+=axing
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
hand ^nn++++=hand
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
tied ^vpsv++agls+xvbnx+=tied
up ^rp++++=up
this ^dt+dem+++=this
blessed ^jj+atrb++xvbn+=blessed
minute ^nn++++=minute
in ^in++++=in
a ^at++++=a
white ^jj+atrb+++=white
silk ^nn++++=silk
handkerchief ^nn++++=handkerchief,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
a ^at++++=a
blue ^jj+atrb+++=blue
ribbon ^nn++++=ribbon
round ^in++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
sugar ^nn++++=sugar-plum
- ^zz++++=EXTRAWORD
plum ^jj++++=EXTRAWORD
intended ^jj+++xvbn+=intended
for ^in++++=for
a ^at++++=a
christening ^nvbg+++xvbg+=christening?
? ^zz++++=EXTRAWORD
Thin ^jj++++=Thin
sit ^vb++++=sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
ye ^pp2+pp2+++=ye
the ^ati++++=the
whole ^jj+atrb+++=whole
transcaction ^nn+nom+++=transcaction,
, ^zz++++=EXTRAWORD
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
circumstantial ^jj++++=circumstantial;
; ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
man ^nn++++=man
can ^md+pos+++=can
relate ^vb++++=relate
an ^at++++=an
affair ^nn++++=affair
of ^in++++=of
honour ^nn++++=honour
and ^cc++++=and
tinderness ^nns+nom+++=tinderness
like ^in++++=like
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
of ^in++++=of
Ballybrogan ^np+nom++??+=Ballybrogan
Castle ^nn++++=Castle,
, ^zz++++=EXTRAWORD
County ^nn++++=County
Clare ^np++++=Clare
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
mesilf ^nn+++??+=mesilf,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye'll
'll ^md+prd+++0=EXTRAWORD
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
common ^jj+atrb+++=common
bog ^nn++++=bog-throthing
- ^zz++++=EXTRAWORD
throthing ^xvbg+++xvbg+=EXTRAWORD
spalpeen ^vprf+++xvbn+=spalpeen,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
me ^pp1o+pp1+++=me
title ^nn++++=title
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
more ^rbr++++=more
notion ^nn++++=notion
of ^in++++=of
being ^xvbg+++xvbg+=being
a ^at++++=a
barronitt ^nn+++??+=barronitt
than ^in++++=than
a ^at++++=a
pig ^nn++++=pig
has ^vbz+hvz+vrb++=has
of ^in++++=of
playing ^xvbg+++xvbg+=playing
the ^ati++++=the
piano ^nn++++=piano-forty.
- ^zz++++=EXTRAWORD
forty ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
title ^nn++++=title
came ^vbd+++xvbn+=came
to ^in++++=to
me ^pp1o+pp1+++=me
by ^in++++=by
family ^nn++++=family
descent ^nn++++=descent,
, ^zz++++=EXTRAWORD
sideways ^jjb++++=sideways,
, ^zz++++=EXTRAWORD
through ^in++++=through
me ^pp1o+pp1+++=me
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
aunt ^nn++++=aunt's
's ^$++++=EXTRAWORD
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
married ^vbd+++xvbn+=married
a ^at++++=a
lady ^npt++++=lady
related ^vbd+++xvbn+=related
to ^in++++=to
somebody ^pn++++=somebody
at ^in++++=at
Coort ^np+++??+=Coort;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
good ^jj+atrb+++=good
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
show ^nn++++=show
me ^pp1o+pp1+++=me
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
may ^md+pos+++=may
be ^vb+be+vrb++=be
them ^pp3o+pp3+++=them
that ^dt+pdem+++=that
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
bought ^vbd+++xvbnx+=bought
the ^ati++++=the
title ^nn++++=title
from ^in++++=from
a ^at++++=a
lawyer ^nn++++=lawyer
in ^in++++=in
Dublin ^np++++=Dublin
for ^in++++=for
seventeen ^cd++++=seventeen
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
two ^cd++++=two
wigs ^nns+++??+=wigs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
grey ^jj+atrb+++=grey
mare ^nn++++=mare
wid ^in++++=wid
a ^at++++=a
cough ^nn++++=cough;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
envy ^nn++++=envy
is ^vbz+bez+vrb++=is
a ^at++++=a
green ^jj++++=green-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
vegetable ^nn++++=vegetable,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
poet ^nn++++=poet
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
scorn ^nn++++=scorn
the ^ati++++=the
imputation ^nn+nom+++=imputation.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
no ^at++++=no
sooner ^rbr++++=sooner
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
become ^vb++++=become
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
than ^in++++=than
I ^pp1a+pp1+++=I
perceived ^vbd+vprv++xvbnx+=perceived
an ^at++++=an
alteration ^nn+nom+++=alteration
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
ladies ^nns++++=ladies.
. ^zz++++=EXTRAWORD
Before ^in++++=Before
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Pathrick,
pathrick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
take ^vb++++=take
yer ^pp$++++=yer
muddy ^jj+atrb+++=muddy
boots ^nns++++=boots
off ^in+pl+++=off
the ^ati++++=the
chair ^nn++++=chair,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or,
, ^zz++++=EXTRAWORD
" ^zz++++="Pathrick,
pathrick ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
jam ^nn++++=jam-closet";
- ^zz++++=EXTRAWORD
closet ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
afther ^jjr++++=afther
me ^pp1o+pp1+++=me
elevation ^nn+nom+++=elevation
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said
the ^ati++++=the
very ^ql+amp+++=very
same ^ap++++=same
things ^nns++++=things
wid ^in++++=wid
a ^at++++=a
respectfulness ^nns+nom+++=respectfulness
in ^in++++=in
their ^pp$+pp3+++=their
looks ^nns++++=looks
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
beautiful ^jj+pred+++=beautiful
to ^to++++=to
contemplate ^nn+nom+++=contemplate.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
