When ^wrb+who+++=When
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mooney ^np++++=Mooney
obtained ^vwbn+++xvbn+=obtained
her ^pp$+pp3+++=her
separation ^nn+nom+++=separation,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
little ^ap++++=little
left ^vprf+++xvbn+=left
to ^to++++=to
divide ^vbi++++=divide
except ^in++++=except
blame ^nn++++=blame.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
a ^at++++=a
provision ^nn++++=provision
shop ^nn++++=shop
near ^in+pl+++=near
Thomas ^np++++=Thomas
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
marble ^nn++++=marble
counters ^nns+nom+++=counters,
, ^zz++++=EXTRAWORD
a ^at++++=a
brass ^nn++++=brass
scale ^nn++++=scale,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
painted ^jj+atrb++xvbn+=painted
board ^nn++++=board
over ^in++++=over
the ^ati++++=the
door ^nn++++=door
showing ^vwbg+++xvbg+=showing
a ^at++++=a
red ^jj+atrb+++=red
bullock ^nn++++=bullock.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
sound ^nn++++=sound
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
a ^at++++=a
clean ^jj+atrb+++=clean
apron ^nn++++=apron,
, ^zz++++=EXTRAWORD
subscribed ^j+++xvbn+=subscribed
to ^in++++=to
the ^ati++++=the
trade ^nn++++=trade
picnic ^nn++++=picnic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
judge ^vb++++=judge
bacon ^np++++=bacon
by ^in++++=by
pressing ^xvbg+++xvbg+=pressing
it ^pp3+it+++=it
with ^in++++=with
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
drink ^vbi++++=drink
after ^in++++=after
closing ^nn++++=closing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
borrowed ^vbd+++xvbnx+=borrowed
from ^in++++=from
the ^ati++++=the
receipts ^nns++++=receipts,
, ^zz++++=EXTRAWORD
abused ^xvbn+++xvbn+=abused
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
bought ^jj+atrb++xvbn+=bought
doubtful ^jj+atrb+++=doubtful
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^cs+tm+++=once
pursued ^vprf+++xvbn+=pursued
his ^pp$+pp3+++=his
wife ^nn++++=wife
through ^in++++=through
the ^ati++++=the
shop ^nn++++=shop
with ^in++++=with
the ^ati++++=the
long ^jj+atrb+++=long
knife ^nn++++=knife
used ^vwbn+++xvbn+=used
for ^in++++=for
cutting ^xvbg+++xvbg+=cutting
rashers ^nns+nom+++=rashers.
. ^zz++++=EXTRAWORD
A ^at++++=A
constable ^nn++++=constable
from ^in++++=from
Francis ^np++++=Francis
Street ^nn++++=Street
took ^vbd+++xvbn+=took
the ^ati++++=the
knife ^nn++++=knife
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mooney ^np++++=Mooney
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
the ^ati++++=the
solicitor ^nn++++=solicitor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
owner ^nn++++=owner
of ^in++++=of
the ^ati++++=the
premises ^nns++++=premises.
. ^zz++++=EXTRAWORD
In ^in++++=In
each ^dt++++=each
place ^nn++++=place
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
facts ^nns++++=facts
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
firm ^jj++++=firm
order ^to++++=order.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
out ^rb+phrv+++=out
of ^in++++=of
the ^ati++++=the
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
allowed ^vpsv++agls+xvbnx+=allowed
a ^at++++=a
weekly ^jj+atrb+++=weekly
sum ^nn++++=sum
which ^whp+rel+subj++=which
arrived ^vbd+++xvbn+=arrived
irregularly ^jj++++=irregularly
and ^cc+phrs+++=and
ceased ^jj+++xvbn+=ceased
altogether ^nn+nom+++=altogether
when ^wrb+who+++=when
