Even ^rb++++=Even
after ^in++++=after
this ^dt+dem+++=this
lapse ^nn++++=lapse
of ^in++++=of
five ^cd++++=five-and-thirty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
hear ^vb+vprv+++=hear
the ^ati++++=the
thin ^jj+atrb+++=thin
music ^nn++++=music
of ^in++++=of
falling ^xvbg+++xvbg+=falling
water ^nn++++=water
in ^in++++=in
a ^at++++=a
vaulted ^jj+atrb++xvbn+=vaulted
chamber ^nn++++=chamber
without ^in++++=without
recalling ^vb+nom++xvbg+=recalling
that ^tht+vcmp+++=that
night ^nn++++=night
in ^in++++=in
the ^ati++++=the
palace ^nn++++=palace
of ^in++++=of
Rajah ^np+++??+=Rajah
Daryan ^np+++??+=Daryan
Singh ^np++++=Singh;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
can ^md+pos+++=can
I ^pp1a+pp1+++=I
behold ^vb++++=behold,
, ^zz++++=EXTRAWORD
in ^in++++=in
any ^dti++++=any
hospital ^nn+nom+++=hospital,
, ^zz++++=EXTRAWORD
the ^ati++++=the
calm ^nn++++=calm
smile ^nn++++=smile
which ^whp+rel+subj++=which
sometimes ^rb++++=sometimes
settles ^vbz++++=settles
upon ^in++++=upon
the ^ati++++=the
countenance ^nn+nom+++=countenance
of ^in++++=of
a ^at++++=a
patient ^nn++++=patient
newly ^rb++++=newly
released ^vbd+++xvbn+=released
from ^in++++=from
agony ^nn++++=agony,
, ^zz++++=EXTRAWORD
without ^in++++=without
seeing ^xvbg+++xvbg+=seeing
again ^rb+tm+++=again
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
Neranya ^np+++??+=Neranya
upturned ^jj++++=upturned,
, ^zz++++=EXTRAWORD
blood ^nn++++=blood-darkened,
- ^zz++++=EXTRAWORD
darkened ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
horribly ^rb++++=horribly
content ^jj++++=content.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
a ^at++++=a
surgeon ^nn++++=surgeon
attached ^vbd+++xvbn+=attached
to ^in++++=to
the ^ati++++=the
Residency ^np+++??+=Residency
at ^in++++=at
Bhurampore ^np+++??+=Bhurampore.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
professional ^jj+atrb+++=professional
reputation ^nn+nom+++=reputation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
since ^cs+sub+++=since
been ^nn+ben+++=been
magnified ^vpsv++agls+xvbnx+=magnified
beyond ^in++++=beyond
its ^pp$+it+++=its
merits ^nns++++=merits,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
chiefly ^rb++++=chiefly
upon ^in++++=upon
a ^at++++=a
certain ^jj+atrb+++=certain
steadiness ^nns+nom+++=steadiness
of ^in++++=of
hand ^nn++++=hand
and ^cc++++=and
upon ^in++++=upon
my ^pp$+pp1+++=my
willingness ^nns+nom+++=willingness
to ^to+ncmp+++=to
undertake ^vbi++++=undertake
operations ^nns+nom+++=operations
from ^in++++=from
which ^whp+rel+pied++=which
men ^nns++++=men
of ^in++++=of
greater ^nn++++=greater
learning ^vwbg+vprv++xvbg+=learning,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
less ^rbr++++=less
confidence ^nn+nom+++=confidence,
, ^zz++++=EXTRAWORD
occasionally ^rb++++=occasionally
recoiled ^jj+++xvbn+=recoiled.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
messenger ^nn+nom+++=messenger
came ^vbd+++xvbn+=came
at ^in++++=at
midnight ^nn++++=midnight
from ^in++++=from
Daryan ^np+++??+=Daryan
Singh ^np++++=Singh,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
a ^at++++=a
gold ^nn++++=gold
token ^nn++++=token
and ^cc++++=and
entreating ^nvbg+++xvbg+=entreating
my ^pp$+pp1+++=my
immediate ^jj+atrb+++=immediate
attendance ^nn+nom+++=attendance
upon ^in++++=upon
a ^at++++=a
lady ^nn++++=lady
of ^in++++=of
his ^pp$+pp3+++=his
household ^nn++++=household,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
