I ^pp1a+pp1+++=I
The ^ati++++=The
track ^nn++++=track
from ^in++++=from
Ryan ^np++++=Ryan's
's ^$++++=EXTRAWORD
selection ^nn+nom+++=selection
to ^in++++=to
Wylie ^np++++=Wylie's
's ^$++++=EXTRAWORD
place ^nn++++=place
ran ^vbd+++xvbn+=ran
twelve ^cd++++=twelve
miles ^nns++++=miles
through ^in++++=through
box ^nn++++=box
country ^nn++++=country,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
dipped ^vbd+++xvbn+=dipped
suddenly ^rb++++=suddenly
between ^in++++=between
two ^cd++++=two
black ^jj+atrb+++=black
ridges ^nns++++=ridges
into ^in++++=into
Deadman ^np++++=Deadman's
's ^$++++=EXTRAWORD
Hollow ^jj++++=Hollow.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
the ^ati++++=the
stringy ^jj++++=stringy-barks
- ^zz++++=EXTRAWORD
barks ^nns++++=EXTRAWORD
grew ^vbd+++xvbn+=grew
close ^jj++++=close
and ^cc+phrs+++=and
crooked ^jj++++=crooked,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
crowded ^vprf+++xvbnx+=crowded
down ^rp++++=down
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
something ^pn++++=something
hidden ^vbd+++xvbn+=hidden
in ^in++++=in
the ^ati++++=the
gully ^nn++++=gully.
. ^zz++++=EXTRAWORD
In ^in++++=In
summer ^nn++++=summer
the ^ati++++=the
creek ^nn++++=creek
was ^vbd+bedz+vrb++=was
a ^at++++=a
chain ^nn++++=chain
of ^in++++=of
rocky ^jj+atrb+++=rocky
waterholes ^nns+++??+=waterholes,
, ^zz++++=EXTRAWORD
green ^nn++++=green
at ^rb++++=at
the ^ati++++=the
edges ^nns++++=edges
and ^cc++++=and
black ^nn++++=black
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
Cattle ^nns++++=Cattle
would ^md+prd+++=would
drink ^vb++++=drink
from ^in++++=from
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
driven ^jj+++xvbn+=driven,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
thirsty ^jj++++=thirsty.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
Wylie ^np++++=Wylie's
's ^$++++=EXTRAWORD
mare ^nn++++=mare
stopped ^vbd+++xvbn+=stopped
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
Bess ^np+++??+=Bess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mare ^nn++++=mare
stretched ^vwbn+++xvbn+=stretched
her ^pp$+pp3+++=her
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
sniffed ^j+++xvbn+=sniffed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
one ^cd1++++=one
mild ^jj+atrb+++=mild
eye ^nn++++=eye
upon ^in++++=upon
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
struck ^vbd+++xvbn+=struck
her ^pp$+pp3+++=her
lightly ^rb++++=lightly
with ^in++++=with
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
reins ^nns++++=reins.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
foolish ^jj+pred+++=foolish.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
near ^in+pl+++=near
dark ^nn++++=dark."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
wallaby ^nn+++??+=wallaby
broke ^vbd+++xvbn+=broke
from ^in++++=from
the ^ati++++=the
bracken ^nn++++=bracken
and ^cc++++=and
went ^vbd+++xvbn+=went
thumping ^vbg+++xvbg+=thumping
uphill ^jjb++++=uphill.
. ^zz++++=EXTRAWORD
Farther ^rbr++++=Farther
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
three ^cd++++=three
kangaroos ^vbz+++??+=kangaroos
stood ^vprf+++xvbn+=stood
against ^in++++=against
the ^ati++++=the
fading ^jj+atrb++xvbg+=fading
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ears ^nns++++=ears
pointed ^vbd+++xvbn+=pointed,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
bodies ^nns++++=bodies
grey ^jj++++=grey
and ^cc++++=and
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
moved ^vbd+++xvbnx+=moved
without ^in++++=without
sound ^nn++++=sound
among ^in++++=among
the ^ati++++=the
saplings ^nns+nom+++=saplings.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
was ^vbd+bedz+vrb++=was
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
trouble ^nn++++=trouble
had ^vbd+hvd+aux++=had
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her
the ^ati++++=the
caution ^nn+nom+++=caution
of ^in++++=of
an ^at++++=an
older ^jjr+atrb+++=older
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
slight ^jj++++=slight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
face ^nn++++=face
that ^tht+rel+subj++=that
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
beautiful ^jj++++=beautiful
in ^in++++=in
a ^at++++=a
place ^nn++++=place
where ^wrb+who+++=where
there ^ex+pex+++=there
were ^vbd+bed+aux++=were
looking ^vbg+++xvbgx+=looking-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
clean ^jj+atrb+++=clean
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
time ^nn++++=time
for ^in++++=for
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
At ^in++++=At
Wylie ^np++++=Wylie's
's ^$++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
cracked ^jj+atrb++xvbn+=cracked
mirror ^nn++++=mirror
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
palm ^nn++++=palm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mary ^np++++=Mary
seldom ^rb++++=seldom
looked ^vbd+++xvbn+=looked
into ^in+ppvb+++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
helping ^vbg+++xvbgx+=helping
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ryan ^np++++=Ryan
with ^in++++=with
