All ^abn++++=All
night ^nn++++=night
the ^ati++++=the
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
walked ^vprf+++xvbnx+=walked
behind ^in+pl+++=behind
the ^ati++++=the
Pequod ^np+++??+=Pequod
like ^in++++=like
a ^at++++=a
barefoot ^jj+atrb+++=barefoot
executioner ^nn+nom+++=executioner,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
no ^at++++=no
noise ^nn++++=noise
save ^in++++=save
in ^in++++=in
the ^ati++++=the
high ^jj+atrb+++=high
rigging ^nn++++=rigging,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
slender ^jj+atrb+++=slender
cords ^nns++++=cords
complained ^vbd+vpub++xvbn+=complained
as ^cs+sub+++=as
if ^cs+cnd+++=if
invisible ^jj+atrb+++=invisible
fingers ^nns+nom+++=fingers
tried ^vbd+++xvbn+=tried
their ^pp$+pp3+++=their
strength ^nn++++=strength
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
black ^jj++++=black
and ^cc++++=and
moderately ^rb++++=moderately
heaving ^jj+++xvbg+=heaving,
, ^zz++++=EXTRAWORD
showed ^j+++xvbn+=showed
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
wan ^nn++++=wan
combing ^vwbg+++xvbg+=combing
of ^in++++=of
foam ^nn++++=foam;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
moon ^np++++=moon
looked ^vbd+++xvbn+=looked
down ^rp++++=down
to ^in++++=to
silver ^nn++++=silver
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
withdrawn ^xvbn+++xvbn+=withdrawn
into ^in++++=into
their ^pp$+pp3+++=their
immense ^jj+atrb+++=immense
blue ^jj+atrb+++=blue
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
abandon ^vbi++++=abandon
that ^dt+dem+++=that
ship ^nn++++=ship
to ^in++++=to
the ^ati++++=the
single ^jj+atrb+++=single
red ^jj+atrb+++=red
eye ^nn++++=eye
which ^whp+rel+subj++=which
burned ^vbd+++xvbn+=burned
beneath ^in+pl+++=beneath
Ahab ^np++++=Ahab's
's ^$++++=EXTRAWORD
brow ^nn++++=brow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
upon ^in++++=upon
the ^ati++++=the
