At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
our ^pp$+pp1+++=our
street ^nn++++=street
the ^ati++++=the
houses ^nns++++=houses
drew ^vbd+++xvbn+=drew
close ^rb++++=close
together ^nn+nom+++=together
as ^cs+sub+++=as
if ^cs+cnd+++=if
for ^in++++=for
warmth ^nn++++=warmth,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
sooty ^jj+atrb+++=sooty
fronts ^nns++++=fronts
turned ^vbd+++xvbn+=turned
inward ^jjb++++=inward
upon ^in++++=upon
the ^ati++++=the
narrow ^jj+atrb+++=narrow
road ^npl++++=road.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^rb++++=last
house ^npl++++=house
stood ^vbd+++xvbn+=stood
apart ^rp++++=apart
behind ^in+pl+++=behind
a ^at++++=a
wall ^nn++++=wall
furred ^vbd+++xvbn+=furred
with ^in++++=with
moss ^np++++=moss.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
belonged ^vprf+++xvbnx+=belonged
to ^in++++=to
a ^at++++=a
priest ^nn++++=priest
who ^whp+rel+subj++=who
died ^vbd+++xvbn+=died
there ^rn+pl+++=there
in ^in++++=in
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
although ^cs+con+++=although
my ^pp$+pp1+++=my
aunt ^nn++++=aunt
had ^vbd+hvd+aux++=had
scrubbed ^vprf+++xvbnx+=scrubbed
the ^ati++++=the
floors ^nns++++=floors
and ^cc++++=and
burned ^jj+++xvbn+=burned
rosemary ^np+nom+++=rosemary
in ^in++++=in
the ^ati++++=the
grates ^vbz++++=grates,
, ^zz++++=EXTRAWORD
something ^pn++++=something
of ^in++++=of
his ^pp$+pp3+++=his
silence ^nn+nom+++=silence
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
back ^jjb+atrb+++=back
room ^nn++++=room
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
damp ^nn++++=damp
sermons ^nns++++=sermons,
, ^zz++++=EXTRAWORD
a ^at++++=a
cracked ^jj+atrb++xvbn+=cracked
chalice ^nn++++=chalice-box,
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
novels ^nns++++=novels
whose ^whp+rel+obj++=whose
curled ^jj+atrb++xvbn+=curled
pages ^nns++++=pages
gave ^vbd+++xvbn+=gave
off ^rb+phrv+++=off
the ^ati++++=the
odour ^nn++++=odour
of ^in++++=of
cellars ^nns++++=cellars.
. ^zz++++=EXTRAWORD
A ^at++++=A
rusty ^jj+atrb+++=rusty
bicycle ^nn++++=bicycle-pump
- ^zz++++=EXTRAWORD
pump ^nn++++=EXTRAWORD
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
the ^ati++++=the
pear ^nn++++=pear
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
half ^abn++++=half
buried ^jj+++xvbn+=buried
in ^in++++=in
black ^jj+atrb+++=black
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
short ^jj+atrb+++=short
days ^nns++++=days
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
released ^vpsv++agls+xvbnx+=released
from ^in++++=from
school ^nn++++=school
before ^cs+sub+++=before
the ^ati++++=the
lamps ^nns++++=lamps
were ^vbd+bed+aux++=were
lit ^vpsv++agls+xvbnx+=lit.
. ^zz++++=EXTRAWORD
Mangan ^np+++??+=Mangan
and ^cc++++=and
I ^pp1a+pp1+++=I
flung ^vbd+++xvbnx+=flung
our ^pp$+pp1+++=our
satchels ^nns+++??+=satchels
into ^in++++=into
the ^ati++++=the
hall ^nn++++=hall
and ^cc++++=and
ran ^vbd+++xvbn+=ran
out ^rp+pl+++=out
among ^in++++=among
the ^ati++++=the
lanes ^nns++++=lanes
behind ^in+pl+++=behind
the ^ati++++=the
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
softened ^vprf+++xvbnx+=softened
the ^ati++++=the
earth ^nn++++=earth
and ^cc++++=and
carts ^nns+++??+=carts
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
deep ^jj+atrb+++=deep
brown ^jj+atrb+++=brown
trenches ^nns++++=trenches.
