Into ^in++++=Into
Teloth ^np+++??+=Teloth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
granite ^nn++++=granite
city ^nn++++=city,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
at ^in++++=at
evening ^nn++++=evening
a ^at++++=a
youth ^nn++++=youth
in ^in++++=in
a ^at++++=a
robe ^nn++++=robe
of ^in++++=of
faded ^jj+++xvbn+=faded
purple ^jj++++=purple,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
silver ^nn++++=silver-stringed
- ^zz++++=EXTRAWORD
stringed ^jj+atrb++xvbn+=EXTRAWORD
lute ^nn+++??+=lute
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Dust ^nn++++=Dust
lay ^vbd+++xvbn+=lay
pale ^nn++++=pale
upon ^in++++=upon
his ^pp$+pp3+++=his
sandals ^nns+nom+++=sandals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burrs ^vbz+++??+=burrs
clung ^vprf+++xvbn+=clung
to ^in++++=to
the ^ati++++=the
hem ^nn++++=hem
of ^in++++=of
his ^pp$+pp3+++=his
garment ^nn+nom+++=garment;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+vrb++=was
fair ^jj+pred+++=fair
and ^cc+phrs+++=and
unwearied ^jj+++xvbn+=unwearied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hair ^nn++++=hair
shone ^vbd+++xvbn+=shone
yellow ^nn++++=yellow
in ^in++++=in
the ^ati++++=the
last ^rb++++=last
light ^jj++++=light,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
the ^ati++++=the
west ^np+pl+++=west
had ^vbd+hvd+aux++=had
crowned ^vprf+++xvbnx+=crowned
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
remnant ^nn+nom+++=remnant
of ^in++++=of
its ^pp$+it+++=its
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gate ^nn++++=gate-wardens,
- ^zz++++=EXTRAWORD
wardens ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
square ^nn++++=square
of ^in++++=of
beard ^nn++++=beard
and ^cc++++=and
iron ^nn++++=iron-grey
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
of ^in++++=of
raiment ^nn+nom+++=raiment,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
his ^pp$+pp3+++=his
name ^nn++++=name
and ^cc++++=and
craft ^nn++++=craft.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
Iranon ^np+++??+=Iranon,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
singer ^nn++++=singer
and ^cc++++=and
a ^at++++=a
prince ^nn++++=prince
in ^in++++=in
exile ^nn++++=exile.
. ^zz++++=EXTRAWORD
From ^in++++=From
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
beryl ^np++++=beryl,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
driven ^vbd+++xvbnx+=driven
in ^in++++=in
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
many ^ap++++=many
lands ^nns++++=lands
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
wandered ^vbd+++xvbnx+=wandered
seeking ^vbg+++xvbg+=seeking
the ^ati++++=the
road ^nn++++=road
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
wardens ^nns++++=wardens
knew ^vbd+vprv++xvbn+=knew
no ^at++++=no
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
cared ^vbd+++xvbn+=cared
they ^pp3a+pp3+++=they
greatly ^rb+amp+++=greatly
for ^in++++=for
princes ^nns++++=princes
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
tattered ^jj+atrb+++=tattered
robes ^nns++++=robes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
led ^vbd+++xvbnx+=led
him ^pp3o+pp3+++=him
before ^in++++=before
the ^ati++++=the
archons ^nns+++??+=archons
of ^in++++=of
Teloth ^np+++??+=Teloth,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
in ^in++++=in
a ^at++++=a
chamber ^nn++++=chamber
without ^in++++=without
hangings ^nns++++=hangings,
, ^zz++++=EXTRAWORD
under ^in++++=under
lamps ^nns++++=lamps
whose ^whp+rel+obj++=whose
flames ^nns++++=flames
were ^vbd+bed+vrb++=were
small ^jj+pred+++=small
and ^cc+phrs+++=and
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
" ^zz++++="Wherefore
wherefore ^nn+++??+=EXTRAWORD
hast ^&fw++++=hast
thou ^pp2+pp2+++=thou
come ^vb++++=come?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
eldest ^jjt++++=eldest
archon ^&fw++++=archon.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
sing ^vbi++++=sing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
peradventure ^nn+++??+=peradventure
to ^to++++=to
learn ^vbi+vprv+++=learn
from ^in++++=from
travellers ^nns+nom+++=travellers
what ^wdt+who+++=what
path ^nn++++=path
leadeth ^vbz++++=leadeth
unto ^in++++=unto
Aira ^np+++??+=Aira."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
archon ^&fw++++=archon
frowned ^vbd+++xvbn+=frowned,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
Teloth ^np+++??+=Teloth
every ^at++++=every
man ^nn++++=man
wrought ^vbd+++xvbn+=wrought
with ^in++++=with
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
grain ^nn++++=grain,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
law ^nn++++=law,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
man ^nn++++=man
was ^vbd+bedz+aux++=was
suffered ^vpsv++agls+xvbnx+=suffered
to ^in++++=to
labour ^nn++++=labour
only ^rb+down+++=only
at ^rb++++=at
delight ^nn++++=delight.
. ^zz++++=EXTRAWORD
" ^zz++++="Song
song ^nn++++=EXTRAWORD
buildeth ^vbz++++=buildeth
no ^at++++=no
wall ^nn++++=wall,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
