In ^in++++=In
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
H ^zz++++=H
roon ^np++++=roon
Er ^&fw++++=Er-Rasheed,
- ^zz++++=EXTRAWORD
rasheed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Baghdad ^np++++=Baghdad
was ^vbd+bedz+vrb++=was
the ^ati++++=the
abode ^nn++++=abode
of ^in++++=of
peace ^nn++++=peace
and ^cc++++=and
the ^ati++++=the
meeting ^jj+++xvbg+=meeting-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
of ^in++++=of
merchants ^nns+nom+++=merchants
and ^cc++++=and
learned ^jj+atrb++xvbn+=learned
men ^nns++++=men,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled
with ^in++++=with
wakefulness ^nns+nom+++=wakefulness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
for ^in++++=for
Ja ^np+++??+=Ja
far ^rb+pl+++=far
the ^ati++++=the
Barmekee ^np+nom++??+=Barmekee,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
Wezeer ^np+++??+=Wezeer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Ja ^np+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
bosom ^nn++++=bosom
is ^vbz+bez+aux++=is
contracted ^vpsv++agls+xvbnx+=contracted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sleep ^nn++++=sleep
hath ^vbz+hvz+aux++=hath
fled ^vprf+++xvbnx+=fled
from ^in++++=from
mine ^nn++++=mine
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
I ^pp1a+pp1+++=I
desire ^nn++++=desire
to ^to+ncmp+++=to
descend ^vbi++++=descend
into ^in++++=into
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
may ^md+pos+++=may
behold ^vb++++=behold
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
my ^pp$+pp1+++=my
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Ja ^np+++??+=Ja
far ^rb+pl+++=far
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
and ^cc+phrs+++=and
obey ^vb++++=obey,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Prince ^npt++++=Prince
of ^in++++=of
the ^ati++++=the
Faithful ^nn++++=Faithful.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
disguised ^vbd+++xvbn+=disguised
himself ^ppl+pp3+++=himself
as ^in++++=as
a ^at++++=a
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ja ^np+++??+=Ja
far ^rb+pl+++=far
did ^vbd+dod+vrb++=did
likewise ^rb+cnj+++=likewise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mesroor ^np+++??+=Mesroor
the ^ati++++=the
executioner ^nn+nom+++=executioner
went ^vbd+++xvbn+=went
with ^in++++=with
them ^pp3o+pp3+++=them
as ^ql++++=as
their ^pp$+pp3+++=their
servant ^nn+nom+++=servant;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
forth ^np++++=forth
from ^in++++=from
the ^ati++++=the
palace ^nn++++=palace
by ^in++++=by
a ^at++++=a
private ^jj+atrb+++=private
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
traversed ^vbd+++xvbn+=traversed
the ^ati++++=the
streets ^nns++++=streets
and ^cc++++=and
markets ^nns++++=markets
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
Tigris ^np+++??+=Tigris.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
they ^pp3a+pp3+++=they
beheld ^vb+++??+=beheld
an ^at++++=an
old ^jj+atrb+++=old
fisherman ^nn+nom+++=fisherman
carrying ^vwbg+++xvbg+=carrying
upon ^in++++=upon
his ^pp$+pp3+++=his
head ^jjb++++=head
a ^at++++=a
net ^jjb++++=net
and ^cc++++=and
a ^at++++=a
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walking ^nvbg+++xvbg+=walking
with ^in++++=with
bent ^xvbn+++xvbn+=bent
