# ^zz++++=#
Traditions ^nns+nom+++=Traditions
of ^in++++=of
Lough ^np+++??+=Lough
Guir ^np+++??+=Guir
In ^in++++=In
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
days ^nns++++=days,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
new ^jj+atrb+++=new
road ^npl++++=road
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
of ^in++++=of
Knockadoon ^np+++??+=Knockadoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
certain ^jj+atrb+++=certain
wooded ^jj+atrb+++=wooded
islands ^nns++++=islands,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
joined ^vbd+++xvbn+=joined
to ^in++++=to
the ^ati++++=the
mainland ^nn++++=mainland
by ^in++++=by
reeds ^nns++++=reeds
and ^cc++++=and
meadow ^nn++++=meadow-grass,
- ^zz++++=EXTRAWORD
grass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
still ^rb++++=still
showed ^vbd+vprv++xvbn+=showed
their ^pp$+pp3+++=their
dark ^jj+atrb+++=dark
reflections ^nns+nom+++=reflections
in ^in++++=in
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
Lough ^np+++??+=Lough
Guir ^np+++??+=Guir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed
some ^dti++++=some
weeks ^nns++++=weeks
of ^in++++=of
every ^at++++=every
summer ^nn++++=summer
in ^cs+sub+++=in
that ^cs"++++=that
pleasant ^jj+atrb+++=pleasant
but ^cc+phrs+++=but
melancholy ^jj+atrb+++=melancholy
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
visits ^nns++++=visits
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
at ^rb++++=at
an ^at++++=an
age ^nn++++=age
when ^wrb+who+++=when
one ^cd1++++=one
accepts ^vbz++++=accepts
a ^at++++=a
legend ^nn++++=legend
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
unquestioning ^jj+atrb+++=unquestioning
appetite ^nn++++=appetite
with ^in++++=with
which ^whp+rel+pied++=which
one ^cd1++++=one
receives ^vbz++++=receives
a ^at++++=a
slice ^nn++++=slice
of ^in++++=of
seed ^nn++++=seed-cake;
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
lapse ^nn++++=lapse
of ^in++++=of
more ^ql++++=more
years ^nns++++=years
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
care ^vb++++=care
to ^to+vcmp+++=to
reckon ^vbi+vprv+++=reckon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
remembrance ^nn+nom+++=remembrance
of ^in++++=of
those ^dt+dem+++=those
evenings ^nns++++=evenings
returns ^nns++++=returns
to ^in++++=to
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
vividness ^nns+nom+++=vividness
denied ^vbd+vpub++xvbn+=denied
to ^in++++=to
many ^ap++++=many
graver ^jjr+atrb+++=graver
passages ^nns+nom+++=passages
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
nearest ^jjt+atrb+++=nearest
neighbours ^nns++++=neighbours
were ^vbd+bed+vrb++=were
the ^ati++++=the
Miss ^npt++++=Miss
Bailys ^np++++=Bailys
Anne ^np++++=Anne
and ^cc++++=and
Susan ^np++++=Susan
two ^cd++++=two
maiden ^jjb+atrb+++=maiden
ladies ^nns++++=ladies
of ^in++++=of
an ^at++++=an
ancient ^jj+atrb+++=ancient
stock ^nn++++=stock,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
occupied ^vbd+++xvbn+=occupied
a ^at++++=a
low ^jj++++=low,
, ^zz++++=EXTRAWORD
irregular ^nn++++=irregular
house ^npl++++=house
standing ^vwbg+++xvbg+=standing
among ^in++++=among
ash ^nn++++=ash-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
eastern ^jj+atrb+++=eastern
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
lake ^nn++++=lake.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
family ^nn++++=family,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
never ^rb++++=never
powerful ^jj++++=powerful
in ^in++++=in
the ^ati++++=the
sense ^nn++++=sense
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Desmonds ^np+++??+=Desmonds
were ^vbd+bed+vrb++=were
powerful ^jj+pred+++=powerful,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seated ^vpsv++agls+xvbnx+=seated
there ^rn+pl+++=there
for ^in++++=for
generations ^nns+nom+++=generations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
contrived ^vprf+++xvbnx+=contrived,
, ^zz++++=EXTRAWORD
through ^in++++=through
confiscations ^nns+nom+++=confiscations,
, ^zz++++=EXTRAWORD
disturbances ^nns+nom+++=disturbances,
, ^zz++++=EXTRAWORD
bad ^jj+atrb+++=bad
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worse ^jjr+atrb+++=worse
