One ^pn++++=One,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three,
, ^zz++++=EXTRAWORD
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
one ^cd1++++=one
five ^cd++++=five.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
count ^vb++++=count
one ^cd1++++=one
hundred ^cd++++=hundred
fives ^nns++++=fives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
will ^md+prd+++=will
have ^vb+hv+aux++=have
called ^vprf+++xvbnx+=called.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
hundred ^cd++++=hundred
is ^vbz+bez+vrb++=is
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many.
. ^zz++++=EXTRAWORD
Anything ^pn++++=Anything
may ^md+pos+++=may
happen ^vb+++??+=happen
in ^in++++=in
five ^cd++++=five
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
A ^at++++=A
kettle ^nn++++=kettle
boils ^vbz++++=boils,
, ^zz++++=EXTRAWORD
a ^at++++=a
train ^nn++++=train
crosses ^vbz++++=crosses
three ^cd++++=three
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
remembers ^nns+nom+++=remembers
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
