Frances ^nns+nom+++=Frances
came ^vbd+++xvbn+=came
home ^nr++++=home
from ^in++++=from
Liverpool ^np++++=Liverpool
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
August ^nr++++=August
heat ^nn++++=heat
lay ^vbd+++xvbn+=lay
flattened ^vbd+++xvbn+=flattened
over ^in++++=over
the ^ati++++=the
fields ^nns++++=fields
and ^cc++++=and
every ^at++++=every
hedge ^nn++++=hedge
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
gathered ^xvbn+++xvbn+=gathered
dust ^nn++++=dust
into ^in++++=into
its ^pp$+it+++=its
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
from ^in++++=from
the ^ati++++=the
station ^nn+nom+++=station
because ^cs+cos+++=because
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
trap ^nn++++=trap
waiting ^vwbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road,
, ^zz++++=EXTRAWORD
white ^jj++++=white
between ^in++++=between
the ^ati++++=the
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
dazzled ^j+++xvbn+=dazzled
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
tar ^nn++++=tar
softened ^vbd+++xvbn+=softened
beneath ^in+pl+++=beneath
her ^pp$+pp3+++=her
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
iron ^nn++++=iron
hoops ^nns++++=hoops
of ^in++++=of
the ^ati++++=the
gates ^nns++++=gates
burned ^vbd+++xvbn+=burned
scarlet ^jj++++=scarlet
where ^wrb+who+++=where
the ^ati++++=the
sun ^nn++++=sun
struck ^vbd+++xvbn+=struck
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
carried ^vbd+++xvbnx+=carried
a ^rb++++=a
little ^rb"++++=little
brown ^jj+atrb+++=brown
case ^nn++++=case.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
