It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
finished ^vpsv++agls+xvbnx+=finished.
. ^zz++++=EXTRAWORD
Subienkow ^np+++??+=Subienkow
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
calm ^nn++++=calm
certainty ^nn++++=certainty
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
watched ^vprf+++xvbnx+=watched
the ^ati++++=the
river ^nn++++=river
ice ^nn++++=ice
break ^vb++++=break
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
has ^vbz+hvz+aux++=has
already ^rb++splt++=already
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
black ^jj+atrb+++=black
water ^nn++++=water
speaking ^vwbg+++xvbg+=speaking
below ^rb++++=below.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
rescue ^nn++++=rescue
from ^in++++=from
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
no ^at++++=no
sudden ^jj+atrb+++=sudden
quarrel ^nn++++=quarrel
among ^in++++=among
his ^pp$+pp3+++=his
captors ^nns++++=captors,
, ^zz++++=EXTRAWORD
no ^at++++=no
rifle ^nn++++=rifle
shot ^vbd+++xvbn+=shot
from ^in++++=from
beyond ^in++++=beyond
the ^ati++++=the
spruce ^nn++++=spruce.
. ^zz++++=EXTRAWORD
The ^ati++++=The
post ^nn++++=post
at ^in++++=at
Nulato ^np+++??+=Nulato
was ^vbd+bedz+vrb++=was
ashes ^nns++++=ashes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Russians ^nn++++=Russians
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
ruled ^vprf++tht0+xvbnx+=ruled
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
dead ^jj+pred+++=dead
or ^cc+phrs+++=or
dying ^jj+++xvbg+=dying.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
beaten ^vprf+++xvbnx+=beaten,
, ^zz++++=EXTRAWORD
starved ^vprf+++xvbn+=starved,
, ^zz++++=EXTRAWORD
robbed ^j+++xvbn+=robbed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
driven ^vpsv++agls+xvbn+=driven
like ^in++++=like
dogs ^nns++++=dogs
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
was ^vbd+bedz+aux++=was
come ^vprf+++xvbn+=come
the ^ati++++=the
harvest ^nn++++=harvest
of ^in++++=of
that ^dt+dem+++=that
long ^rb++++=long
sowing ^nn++++=sowing
of ^in++++=of
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Subienkow ^np+++??+=Subienkow
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
trampled ^jj+++xvbn+=trampled
snow ^np++++=snow
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
bound ^vwbn+++xvbn+=bound
behind ^rp+pl+++=behind
him ^pp3o+pp3+++=him
and ^cc++++=and
watched ^vbd+++xvbn+=watched
Big ^jj+atrb+++=Big
Ivan ^np++++=Ivan
die ^vb++++=die.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
would ^md+prd+++=would
never ^rb++++=never
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
mountain ^nn++++=mountain
of ^in++++=of
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
shoulder ^nn+nom+++=shoulder
a ^at++++=a
bale ^nn+++??+=bale
of ^in++++=of
pelts ^nns+++??+=pelts
that ^tht+rel+subj++=that
bent ^vwbn+++xvbn+=bent
two ^cd++++=two
lesser ^jjr+atrb+++=lesser
men ^nns++++=men.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
lifted ^vprf+++xvbnx+=lifted
a ^at++++=a
sledge ^nn+++??+=sledge
clear ^jj++++=clear
of ^in++++=of
a ^at++++=a
drift ^nn++++=drift
while ^cs+sub+++=while
the ^ati++++=the
dogs ^nns++++=dogs
screamed ^vbd+++xvbn+=screamed
in ^in++++=in
their ^pp$+pp3+++=their
traces ^nns++++=traces.
. ^zz++++=EXTRAWORD
At ^in++++=At
Yakutsk ^np+++??+=Yakutsk
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
a ^at++++=a
soldier ^nn++++=soldier
with ^in++++=with
one ^cd1++++=one
blow ^nn++++=blow
of ^in++++=of
his ^pp$+pp3+++=his
fist ^nn++++=fist;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Kolyma ^np+++??+=Kolyma
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
open ^jj+atrb+++=open
water ^nn++++=water
between ^in++++=between
cakes ^nns++++=cakes
of ^in++++=of
spring ^nn++++=spring
ice ^nn++++=ice,
, ^zz++++=EXTRAWORD
swimming ^nvbg+++xvbg+=swimming
in ^in++++=in
boots ^nns++++=boots
and ^cc++++=and
fur ^nn++++=fur
trousers ^nns+nom+++=trousers;
; ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
western ^jj+atrb+++=western
mountains ^nns++++=mountains
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
three ^cd++++=three
days ^nns++++=days
with ^in++++=with
an ^at++++=an
arrowhead ^nn+++??+=arrowhead
between ^in++++=between
his ^pp$+pp3+++=his
ribs ^nns++++=ribs
and ^cc++++=and
had ^vbd+hvd+aux++=had
cursed ^vprf+++xvbnx+=cursed
only ^rb+down+++=only
because ^cs+cos+++=because
the ^ati++++=the
wound ^nn++++=wound
slowed ^vwbn+++xvbn+=slowed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
now ^rn+tm+++=now
Ivan ^np++++=Ivan
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
a ^at++++=a
mountain ^nn++++=mountain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
