At ^in++++=At
our ^pp$+pp1+++=our
monthly ^jj+atrb+++=monthly
dinner ^nn++++=dinner,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
brought ^vbd+++xvbn+=brought
together ^nn+nom+++=together
five ^cd++++=five
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
survived ^vprf+++xvbnx+=survived
friendship ^nn+nom+++=friendship
by ^in++++=by
seeing ^xvbg+++xvbg+=seeing
one ^cd1++++=one
another ^dt++++=another
only ^rb+down+++=only
twelve ^cd++++=twelve
times ^nns++++=times
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
Joseph ^np++++=Joseph
de ^&fw++++=de
Bardon ^np+++??+=Bardon
was ^vbd+bedz+aux++=was
asked ^vpsv++agls+xvbnx+=asked
for ^in+ppvb+++=for
a ^at++++=a
story ^nn++++=story.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
that ^dt+dem+++=that
agreeable ^jj+atrb+++=agreeable
age ^nn++++=age
at ^in++++=at
which ^whp+rel+pied++=which
a ^at++++=a
wealthy ^jj+atrb+++=wealthy
bachelor ^nn++++=bachelor,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
young ^jj++++=young
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
ridiculous ^jj+pred+++=ridiculous
through ^in++++=through
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
still ^rb+atrb+++=still
young ^jj+pred+++=young
enough ^qlp++++=enough
to ^to++++=to
be ^vbi++vrb++=be
ridiculous ^jj+pred+++=ridiculous
through ^in++++=through
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
intelligent ^jj+pred+++=intelligent
without ^in++++=without
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
cultivated ^j+++xvbn+=cultivated
without ^in++++=without
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
informed ^vpsv++agls+xvbn+=informed
upon ^in++++=upon
