In ^in++++=In
the ^ati++++=the
First ^rb++++=First
Beginning ^vbg+++xvbg+=Beginning,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
world ^nn++++=world
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
put ^vpsv++agls+xvbnx+=put
together ^rb+phrv+++=together
in ^in++++=in
a ^at++++=a
hurry ^nn++++=hurry
and ^cc++++=and
the ^ati++++=the
paint ^nn++++=paint
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
dry ^jj+pred+++=dry
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
High ^jj+atrb+++=High
Veldt ^np+++??+=Veldt
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
enormous ^jj++++=enormous
sandy ^jj++++=sandy-yellowish-brownish
- ^zz++++=EXTRAWORD
yellowish ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
brownish ^jj+atrb+++=EXTRAWORD
colour ^nn++++=colour
from ^in++++=from
sunrise ^nn++++=sunrise
to ^in++++=to
supper ^nn++++=supper-time.
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
sandy ^jj+pred+++=sandy-yellow
- ^zz++++=EXTRAWORD
yellow ^jj+atrb+++=EXTRAWORD
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sandy ^jj++++=sandy-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yellow ^jj++++=yellow-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
dust ^nn++++=dust
that ^tht+rel+subj++=that
got ^vprf+++xvbn+=got
into ^in+ppvb+++=into
the ^ati++++=the
noses ^nns++++=noses
of ^in++++=of
the ^ati++++=the
animals ^nns+nom+++=animals
and ^cc++++=and
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
sneeze ^jj+atrb++??+=sneeze
Hurrashoo ^np+++??+=Hurrashoo!
! ^zz++++=EXTRAWORD
exactly ^rb++++=exactly
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
be ^vbi++vrb++=be
dignified ^jj+pred+++=dignified.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
this ^dt+dem+++=this
High ^jj+atrb+++=High
Veldt ^np+++??+=Veldt
lived ^vbd+++xvbn+=lived
a ^at++++=a
Leopard ^nn++++=Leopard;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
spots ^nn++++=spots.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
that ^tht+vcmp+++=that
particularly ^rb+cnj+++=particularly,
, ^zz++++=EXTRAWORD
Best ^jjt++++=Best
Beloved ^jj++++=Beloved.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
biscuit ^nn++++=biscuit-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
Leopard ^nn++++=Leopard,
, ^zz++++=EXTRAWORD
as ^ql++++=as
blank ^np++++=blank
as ^ql++++=as
a ^at++++=a
breakfast ^nn++++=breakfast
bun ^nn++++=bun
and ^cc++++=and
almost ^rb+hdg+++=almost
as ^in++++=as
conceited ^nn++++=conceited.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
lived ^vbd+++xvbn+=lived
an ^at++++=an
Ethiopian ^np+++??+=Ethiopian
hunter ^np++++=hunter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
