All ^abn++++=All
morning ^nn++++=morning
the ^ati++++=the
house ^nn++++=house
forgot ^vbd+vprv++xvbn+=forgot
how ^wrb+who+whcl++=how
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
house ^nn++++=house.
. ^zz++++=EXTRAWORD
First ^rb++++=First
two ^cd++++=two
men ^nns++++=men
came ^vbd+++xvbn+=came
carrying ^jj+atrb++xvbg+=carrying
chairs ^nns++++=chairs
upon ^in++++=upon
their ^pp$+pp3+++=their
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
six ^cd++++=six
at ^in++++=at
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
thin ^jj+atrb+++=thin
gold ^nn++++=gold
legs ^nns++++=legs
sticking ^vwbg+++xvbg+=sticking
up ^rp++++=up
and ^cc++++=and
trembling ^nvbg+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
hall ^npl++++=hall
sideways ^jjb++++=sideways
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Steady
steady ^jj++++=EXTRAWORD
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
though ^cs+sub+++=though
nothing ^pn++++=nothing
was ^vbd+bedz+aux++=was
moving ^vbg+++xvbgx+=moving
except ^cs+sub+++=except
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
boy ^nn++++=boy
brought ^vbd+++xvbn+=brought
baskets ^nns++++=baskets
of ^in++++=of
roses ^nns++++=roses
red ^jj+atrb+++=red
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^ap++++=little
yellow ^jj+atrb+++=yellow
ones ^cd1s++++=ones
curled ^vbd+++xvbn+=curled
tight ^jj++++=tight
as ^ql++++=as
buttons ^nns++++=buttons.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
a ^at++++=a
man ^nn++++=man
with ^in++++=with
a ^at++++=a
black ^jj+atrb+++=black
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
concert ^nn++++=concert?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Moon ^np++++=Moon
whispered ^vbd+vpub++xvbn+=whispered.
. ^zz++++=EXTRAWORD
Sun ^nn++++=Sun
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
his ^pp$+pp3+++=his
ear ^nn++++=ear
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
piano ^nn++++=piano
and ^cc++++=and
struck ^vbd+++xvbn+=struck
one ^cd1++++=one
note ^nn++++=note
over ^in++++=over
and ^cc++++=and
over ^rb++++=over.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
the ^ati++++=the
concert ^nn++++=concert
was ^vbd+bedz+vrb++=was
inside ^jjb+pred+++=inside,
