# ^zz++++=##
# ^zz++++=EXTRAWORD
Hundred ^cd++++=HUNDRED
And ^cc++++=AND
One ^pn++++=ONE
At ^in++++=At
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
five ^cd++++=five
on ^in++++=on
an ^at++++=an
August ^nr++++=August
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
western ^jj+atrb+++=western
windows ^nns++++=windows
of ^in++++=of
the ^ati++++=the
Clayton ^np+++??+=Clayton
House ^nn++++=House
blazed ^vbd+++xvbn+=blazed
like ^in++++=like
polished ^jj+atrb+++=polished
copper ^nn++++=copper,
, ^zz++++=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long,
, ^zz++++=EXTRAWORD
uncertain ^jj+atrb+++=uncertain
shadow ^nn++++=shadow
came ^vbd+++xvbn+=came
wavering ^jj++++=wavering
up ^rp++++=up
the ^ati++++=the
white ^jj+atrb+++=white
road ^npl++++=road
from ^in++++=from
the ^ati++++=the
pine ^nn++++=pine
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shadow ^nn++++=shadow
arrived ^vbd+++xvbn+=arrived
first ^rb++++=first.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
touched ^vbd+++xvbn+=touched
the ^ati++++=the
hitching ^nn++++=hitching-post,
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
the ^ati++++=the
hotel ^nn++++=hotel
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
itself ^ppl++++=itself
thinly ^rb++++=thinly
across ^in+pl+++=across
the ^ati++++=the
veranda ^nn++++=veranda,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
paused ^vpsv++agls+xvbn+=paused
at ^in++++=at
the ^ati++++=the
shining ^jj+atrb++xvbg+=shining
toes ^nns++++=toes
of ^in++++=of
Colonel ^npt++++=Colonel
Dabney ^np+++??+=Dabney,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
there ^ex+pex+++=there
explaining ^vbg+vpub++xvbg+=explaining
the ^ati++++=the
Mexican ^jj+atrb+++=Mexican
War ^nn++++=War
to ^to++++=to
