When ^wrb+who+++=When
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
decease ^nn++++=decease
of ^in++++=of
my ^pp$+pp1+++=my
mother ^nn++++=mother's
's ^vbz+bez+vrb++0=EXTRAWORD
elder ^jjr+atrb+++=elder
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
possessor ^nn++++=possessor
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
brick ^nn++++=brick
house ^nn++++=house
in ^in++++=in
Cedar ^nn++++=Cedar
Street ^nn++++=Street
not ^xnot++not++=not
the ^ati++++=the
Cedar ^nn++++=Cedar
Street ^nn++++=Street
which ^whp+rel+obj++=which
the ^ati++++=the
map ^nn++++=map
now ^rn+tm+++=now
acknowledges ^vbz++++=acknowledges,
, ^zz++++=EXTRAWORD
noisy ^jj++++=noisy
with ^in++++=with
drays ^nns+++??+=drays
and ^cc++++=and
reverberant ^nn+nom+++=reverberant
with ^in++++=with
the ^ati++++=the
brazen ^vb++++=brazen
theology ^nn++++=theology
of ^in++++=of
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
earlier ^jjr+atrb+++=earlier,
, ^zz++++=EXTRAWORD
quieter ^jjr+atrb+++=quieter
street ^nn++++=street,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
survives ^vbz++++=survives
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
memories ^nns++++=memories
of ^in++++=of
men ^nns++++=men
whose ^whp+rel+obj++=whose
knees ^nns++++=knees
object ^nn++++=object
to ^in++++=to
stairs ^nns++++=stairs
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
regarded ^vbd+++xvbnx+=regarded
the ^ati++++=the
inheritance ^nn+nom+++=inheritance
with ^in++++=with
less ^rbr++++=less
gratitude ^nn++++=gratitude
than ^in++++=than
an ^at++++=an
estate ^nn++++=estate,
, ^zz++++=EXTRAWORD
even ^rb++++=even
a ^at++++=a
ruinous ^jj+atrb+++=ruinous
estate ^nn++++=estate,
, ^zz++++=EXTRAWORD
commonly ^rb++++=commonly
excites ^vbz++++=excites.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
old ^jj++++=old;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
age ^nn++++=age
in ^in++++=in
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
age ^nn++++=age
in ^in++++=in
claret ^nn+++??+=claret,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
to ^to++++=to
be ^vbi+vbi+aux++=be
commended ^vpsv++by+xvbnx+=commended
by ^in++++=by
gentlemen ^nns++++=gentlemen
who ^whp+rel+subj++=who
do ^vb+do+aux++=do
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
drink ^vbi++++=drink
the ^ati++++=the
consequences ^nns+nom+++=consequences.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
roof ^nn++++=roof
sagged ^vbd+++xvbn+=sagged
a ^rb++++=a
little ^rb"++++=little
toward ^in++++=toward
the ^ati++++=the
east ^np+pl+++=east,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
bowing ^vbg+++xvbg+=bowing
with ^in++++=with
excessive ^jj+atrb+++=excessive
urbanity ^nn+nom+++=urbanity
to ^in++++=to
the ^ati++++=the
sunrise ^nn++++=sunrise;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
chimneys ^nns++++=chimneys
smoked ^vbd+++xvbn+=smoked
impartially ^rb++++=impartially
into ^in++++=into
the ^ati++++=the
rooms ^nns++++=rooms
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
air ^nn++++=air;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
shutters ^nns+nom+++=shutters
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
several ^ap++++=several
slats ^nns++++=slats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
wind ^nn++++=wind
was ^vbd+bedz+vrb++=was
northward ^jjb+pred+++=northward,
, ^zz++++=EXTRAWORD
performed ^xvbn+++xvbn+=performed
a ^at++++=a
melancholy ^jj+atrb+++=melancholy
percussion ^nn++++=percussion
throughout ^in++++=throughout
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cellars ^nns++++=cellars
were ^vbd+bed+aux++=were
divided ^vpsv++by+xvbnx+=divided
by ^in++++=by
brick ^nn++++=brick
arches ^nns++++=arches
into ^in++++=into
bins ^nns++++=bins
deep ^jj++++=deep
enough ^qlp++++=enough
to ^in++++=to
have ^vbi+vbi+aux++=have
concealed ^vprf+++xvbnx+=concealed
the ^ati++++=the
private ^jj+atrb+++=private
sins ^nns++++=sins
of ^in++++=of
a ^at++++=a
province ^nn++++=province.
. ^zz++++=EXTRAWORD
Huge ^jj+atrb+++=Huge
oak ^nn++++=oak
timbers ^nns+nom+++=timbers,
, ^zz++++=EXTRAWORD
black ^jj++++=black
as ^ql++++=as
old ^jj+atrb+++=old
sermons ^nns++++=sermons,
, ^zz++++=EXTRAWORD
traversed ^j+++xvbn+=traversed
the ^ati++++=the
ceilings ^nns+nom+++=ceilings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mantels ^nns+++??+=mantels
were ^vbd+bed+aux++=were
carved ^vpsv++agls+xvbnx+=carved
with ^in++++=with
garlands ^nns++++=garlands,
, ^zz++++=EXTRAWORD
urns ^nns++++=urns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
small ^jj+atrb+++=small
mythological ^jj+atrb+++=mythological
ladies ^nns++++=ladies
whose ^whp+rel+obj++=whose
noses ^nns++++=noses
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
rubbed ^vpsv++agls+xvbnx+=rubbed
away ^rp+pl+++=away
by ^in++++=by
generations ^nns+nom+++=generations
of ^in++++=of
housemaids ^nns++++=housemaids.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
wainscots ^nns+++??+=wainscots,
, ^zz++++=EXTRAWORD
cupboards ^nns++++=cupboards
