# ^zz++++=##
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
First ^od++++=FIRST
# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Cinder ^np+++??+=CINDER
Archipelago ^nn++++=ARCHIPELAGO
> ^zz++++=>
Where ^wrb+who+++=Where
neither ^dt++neg++=neither
dewy ^nn+++??+=dewy
morn ^vbd+++xvbn+=morn
nor ^cc++neg++=nor
evening ^nn++++=evening
mild ^jj++++=mild
> ^zz++++=>
Makes ^vbz++++=Makes
green ^nn++++=green
the ^ati++++=the
rib ^nn+++??+=rib
d ^zz++++=d
hill ^npl++++=hill
or ^cc++++=or
blasted ^vbd+++xvbn+=blasted
plain ^jj++++=plain,
, ^zz++++=EXTRAWORD
> ^zz++++=>
But ^cc++++=But
elder ^jjr+atrb+++=elder
Fire ^nn++++=Fire,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
rage ^vb++++=rage
beguiled ^vbd+++xvbn+=beguiled,
, ^zz++++=EXTRAWORD
> ^zz++++=>
Hath ^vbz+hvz+aux++=Hath
left ^vprf+++xvbnx+=left
black ^jj+atrb+++=black
monuments ^nns+nom+++=monuments
of ^in++++=of
ancient ^jj+atrb+++=ancient
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take,
, ^zz++++=EXTRAWORD
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
some ^dti++++=some
five ^cd++++=five-and-twenty
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
twenty ^cd++++=EXTRAWORD
heaps ^nns++++=heaps
of ^in++++=of
furnace ^nn++++=furnace
refuse ^nn++++=refuse
clinkers ^nns+nom+++=clinkers,
, ^zz++++=EXTRAWORD
slag ^nn++++=slag,
, ^zz++++=EXTRAWORD
extinguished ^jj+atrb++xvbn+=extinguished
brands ^nns++++=brands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
coarse ^jj+atrb+++=coarse
ash ^nn++++=ash
which ^whp+rel+obj++=which
a ^at++++=a
smith ^np++++=smith
sweeps ^nns++++=sweeps
from ^in++++=from
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
forge ^nn++++=forge;
; ^zz++++=EXTRAWORD
magnify ^vb++++=magnify
each ^dt++++=each
heap ^nn++++=heap
into ^in++++=into
a ^at++++=a
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
scatter ^nn++++=scatter
the ^ati++++=the
whole ^nn++++=whole
upon ^in++++=upon
a ^at++++=a
sea ^nn++++=sea
bright ^jj++++=bright
as ^in++++=as
molten ^jj+atrb+++=molten
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
any ^dti++++=any
tenderness ^nns+nom+++=tenderness
of ^in++++=of
Nature ^nn++++=Nature
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
prospect ^nn++++=prospect,
, ^zz++++=EXTRAWORD
forbid ^vb+vsua+++=forbid
the ^ati++++=the
clouds ^nns++++=clouds
to ^in++++=to
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soil ^nn++++=soil
to ^to++++=to
deepen ^vbi++++=deepen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trees ^nns++++=trees
to ^to++++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
birds ^nns++++=birds
of ^in++++=of
cheerful ^jj+atrb+++=cheerful
woodland ^nn++++=woodland
to ^to++++=to
sing ^vbi++++=sing
and ^cc++++=and
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
no ^at++++=no
unfaithful ^jj+atrb+++=unfaithful
image ^nn++++=image
of ^in++++=of
those ^dt+dem+++=those
islands ^nns++++=islands
which ^whp+rel+obj++=which
old ^jj+atrb+++=old
pilots ^nns++++=pilots
called ^vbd+++xvbn+=called
the ^ati++++=the
Encantadas ^np+++??+=Encantadas.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lie ^vb++++=lie
under ^in++++=under
the ^ati++++=the
Equator ^np++++=Equator,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+vrb++=have
none ^rb++++=none
of ^in++++=of
his ^pp$+pp3+++=his
luxuriance ^nn+nom+++=luxuriance.
. ^zz++++=EXTRAWORD
Elsewhere ^rb++++=Elsewhere
that ^dt+dem+++=that
mighty ^jj+atrb+++=mighty
girdle ^nn+++??+=girdle
of ^in++++=of
the ^ati++++=the
globe ^nn++++=globe
is ^vbz+bez+aux++=is
embroidered ^vpsv++agls+xvbnx+=embroidered
with ^in++++=with
forests ^nns++++=forests;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
scorched ^vbd+++xvbn+=scorched
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
in ^in++++=in
Brazil ^np++++=Brazil
is ^vbz+bez+vrb++=is
a ^at++++=a
gardener ^nn+nom+++=gardener,
, ^zz++++=EXTRAWORD
in ^in++++=in
these ^dt+dem+++=these
isles ^npls++++=isles
is ^vbz+bez+vrb++=is
an ^at++++=an
executioner ^nn+nom+++=executioner.
. ^zz++++=EXTRAWORD
Day ^nn++++=Day
after ^in++++=after
day ^nn++++=day
he ^pp3a+pp3+++=he
searches ^nns++++=searches
every ^at++++=every
fissure ^nn+++??+=fissure
with ^in++++=with
a ^at++++=a
spear ^nn++++=spear
of ^in++++=of
white ^jj+atrb+++=white
flame ^nn++++=flame;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
from ^in++++=from
the ^ati++++=the
sterile ^jj+atrb+++=sterile
wound ^nn+++xvbn+=wound
comes ^vbz++++=comes
neither ^dt++neg++=neither
sap ^nn++++=sap
nor ^cc++neg++=nor
blossom ^vb++++=blossom.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
gray ^np++++=gray
shrubs ^nns++++=shrubs,
, ^zz++++=EXTRAWORD
twisted ^j+++xvbn+=twisted
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
imploring ^xvbg+++xvbg+=imploring
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
adhere ^vb++++=adhere
to ^in++++=to
the ^ati++++=the
slopes ^nns++++=slopes;
; ^zz++++=EXTRAWORD
cacti ^nn+++??+=cacti
lift ^nn++++=lift
their ^pp$+pp3+++=their
distorted ^xvbn+++xvbn+=distorted
arms ^nns++++=arms;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
vine ^nn++++=vine,
, ^zz++++=EXTRAWORD
without ^in++++=without
