# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Gratmar ^np+++??+=GRATMAR
Affair ^nn++++=AFFAIR
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
delayed ^vprf+++xvbnx+=delayed
for ^in++++=for
nine ^cd++++=nine
years ^nns++++=years
the ^ati++++=the
publication ^nn+nom+++=publication
of ^in++++=of
the ^ati++++=the
following ^jj+atrb++xvbg+=following
particulars ^nns++++=particulars,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
from ^in++++=from
any ^dti++++=any
solicitude ^nn+++??+=solicitude
for ^in++++=for
the ^ati++++=the
living ^jj+++xvbg+=living
who ^whp+who+++=who
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
themselves ^ppls+pp3+++=themselves
abundantly ^rb++++=abundantly
competent ^jj++++=competent
to ^to+jcmp+++=to
protect ^vbi++++=protect
their ^pp$+pp3+++=their
own ^ap++++=own
reputations ^nns+nom+++=reputations
but ^cc+cls+++=but
because ^cs+cos+++=because
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
unable ^jj++++=unable
to ^to+jcmp+++=to
contradict ^vbi++++=contradict
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
entitled ^vpsv++agls+xvbnx+=entitled
to ^in++++=to
some ^dti++++=some
consideration ^nn+nom+++=consideration.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
Lieutenant ^npt+nom+++=Lieutenant-Colonel
- ^zz++++=EXTRAWORD
colonel ^npt++++=EXTRAWORD
Venn ^np+++??+=Venn
belongs ^vbz++++=belongs
properly ^rb++++=properly
to ^in++++=to
that ^dt+dem+++=that
defenceless ^jj+atrb+++=defenceless
class ^nn++++=class
is ^vbz+bez+vrb++=is
certain ^jj+pred+++=certain
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
Private ^jj+atrb+++=Private
Gratmar ^np+++??+=Gratmar
I ^pp1a+pp1+++=I
preserve ^vb++++=preserve
a ^at++++=a
less ^rbr++++=less
absolute ^jj+atrb+++=absolute
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
Gratmar ^np+++??+=Gratmar
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
the ^ati++++=the
Third ^nn++++=Third
Frontier ^nn+nom+++=Frontier
Regiment ^nn+nom+++=Regiment,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
served ^vbd+++xvbn+=served
as ^ql++++=as
assistant ^nn+nom+++=assistant
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
proud ^jj++++=proud
as ^in++++=as
an ^at++++=an
iris ^nn++++=iris
and ^cc++++=and
tremulous ^jj++++=tremulous
as ^in++++=as
a ^at++++=a
moth ^nn++++=moth;
; ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
natures ^nns++++=natures
which ^whp+rel+obj++=which
mistake ^nn++++=mistake
acerbity ^nn+nom+++=acerbity
for ^in++++=for
injustice ^nn++++=injustice
and ^cc++++=and
injustice ^nn++++=injustice
for ^in++++=for
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv++xvbnx+=read
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
avoided ^xvbn+++xvbn+=avoided
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
regrettable ^jj+atrb+++=regrettable
habit ^nn++++=habit
of ^in++++=of
looking ^xvbg+++xvbg+=looking
directly ^rb++++=directly
into ^in++++=into
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
his ^pp$+pp3+++=his
superiors ^nns++++=superiors.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
infirmity ^nn+nom+++=infirmity
commended ^vbd+++xvbn+=commended
him ^pp3o+pp3+++=him
particularly ^rb++++=particularly
to ^in++++=to
Lieutenant ^npt+nom+++=Lieutenant-Colonel
- ^zz++++=EXTRAWORD
colonel ^npt++++=EXTRAWORD
Venn ^np+++??+=Venn.
. ^zz++++=EXTRAWORD
Venn ^np+++??+=Venn
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
red ^jj++++=red,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
constructed ^vpsv++agls+xvbn+=constructed
for ^in++++=for
authority ^nn+nom+++=authority
rather ^rb++++=rather
than ^in++++=than
ornament ^nn+nom+++=ornament.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
fought ^vprf+++xvbnx+=fought
like ^in++++=like
a ^at++++=a
mastiff ^nn+++??+=mastiff
in ^in++++=in
two ^cd++++=two
campaigns ^nns++++=campaigns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
peace ^nn++++=peace
preserved ^vwbn+++xvbn+=preserved
the ^ati++++=the
military ^jj+atrb+++=military
virtues ^nns++++=virtues
by ^in++++=by
waging ^vbg+++xvbg+=waging
war ^nn++++=war
upon ^in++++=upon
his ^pp$+pp3+++=his
subordinates ^nns+nom+++=subordinates.
. ^zz++++=EXTRAWORD
Gratmar ^np++++=Gratmar's
's ^$++++=EXTRAWORD
refinement ^nn+nom+++=refinement
irritated ^vbd+++xvbn+=irritated
him ^pp3o+pp3+++=him
as ^in++++=as
silk ^nn++++=silk
irritates ^nns+nom+++=irritates
a ^at++++=a
man ^nn++++=man
with ^in++++=with
cracked ^jj+atrb++xvbn+=cracked
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
punished ^vbd+++xvbnx+=punished
the ^ati++++=the
youth ^nn++++=youth
for ^in++++=for
slowness ^nns+nom+++=slowness,
, ^zz++++=EXTRAWORD
insolence ^nn+nom+++=insolence,
, ^zz++++=EXTRAWORD
untidiness ^nns+nom+++=untidiness,
, ^zz++++=EXTRAWORD
melancholy ^jj++++=melancholy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
for ^in++++=for
smiling ^nn++++=smiling
without ^in++++=without
permission ^nn++++=permission.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
cure ^vb++++=cure
me ^pp1o+pp1+++=me
of ^in++++=of
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gratmar ^np+++??+=Gratmar
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
one ^cd1++++=one
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
a ^at++++=a
surgeon ^nn++++=surgeon,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
bishop ^nn++++=bishop,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
returned ^vprf+++xvbnx+=returned
from ^in++++=from
parade ^nn++++=parade
with ^in++++=with
a ^at++++=a
cheek ^nn++++=cheek
swollen ^jj++++=swollen
by ^in++++=by
Venn ^np++++=Venn's
's ^$++++=EXTRAWORD
glove ^nn++++=glove.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
peculiar ^jj+atrb+++=peculiar
fixed ^jj+atrb++xvbn+=fixed
brilliance ^nn+nom+++=brilliance
which ^whp+rel+subj++=which
sometimes ^rb++++=sometimes
precedes ^vbz++++=precedes
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
crime ^nn++++=crime.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
become ^vb++++=become
a ^at++++=a
deserter ^nn+nom+++=deserter,
, ^zz++++=EXTRAWORD
a ^at++++=a
suicide ^nn++++=suicide,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
murderer ^nn+nom+++=murderer."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Colonel ^nn++++=Colonel
has ^vbz+hvz+aux++=has
at ^rb++splt++=at
least ^rb"++++=least
allowed ^vwbn+++xvbn+=allowed
you ^pp2+pp2+++=you
a ^at++++=a
choice ^nn++++=choice."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
choose ^vb++++=choose
two ^cd++++=two."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
so ^rb++++=so
quietly ^rb++++=quietly
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
wound ^vbi++++=wound
him ^pp3o+pp3+++=him
more ^rbr++++=more
profoundly ^rb++++=profoundly
than ^in++++=than
the ^ati++++=the
blow ^nn++++=blow.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+++=think
death ^nn++++=death
ends ^nns++++=ends
a ^at++++=a
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
only ^rb+down+++=only
removes ^vbz++++=removes
his ^pp$+pp3+++=his
restraints ^nns++++=restraints.
