Merchant ^nn+nom+++=Merchant
Vahl ^np+++??+=Vahl
had ^vb+hv+aux++=had
never ^rb++splt++=never
made ^vprf+++xvbnx+=made
a ^at++++=a
speech ^nn++++=speech
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
one ^cd1++++=one
counts ^nns++++=counts
those ^dt+dem+++=those
brief ^nn++++=brief
and ^cc++++=and
forcible ^jj+atrb+++=forcible
addresses ^nns+nom+++=addresses
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
delivered ^vbd+++xvbnx+=delivered
every ^at++++=every
Saturday ^nr++++=Saturday
evening ^nn++++=evening
to ^in++++=to
the ^ati++++=the
warehouse ^nn++++=warehouse
clerks ^nns++++=clerks
upon ^in++++=upon
the ^ati++++=the
sin ^nn++++=sin
of ^in++++=of
leaving ^xvbg+++xvbg+=leaving
string ^nn++++=string
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
on ^in++++=on
the ^ati++++=the
day ^nn++++=day
when ^wrb+who+++=when
his ^pp$+pp3+++=his
only ^ap+down+++=only
son ^nn++++=son
returned ^vbd+++xvbn+=returned
from ^in++++=from
the ^ati++++=the
University ^nn+nom+++=University,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
black ^jj+atrb+++=black
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
a ^at++++=a
pale ^jj+atrb+++=pale
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
opinions ^nns++++=opinions
upon ^in++++=upon
nearly ^rb+down+++=nearly
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
the ^ati++++=the
merchant ^nn+nom+++=merchant
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
propose ^vbi++++=propose
a ^at++++=a
toast ^nn++++=toast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dinner ^nn++++=dinner
was ^vbd+bedz+vrb++=was
a ^at++++=a
considerable ^jj+atrb+++=considerable
one ^pn++++=one.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
present ^vb++++=present
Judge ^nn++++=Judge
Krag ^np+++??+=Krag,
, ^zz++++=EXTRAWORD
Solicitor ^nn++++=Solicitor
Bentsen ^np+++??+=Bentsen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Adjunct ^nn++++=Adjunct
from ^in++++=from
the ^ati++++=the
Latin ^jj+atrb+++=Latin
school ^nn++++=school,
, ^zz++++=EXTRAWORD
two ^cd++++=two
captains ^nns++++=captains,
, ^zz++++=EXTRAWORD
three ^cd++++=three
elderly ^jj+atrb+++=elderly
merchants ^nns+nom+++=merchants
with ^in++++=with
their ^pp$+pp3+++=their
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady
who ^whp+rel+subj++=who
played ^vbd+++xvbn+=played
the ^ati++++=the
pianoforte ^nn+++??+=pianoforte
with ^in++++=with
more ^rbr++++=more
expression ^nn++++=expression
than ^in++++=than
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
twelve ^cd++++=twelve
dishes ^nns++++=dishes,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Norse ^np+++??+=Norse
principle ^nn++++=principle
that ^tht+ncmp+++=that
hospitality ^nn+nom+++=hospitality
consists ^nns+nom+++=consists
in ^in++++=in
compelling ^xvbg+++xvbg+=compelling
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
friends ^nns++++=friends
to ^to++++=to
eat ^vbi++++=eat
twice ^rb++++=twice
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good
for ^in++++=for
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Rhine ^np++++=Rhine
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
port ^npl++++=port,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
recherch ^nn+++??+=recherch
liqueur ^nn++++=liqueur
from ^in++++=from
Hamburg ^np++++=Hamburg
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
sideboard ^nn++++=sideboard;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
already ^rb++splt++=already
confused ^vprf+++xvbnx+=confused
the ^ati++++=the
Rhine ^np++++=Rhine
wine ^nn++++=wine
with ^in++++=with
the ^ati++++=the
port ^nn++++=port,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
state ^nn++++=state
at ^rb++++=at
once ^rb"+tm+++=once
elevated ^jj+++xvbn+=elevated
and ^cc+phrs+++=and
disquieted ^jj+++xvbn+=disquieted.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
son ^nn++++=son,
, ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
at ^in++++=at
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
absent ^jj++++=absent
three ^cd++++=three
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
during ^in++++=during
that ^dt+dem+++=that
period ^nn++++=period
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
some ^dti++++=some
Latin ^nn++++=Latin
and ^cc++++=and
political ^jj+atrb+++=political
economy ^nn++++=economy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
agreeable ^jj+atrb+++=agreeable
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
with ^in++++=with
pride ^nn++++=pride
not ^xnot++not++=not
unmixed ^vbd+++xvbn+=unmixed
with ^in++++=with
astonishment ^nn+nom+++=astonishment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
scarcely ^rb+down+++=scarcely
possible ^jj++++=possible
that ^tht+jcmp+++=that
this ^dt+dem+++=this
long ^jj++++=long-haired
- ^zz++++=EXTRAWORD
haired ^jj+atrb+++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spoke ^vbd+++xvbn+=spoke
familiarly ^rb++++=familiarly
of ^in++++=of
constitutions ^nns+nom+++=constitutions
and ^cc++++=and
called ^jj+++xvbn+=called
certain ^jj+atrb+++=certain
respected ^jj+atrb++xvbn+=respected
historians ^nns++++=historians
" ^zz++++="obsolete,"
obsolete ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same
child ^nn++++=child
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
chastised ^vprf+++xvbnx+=chastised
for ^in++++=for
sailing ^xvbg+++xvbg+=sailing
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
workbox ^nn+++??+=workbox
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain-barrel.
- ^zz++++=EXTRAWORD
barrel ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
