Once ^rb+tm+++=Once
there ^rn+pl+++=there
lay ^jjb+++xvbn+=lay
in ^in++++=in
the ^ati++++=the
harbour ^nn++++=harbour
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Orison ^np+++??+=Orison
a ^at++++=a
fleet ^nn++++=fleet
of ^in++++=of
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
vessels ^nns++++=vessels,
, ^zz++++=EXTRAWORD
all ^abn++++=all
fully ^rb+amp+++=fully
rigged ^vprf+++xvbn+=rigged,
, ^zz++++=EXTRAWORD
adequately ^rb++++=adequately
provisioned ^xvbn+++xvbn+=provisioned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prepared ^vbd+++xvbn+=prepared,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
declarations ^nns+nom+++=declarations
of ^in++++=of
their ^pp$+pp3+++=their
captains ^nns++++=captains,
, ^zz++++=EXTRAWORD
to ^to++++=to
sail ^vbi++++=sail
at ^in++++=at
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
notice ^nn++++=notice.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
immediately ^rb+tm+++=immediately
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
the ^ati++++=the
delay ^nn++++=delay
was ^vbd+bedz+aux++=was
caused ^vpsv++by+xvbnx+=caused
by ^in++++=by
a ^at++++=a
contrary ^jj+atrb+++=contrary
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
wind ^nn++++=wind
changed ^vbd+++xvbn+=changed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tide ^nn++++=tide
