# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
White ^jj++++=White
When ^wrb+who+++=When
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
Wanted ^vpsv++agls+xvbnx+=Wanted
Buckalong ^np+++??+=Buckalong
was ^vbd+bedz+vrb++=was
a ^at++++=a
station ^nn+nom+++=station
of ^in++++=of
such ^abl++++=such
dimensions ^nns++++=dimensions
that ^tht+rel+obj++=that
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
ride ^vb++++=ride
out ^rp+pl+++=out
on ^in++++=on
Monday ^nr++++=Monday
with ^in++++=with
a ^at++++=a
clean ^jj+atrb+++=clean
shirt ^nn++++=shirt
and ^cc++++=and
return ^vb++++=return
on ^in++++=on
Saturday ^nr++++=Saturday
without ^in++++=without
having ^nn+nn+aux++=having
reached ^vbd+++xvbn+=reached
the ^ati++++=the
fence ^nn++++=fence
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
to ^to++++=to
mend ^vbi++++=mend.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
two ^cd++++=two
hundred ^cd++++=hundred
thousand ^cd++++=thousand
acres ^nns++++=acres
in ^in++++=in
the ^ati++++=the
head ^nn++++=head-station
- ^zz++++=EXTRAWORD
station ^nn+nom+++=EXTRAWORD
paddock ^nn++++=paddock,
, ^zz++++=EXTRAWORD
according ^in++++=according
to ^in++++=to
Sandy ^jj++++=Sandy
My ^pp$+pp1+++0=M'Gregor,
gregor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
hundred ^cd++++=hundred
thousand ^cd++++=thousand
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
stockmen ^jj+++xvbn+=stockmen,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
ridden ^vprf+++xvbnx+=ridden
over ^in++++=over
it ^pp3+it+++=it
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
knew ^vbd+vprv++xvbn+=knew
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
were ^vbd+bed+aux++=were
numbered ^vpsv++agls+xvbnx+=numbered
in ^in++++=in
tens ^cds++++=tens
of ^in++++=of
thousands ^cds++++=thousands,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sheep ^nn++++=sheep
in ^in++++=in
mobs ^nns++++=mobs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
employees ^nns+nom+++=employees
chiefly ^rb++++=chiefly
by ^in++++=by
the ^ati++++=the
gaps ^nns++++=gaps
they ^pp3a+pp3+++=they
left ^vbd+++xvbnx+=left.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
Buckalong ^np+++??+=Buckalong
was ^vbd+bedz+aux++=was
worked ^vpsv++by+xvbnx+=worked
by ^in++++=by
Sandy ^jj++++=Sandy,
, ^zz++++=EXTRAWORD
six ^cd++++=six
stockmen ^jj+++xvbn+=stockmen,
, ^zz++++=EXTRAWORD
three ^cd++++=three
boundary ^nn+nom+++=boundary
riders ^nns++++=riders,
, ^zz++++=EXTRAWORD
a ^at++++=a
cook ^nn++++=cook
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
leaving ^vbg+++xvbgx+=leaving,
, ^zz++++=EXTRAWORD
