# ^zz++++=##
# ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
and ^cc++++=and
Sloppy ^jj+atrb+++=Sloppy
Weather ^nn++++=Weather
After ^cs+sub+++=After
supper ^nn++++=supper
the ^ati++++=the
cook ^nn++++=cook
flung ^vbd+++xvbn+=flung
his ^pp$+pp3+++=his
dish ^nn++++=dish-water
- ^zz++++=EXTRAWORD
water ^nn++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
with ^in++++=with
a ^at++++=a
sound ^nn++++=sound
like ^in++++=like
a ^at++++=a
brief ^jj+atrb+++=brief
shower ^nn++++=shower
upon ^in++++=upon
the ^ati++++=the
sage ^nn++++=sage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bunt ^np+++??+=Bunt
and ^cc++++=and
I ^pp1a+pp1+++=I
saddled ^vbd+++xvbnx+=saddled
for ^in++++=for
the ^ati++++=the
middle ^jjb+atrb+++=middle
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
uneasy ^jj++++=uneasy
since ^in++++=since
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
A ^at++++=A
dry ^jj+atrb+++=dry
wind ^nn++++=wind
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
Lost ^vbd+++xvbn+=Lost
River ^npl++++=River
country ^nn++++=country,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
with ^in++++=with
it ^pp3+it+++=it
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
distant ^jj+atrb+++=distant
rain ^nn++++=rain
that ^tht+rel+subj++=that
never ^rb++++=never
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
herd ^nn++++=herd
had ^vbd+hvd+aux++=had
lifted ^vprf+++xvbnx+=lifted
its ^pp$+it+++=its
many ^ap++++=many
heads ^nns++++=heads
to ^in++++=to
that ^dt+dem+++=that
deceptive ^jj+atrb+++=deceptive
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
All ^abn++++=All
afternoon ^nn++++=afternoon
the ^ati++++=the
animals ^nns+nom+++=animals
had ^vbd+hvd+aux++=had
drifted ^vprf+++xvbnx+=drifted
against ^in++++=against
the ^ati++++=the
riders ^nns++++=riders,
, ^zz++++=EXTRAWORD
lowing ^jj+++xvbg+=lowing,
, ^zz++++=EXTRAWORD
milling ^vbg+nom++xvbg+=milling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pressing ^nvbg+++xvbg+=pressing
their ^pp$+pp3+++=their
horns ^nns++++=horns
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
after ^cs+sub+++=after
dark ^jj++++=dark
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
