On ^in++++=On
the ^ati++++=the
first ^od++++=first
warm ^vb++++=warm
Sunday ^nr++++=Sunday
of ^in++++=of
April ^nr++++=April,
, ^zz++++=EXTRAWORD
Paris ^np++++=Paris
awoke ^vbd+++xvbn+=awoke
with ^in++++=with
the ^ati++++=the
imprudent ^jj+atrb+++=imprudent
gaiety ^nn++++=gaiety
of ^in++++=of
a ^at++++=a
convalescent ^jj++++=convalescent
who ^whp+who+++=who
throws ^vbz++++=throws
his ^pp$+pp3+++=his
medicine ^nn++++=medicine
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Spring ^vb++++=Spring
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
city ^nn++++=city
during ^in++++=during
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shone ^vbd+++xvbn+=shone
upon ^in++++=upon
the ^ati++++=the
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
trembled ^j+++xvbn+=trembled
in ^in++++=in
the ^ati++++=the
fresh ^jj+atrb+++=fresh
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
boulevards ^nns++++=boulevards,
, ^zz++++=EXTRAWORD
floated ^j+++xvbn+=floated
over ^in++++=over
the ^ati++++=the
river ^nn++++=river
in ^in++++=in
a ^at++++=a
pale ^nn++++=pale
golden ^jj+atrb+++=golden
vapor ^nn++++=vapor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crept ^vpsv++agls+xvbn+=crept
beneath ^in+pl+++=beneath
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
coat ^nn++++=coat
with ^in++++=with
a ^at++++=a
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
perfumed ^jj+atrb++xvbn+=perfumed
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chest ^nn++++=chest
expanded ^vbd+++xvbn+=expanded;
; ^zz++++=EXTRAWORD
the ^ati++++=the
eyes ^nns++++=eyes
sought ^vbd+++xvbn+=sought
smiling ^jj+atrb++xvbg+=smiling
faces ^nns++++=faces;
; ^zz++++=EXTRAWORD
the ^ati++++=the
feet ^nns++++=feet
refused ^vbd+++xvbn+=refused
all ^abn++++=all
reasonable ^jj+atrb+++=reasonable
destinations ^nns+nom+++=destinations.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
old ^jj+atrb+++=old
houses ^nns++++=houses
seemed ^vbd+seem++xvbn+=seemed
less ^rbr++++=less
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
their ^pp$+pp3+++=their
gray ^np++++=gray
walls ^nns++++=walls
remembered ^vwbn+vprv++xvbn+=remembered
youthful ^jj+atrb+++=youthful
escapades ^nns++++=escapades.
. ^zz++++=EXTRAWORD
Shopgirls ^np+++??+=Shopgirls
walked ^vbd+++xvbn+=walked
two ^cd++++=two
by ^in++++=by
two ^cd++++=two
beneath ^in+pl+++=beneath
the ^ati++++=the
budding ^jj+atrb+++=budding
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers
stared ^vbd+++xvbn+=stared
after ^in++++=after
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
clerks ^nns++++=clerks
escaped ^vbd+++xvbn+=escaped
from ^in++++=from
their ^pp$+pp3+++=their
offices ^nns++++=offices
with ^in++++=with
the ^ati++++=the
haste ^nn++++=haste
of ^in++++=of
prisoners ^nns+nom+++=prisoners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
everywhere ^rb++++=everywhere
one ^cd1++++=one
heard ^vbd+vprv++xvbn+=heard
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
fragments ^nns+nom+++=fragments
of ^in++++=of
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
invitations ^nns+nom+++=invitations
shouted ^vbd+vpub++xvbn+=shouted
across ^in+pl+++=across
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
morning ^nn++++=morning
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
capable ^jj++++=capable
of ^in++++=of
everything ^pn++++=everything
of ^in++++=of
travel ^nn++++=travel,
, ^zz++++=EXTRAWORD
of ^in++++=of
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
of ^in++++=of
devotion ^nn+nom+++=devotion,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
even ^rb++++=even
of ^in++++=of
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
misfortune ^nn++++=misfortune
in ^in++++=in
winter ^nn++++=winter
and ^cc++++=and
a ^at++++=a
catastrophe ^nn++++=catastrophe
in ^in++++=in
spring ^nn++++=spring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sunshine ^nn++++=sunshine
made ^vbd+++xvbn+=made
my ^pp$+pp1+++=my
solitude ^nn++++=solitude
conspicuous ^jj++++=conspicuous.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
point ^vbi++++=point
at ^in++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
cry ^nn++++=cry:
: ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
fellow ^jjb++++=fellow!
! ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
is ^vbz+bez+aux++=is
putting ^vbg+++xvbgx+=putting
on ^rb+phrv+++=on
green ^nn++++=green,
, ^zz++++=EXTRAWORD
the ^ati++++=the
birds ^nns++++=birds
have ^vb+hv+aux++=have
chosen ^vprf+++xvbnx+=chosen
their ^pp$+pp3+++=their
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river
carries ^vbz++++=carries
couples ^nns++++=couples
beneath ^in+pl+++=beneath
its ^pp$+it+++=its
bridges ^nns++++=bridges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
to ^in++++=to
lunch ^nn++++=lunch
alone ^rb++++=alone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
fled ^vbd+++xvbnx+=fled
toward ^in++++=toward
the ^ati++++=the
Seine ^nn++++=Seine.
. ^zz++++=EXTRAWORD
A ^at++++=A
steamer ^nn++++=steamer
was ^vbd+bedz+aux++=was
leaving ^vbg+++xvbgx+=leaving
for ^in++++=for
Saint ^nn++++=Saint-Cloud.
- ^zz++++=EXTRAWORD
cloud ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
