# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
Tales ^nns++++=Tales
of ^in++++=of
Gogol ^np+++??+=Gogol
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
writers ^nns+nom+++=writers
whom ^whp+rel+obj++=whom
we ^pp1a+pp1+++=we
admire ^vb++++=admire
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
raise ^vb++++=raise
nature ^nn++++=nature
above ^rb++++=above
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
surprise ^nn++++=surprise
her ^pp$+pp3+++=her
in ^in++++=in
undress ^nn++++=undress.
. ^zz++++=EXTRAWORD
Gogol ^np+++??+=Gogol
belongs ^vbz++++=belongs,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
judge ^vb++++=judge,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
latter ^ap++++=latter
and ^cc++++=and
less ^rbr++++=less
ceremonious ^jj+atrb+++=ceremonious
family ^nn++++=family.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=does
not ^xnot++not++=not
conduct ^vb++++=conduct
mankind ^nn++++=mankind
into ^in++++=into
a ^at++++=a
hall ^npl++++=hall
illuminated ^vbd+++xvbn+=illuminated
for ^in++++=for
tragedy ^nn++++=tragedy,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
into ^in++++=into
a ^at++++=a
garden ^npl++++=garden
arranged ^vwbn+vsua++xvbn+=arranged
for ^in++++=for
love ^nn++++=love;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
catches ^vbz++++=catches
it ^pp3+it+++=it
in ^in++++=in
an ^at++++=an
inn ^nn++++=inn-yard,
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
disputing ^vbg+++xvbg+=disputing
about ^in++++=about
a ^at++++=a
wheel ^nn++++=wheel,
, ^zz++++=EXTRAWORD
hiding ^vbg+++xvbg+=hiding
a ^at++++=a
bribe ^nn++++=bribe
beneath ^in+pl+++=beneath
official ^jj+atrb+++=official
papers ^nns++++=papers,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
examining ^jj+++xvbg+=examining
with ^in++++=with
melancholy ^jj+atrb+++=melancholy
solicitude ^nn+++??+=solicitude
the ^ati++++=the
vacancy ^nn++++=vacancy
left ^vwbn+++xvbn+=left
by ^in++++=by
a ^at++++=a
front ^jjb+atrb+++=front
tooth ^nn++++=tooth.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
escapes ^nns++++=escapes
him ^pp3o+pp3+++=him
not ^xnot++not++=not
the ^ati++++=the
greasy ^jj+atrb+++=greasy
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
the ^ati++++=the
submissive ^jj+atrb+++=submissive
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
the ^ati++++=the
importance ^nn+nom+++=importance
assumed ^vwbn+vprv++xvbn+=assumed
by ^in++++=by
a ^at++++=a
provincial ^jj+atrb+++=provincial
secretary ^nn+nom+++=secretary
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
sharpens ^nns+++??+=sharpens
his ^pp$+pp3+++=his
pen ^nn++++=pen.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
observation ^nn+nom+++=observation
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
exact ^jj++++=exact
that ^cs+sub+++=that
one ^cd1++++=one
suspects ^nns++++=suspects
him ^pp3o+pp3+++=him
of ^in++++=of
having ^nn+nn+aux++=having
served ^vbd+++xvbn+=served
alternately ^rb++++=alternately
as ^ql++++=as
clerk ^np++++=clerk,
, ^zz++++=EXTRAWORD
landlord ^nn++++=landlord,
, ^zz++++=EXTRAWORD
postmaster ^nn+nom+++=postmaster,
, ^zz++++=EXTRAWORD
police ^nns++++=police-agent,
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kitchen ^nn++++=kitchen-maid;
- ^zz++++=EXTRAWORD
maid ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
this ^dt+dem+++=this
universality ^nn+nom+++=universality
of ^in++++=of
experience ^nn+nom+++=experience
is ^vbz+bez+vrb++=is
perhaps ^rb++++=perhaps
no ^at++++=no
more ^rbr++++=more
mysterious ^jj++++=mysterious
than ^in++++=than
the ^ati++++=the
eye ^nn++++=eye
of ^in++++=of
a ^at++++=a
great ^jj+atrb+++=great
painter ^nn++++=painter,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
finds ^vbz+vprv+++=finds
in ^in++++=in
a ^at++++=a
gesture ^nn++++=gesture
the ^ati++++=the
biography ^nn++++=biography
of ^in++++=of
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
first ^od++++=first
merit ^vb++++=merit,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
life ^nn++++=life.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
people ^nns++++=people
enter ^vb++++=enter
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
announced ^vpsv++agls+xvbnx+=announced;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
hears ^vbz+vprv+++=hears
their ^pp$+pp3+++=their
boots ^nns++++=boots
in ^in++++=in
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
A ^at++++=A
novelist ^nn+nom+++=novelist
of ^in++++=of
inferior ^jj+atrb+++=inferior
faculty ^nn++++=faculty
informs ^vbz++++=informs
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
his ^pp$+pp3+++=his
magistrate ^nn+nom+++=magistrate
is ^vbz+bez+vrb++=is
vain ^jj+pred+++=vain,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
landowner ^nn+nom+++=landowner
avaricious ^jj++++=avaricious,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
widow ^nn++++=widow
credulous ^jj++++=credulous;
; ^zz++++=EXTRAWORD
Gogol ^np+++??+=Gogol
gives ^vbz++++=gives
the ^ati++++=the
magistrate ^nn+nom+++=magistrate
a ^at++++=a
new ^jj+atrb+++=new
