For ^in++++=For
three ^cd++++=three
evenings ^nns++++=evenings
the ^ati++++=the
upper ^jjb+atrb+++=upper
window ^nn++++=window
remained ^vbd+++xvbn+=remained
lighted ^vbd+++xvbn+=lighted
after ^cs+sub+++=after
the ^ati++++=the
other ^ap++++=other
houses ^nns++++=houses
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
time ^nn++++=time
I ^pp1a+pp1+++=I
passed ^vbd+++xvbnx+=passed
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
for ^in++++=for
the ^ati++++=the
square ^nn++++=square
of ^in++++=of
yellow ^jj++++=yellow
above ^jjb++++=above
the ^ati++++=the
shop ^nn++++=shop-sign.
- ^zz++++=EXTRAWORD
sign ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
Flynn ^np+++??+=Flynn
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
another ^dt++++=another
stroke ^nn++++=stroke,
, ^zz++++=EXTRAWORD
the ^ati++++=the
third ^nn++++=third,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
aunt ^npt++++=aunt
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
rallying ^jj+++xvbg+=rallying
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
lamp ^nn++++=lamp
continued ^vbd+++xvbn+=continued
to ^to++++=to
burn ^vbi++++=burn
behind ^in+pl+++=behind
the ^ati++++=the
blind ^jj++++=blind
as ^cs+sub+++=as
if ^cs+cnd+++=if
somebody ^pn++++=somebody
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there
keeping ^xvbg+++xvbg+=keeping
watch ^vb++++=watch
upon ^in++++=upon
a ^at++++=a
lesson ^nn++++=lesson
not ^xnot++not++=not
yet ^rb++++=yet
finished ^vprf+++xvbn+=finished.
. ^zz++++=EXTRAWORD
On ^in++++=On
Thursday ^nr++++=Thursday
morning ^nn++++=morning
the ^ati++++=the
blind ^jj++++=blind
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
down ^rp++++=down.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
before ^cs+sub+++=before
anyone ^pn++++=anyone
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
milk ^nn++++=milk-boy
- ^zz++++=EXTRAWORD
boy ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
cart ^np++++=cart
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
women ^nns++++=women
stood ^vbd+++xvbn+=stood
beneath ^in+pl+++=beneath
the ^ati++++=the
sign ^vb++++=sign
whispering ^jj+++xvbg+=whispering,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
shawls ^vbz+++??+=shawls
pulled ^vbd+++xvbn+=pulled
close ^jj++++=close
though ^cs+sub+++=though
the ^ati++++=the
morning ^nn++++=morning
was ^vbd+bedz+vrb++=was
mild ^jj+pred+++=mild.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
crossed ^vbd+++xvbn+=crossed
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
on ^in++++=on
without ^in++++=without
