I ^pp1a+pp1+++=I
Trade ^nn++++=Trade
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
of ^in++++=of
Nottingham ^np++++=Nottingham
like ^in++++=like
a ^at++++=a
dishonest ^jj++++=dishonest
lodger ^jjr++++=lodger,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
behind ^rb+phrv+++=behind
unpaid ^jj+atrb+++=unpaid
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
grates ^vbz++++=grates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
offended ^jj+atrb++xvbn+=offended
landlord ^nn++++=landlord
in ^in++++=in
every ^at++++=every
street ^nn++++=street.
. ^zz++++=EXTRAWORD
Trade ^nn++++=Trade
mysterious ^jj+atrb+++=mysterious
word ^nn++++=word,
, ^zz++++=EXTRAWORD
respectable ^jj+atrb+++=respectable
word ^nn++++=word,
, ^zz++++=EXTRAWORD
god ^np++++=god
and ^cc++++=and
devil ^nn++++=devil
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
the ^ati++++=the
hosiery ^nn+nom+++=hosiery
frames ^nns++++=frames,
, ^zz++++=EXTRAWORD
emptied ^xvbn+++xvbn+=emptied
the ^ati++++=the
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
shortened ^jj++++=shortened
the ^ati++++=the
bakers ^nns++++=bakers'
' ^zz++++=EXTRAWORD
credit ^nn++++=credit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^xvbn+++xvbn+=set
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
complained ^vprf+++xvbnx+=complained
of ^in++++=of
work ^nn++++=work
to ^to++++=to
wandering ^vbi++++=wandering
all ^abn++++=all
day ^nn++++=day
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Trade ^nn++++=Trade
had ^vbd+hvd+aux++=had
shut ^vprf+++xvbnx+=shut
one ^cd1++++=one
factory ^nn++++=factory,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another,
, ^zz++++=EXTRAWORD
without ^in++++=without
laying ^xvbg+++xvbg+=laying
a ^at++++=a
visible ^jj+atrb+++=visible
hand ^nn++++=hand
upon ^in++++=upon
either ^dtx++++=either.
. ^zz++++=EXTRAWORD
Trade ^nn++++=Trade
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
the ^ati++++=the
public ^jj++++=public-houses
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
noisy ^jj++++=noisy
in ^in++++=in
