Even ^rb++++=Even
a ^at++++=a
stranger ^nn+nom+++=stranger
to ^in++++=to
the ^ati++++=the
big ^jj+atrb+++=big
town ^nn++++=town
walking ^vwbg+++xvbg+=walking
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
through ^in++++=through
London ^np++++=London,
, ^zz++++=EXTRAWORD
sees ^vbz+vprv+++=sees
on ^in++++=on
the ^ati++++=the
sides ^nns++++=sides
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
many ^ap++++=many
names ^nns++++=names
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
familiar ^jj++++=familiar.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
precognition ^nn+nom+++=precognition
has ^vbz+hvz+vrb++=has
cost ^nn++++=cost
the ^ati++++=the
firms ^nns++++=firms
those ^dt+dem+++=those
names ^nns++++=names
represent ^vb++++=represent
much ^ap++++=much
money ^nn++++=money
in ^in++++=in
advertising ^xvbg+++xvbg+=advertising.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger
has ^vbz+hvz+aux++=has
had ^vb+hv+vrb++=had
the ^ati++++=the
names ^nns++++=names
before ^cs+sub+++=before
him ^pp3o+pp3+++=him
for ^in++++=for
years ^nns++++=years
in ^in++++=in
newspapers ^nns+nom+++=newspapers
and ^cc++++=and
magazines ^nns++++=magazines,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
hoardings ^nns++++=hoardings
and ^cc++++=and
boards ^nns++++=boards
by ^in++++=by
the ^ati++++=the
railway ^nn++++=railway
side ^nn++++=side,
, ^zz++++=EXTRAWORD
paying ^vbg+++xvbg+=paying
little ^ap++++=little
heed ^nn++++=heed
to ^in++++=to
them ^pp3o+pp3+++=them
at ^in++++=at
the ^ati++++=the
time ^nn++++=time;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
indelibly ^rb++splt++=indelibly
impressed ^vpsv++agls+xvbn+=impressed
on ^in++++=on
his ^pp$+pp3+++=his
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
wishes ^nns++++=wishes
soap ^nn++++=soap
or ^cc++++=or
pills ^nns++++=pills
his ^pp$+pp3+++=his
lips ^nns++++=lips
almost ^rb+hdg+++=almost
automatically ^rb++++=automatically
frame ^vb++++=frame
the ^ati++++=the
words ^nns++++=words
most ^ql+emph+++=most
familiar ^jj++++=familiar
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
are ^vb+ber+vrb++=are
the ^ati++++=the
lavish ^nn++++=lavish
sums ^vbz++++=sums
spent ^vbd+++xvbn+=spent
in ^in++++=in
advertising ^nn++++=advertising
justified ^vwbn+++xvbn+=justified,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
are ^vb+ber+vrb++=are
many ^ap++++=many
excellent ^jj+atrb+++=excellent
publications ^nns+nom+++=publications
made ^vbd+++xvbn+=made
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
ponder ^vbi++++=ponder
over ^in++++=over
the ^ati++++=the
matter ^nn++++=matter,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
strange ^jj++++=strange
that ^tht+jcmp+++=that
there ^ex+pex+++=there
should ^md+nec+++=should
ever ^rb++++=ever
be ^vb+be+vrb++=be
any ^dti++++=any
real ^jj+atrb+++=real
man ^nn++++=man
behind ^in+pl+++=behind
the ^ati++++=the
names ^nns++++=names
so ^rb++++=so
lavishly ^rb++++=lavishly
advertised ^jj+++xvbn+=advertised;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
should ^md+nec+++=should
be ^vb+be+vrb++=be
a ^at++++=a
genuine ^jj+atrb+++=genuine
Smith ^np++++=Smith
or ^cc++++=or
Jones ^np++++=Jones
whose ^whp+rel+obj++=whose
justly ^rb++++=justly
celebrated ^jj+atrb++xvbn+=celebrated
medicines ^nns++++=medicines
work ^nn++++=work
such ^abl++++=such
wonders ^nns+nom+++=wonders,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whose ^whp+who+++=whose
soap ^nn++++=soap
will ^md+prd+++=will
clean ^jj++++=clean
even ^rb++++=even
a ^at++++=a
guilty ^jj+atrb+++=guilty
conscience ^nn+nom+++=conscience.
. ^zz++++=EXTRAWORD
Granting ^np+++??+=Granting
the ^ati++++=the
actual ^jj+atrb+++=actual
