Vienna ^np++++=VIENNA,
, ^zz++++=EXTRAWORD
January ^nr+nom+++=January
5 ^zz++++=5--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
find ^vb+vprv+++=find
in ^in++++=in
this ^dt+dem+++=this
morning ^nn++++=morning's
's ^$++++=EXTRAWORD
papers ^nns++++=papers
the ^ati++++=the
statement ^nn+nom+++=statement
that ^tht+ncmp+++=that
the ^ati++++=the
Government ^nn+nom+++=Government
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
has ^vbz+hvz+aux++=has
paid ^vprf+++xvbnx+=paid
to ^in++++=to
the ^ati++++=the
two ^cd++++=two
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
Peace ^nn++++=Peace
Commission ^nn++++=Commission
entitled ^vwbn+++xvbn+=entitled
to ^to++++=to
receive ^vbi++++=receive
money ^nn++++=money
for ^in++++=for
their ^pp$+pp3+++=their
services ^nns++++=services
100,000 ^cd++++=100,000
dollars ^nns++++=dollars
each ^dt++++=each
for ^in++++=for
their ^pp$+pp3+++=their
six ^cd++++=six
weeks ^nns++++=weeks'
' ^zz++++=EXTRAWORD
work ^nn++++=work
in ^in++++=in
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^vb++++=hope
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
allow ^vb++++=allow
myself ^ppl+pp1+++=myself
the ^ati++++=the
satisfaction ^nn+nom+++=satisfaction
of ^in++++=of
considering ^vb+++xvbg+=considering
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
treating ^xvbg+++xvbg+=treating
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
