Sir ^npt++++=Sir
Henry ^np++++=Henry
Marquis ^npt++++=Marquis
continued ^vbd+++xvbn+=continued
to ^to++++=to
read ^vbn+vprv++xvbn+=read;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
no ^at++++=no
comment ^nn+nom+++=comment;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
voice ^nn++++=voice
clear ^jj++++=clear
and ^cc++++=and
even ^rb++++=even.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big
sunny ^jj+atrb+++=sunny
room ^nn++++=room.
. ^zz++++=EXTRAWORD
The ^ati++++=The
long ^jj+atrb+++=long
windows ^nns++++=windows
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
on ^in++++=on
a ^at++++=a
formal ^jj+atrb+++=formal
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
beech ^np++++=beech
trees ^nns++++=trees
and ^cc++++=and
the ^ati++++=the
bow ^nn++++=bow
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
library ^nn+nom+++=library.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
bookcases ^vbz+++??+=bookcases
built ^vbd+++xvbn+=built
into ^in++++=into
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
height ^nn++++=height
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
intervals ^nns+nom+++=intervals
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
from ^in++++=from
the ^ati++++=the
floor ^nn++++=floor
to ^in++++=to
the ^ati++++=the
cornice ^nn+++??+=cornice
of ^in++++=of
the ^ati++++=the
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
rows ^nns++++=rows
of ^in++++=of
mahogany ^nn++++=mahogany
drawers ^nns+nom+++=drawers
with ^in++++=with
glass ^nn++++=glass
knobs ^nns+++??+=knobs.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
also ^rb++++=also
a ^at++++=a
flat ^nn++++=flat
writing ^vwbg+++xvbg+=writing
table ^nn++++=table.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
room ^nn++++=room
of ^in++++=of
a ^at++++=a
traveler ^jjr++++=traveler,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
a ^at++++=a
dreamer ^nn++++=dreamer.
. ^zz++++=EXTRAWORD
