It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
between ^in++++=between
six ^cd++++=six
and ^cc++++=and
seven ^cd++++=seven
o'clock ^rb++++=o'clock
on ^in++++=on
a ^at++++=a
fine ^jj+atrb+++=fine
September ^nr+nom+++=September
morning ^nn++++=morning
when ^wrb+who+++=when
the ^ati++++=the
eighteen ^cd++++=eighteen-months-old
- ^zz++++=EXTRAWORD
months ^nns++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
pointer ^nn++++=pointer,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
a ^at++++=a
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
long ^jj++++=long-eared,
- ^zz++++=EXTRAWORD
eared ^jj+atrb++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
frisky ^jj+atrb+++=frisky
animal ^nn++++=animal,
, ^zz++++=EXTRAWORD
started ^j+++xvbn+=started
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
Annushka ^np+++??+=Annushka,
, ^zz++++=EXTRAWORD
to ^in++++=to
market ^nn++++=market.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
way ^nn++++=way
perfectly ^rb+amp+++=perfectly
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
ran ^vbd+++xvbn+=ran
confidently ^rb++++=confidently
on ^in++++=on
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
sniffing ^vbg+++xvbg+=sniffing
at ^in++++=at
the ^ati++++=the
curbstones ^nns+++??+=curbstones
as ^ql++++=as
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
and ^cc+phrs+++=and
stopping ^vbg+++xvbg+=stopping
at ^rb++++=at
the ^ati++++=the
crossings ^nns++++=crossings
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
Annushka ^np+++??+=Annushka
were ^vbd+bed+aux++=were
following ^vbg+++xvbgx+=following.
. ^zz++++=EXTRAWORD
Finding ^vbg+++xvbg+=Finding
affirmation ^nn+nom+++=affirmation
in ^in++++=in
her ^pp$+pp3+++=her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
direction ^nn+nom+++=direction
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
turn ^vb++++=turn
again ^rb+tm+++=again
with ^in++++=with
a ^at++++=a
decisive ^jj+atrb+++=decisive
movement ^nn+nom+++=movement
and ^cc++++=and
rush ^nn++++=rush
on ^in++++=on
in ^in++++=in
a ^at++++=a
lively ^jj+atrb+++=lively
gallop ^nn++++=gallop.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
