There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
bad ^jj+atrb+++=bad
blood ^nn++++=blood
between ^in++++=between
the ^ati++++=the
captain ^nn++++=captain
and ^cc++++=and
mate ^nn++++=mate
who ^whp+rel+subj++=who
comprised ^vbd+++xvbn+=comprised
the ^ati++++=the
officers ^nns+nom+++=officers
and ^cc++++=and
crew ^nn++++=crew
of ^in++++=of
the ^ati++++=the
sailing ^jj+++xvbg+=sailing-barge
- ^zz++++=EXTRAWORD
barge ^nn++++=EXTRAWORD
" ^zz++++="_Swallow_";
_swallow_ ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
outset ^nn++++=outset
of ^in++++=of
their ^pp$+pp3+++=their
voyage ^nn++++=voyage
from ^in++++=from
London ^np++++=London
to ^in++++=to
Littleport ^np+++??+=Littleport
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
glum ^jj+atrb+++=glum
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
As ^in++++=As
far ^in"+pl+++=far
as ^in"++++=as
the ^ati++++=the
Nore ^np+++??+=Nore
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
spoken ^vprf+++xvbnx+=spoken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
little ^rb++++=little
did ^vbd+dod+aux++=did
pass ^nn++++=pass
was ^vbd+bedz+vrb++=was
mainly ^rb++++=mainly
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
threats ^nns++++=threats
and ^cc++++=and
abuse ^nn++++=abuse.
. ^zz++++=EXTRAWORD
Evening ^nn++++=Evening,
, ^zz++++=EXTRAWORD
chill ^vb++++=chill
and ^cc++++=and
overcast ^jj++++=overcast,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
drawing ^vbg+++xvbgx+=drawing
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
distant ^jj+atrb+++=distant
craft ^nn++++=craft
disappeared ^vbd+seem++xvbn+=disappeared
somewhere ^rb++++=somewhere
between ^in++++=between
the ^ati++++=the
waste ^nn++++=waste
of ^in++++=of
waters ^nns++++=waters
and ^cc++++=and
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
side ^nn++++=side-lights
- ^zz++++=EXTRAWORD
lights ^nns++++=EXTRAWORD
of ^in++++=of
neighbouring ^jj+atrb+++=neighbouring
vessels ^nns++++=vessels
were ^vbd+bed+aux++=were
beginning ^vbg+++xvbgx+=beginning
to ^to++++=to
shine ^vbi++++=shine
over ^in++++=over
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
rain ^nn++++=rain
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
unfavourable ^jj+pred+++=unfavourable
to ^to++++=to
much ^ap++++=much
progress ^nns+nom+++=progress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
trough ^nn++++=trough
of ^in++++=of
the ^ati++++=the
sea ^npl++++=sea
got ^vbd+++xvbn+=got
deeper ^jjr++++=deeper
as ^in++++=as
the ^ati++++=the
waves ^nns++++=waves
ran ^vbd+++xvbn+=ran
higher ^jjr++++=higher
and ^cc+phrs+++=and
splashed ^jj+++xvbn+=splashed
by ^in++++=by
the ^ati++++=the
barge ^nn++++=barge's
's ^$++++=EXTRAWORD
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
the ^ati++++=the
side ^nn++++=side-lights
- ^zz++++=EXTRAWORD
lights ^nns++++=EXTRAWORD
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
growled ^vbd+++xvbn+=growled
the ^ati++++=the
skipper ^nn++++=skipper,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
helm ^np++++=helm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mate ^nn++++=mate,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj++++=black-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fierce ^jj++++=fierce-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
fellow ^jjb++++=fellow
of ^in++++=of
about ^in++++=about
twenty ^cd++++=twenty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
about ^in++++=about
the ^ati++++=the
task ^nn++++=task
with ^in++++=with
much ^ap++++=much
deliberation ^nn+nom+++=deliberation.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
look ^vb++++=look
lively ^jj++++=lively,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
lump ^nn++++=lump,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
none ^pn++++=none
of ^in++++=of
your ^pp$+pp2+++=your
lip ^nn++++=lip,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
mate ^nn++++=mate
furiously ^rb++++=furiously;
; ^zz++++=EXTRAWORD
" ^zz++++="so
so ^ql++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
give ^vb++++=give
me ^pp1o+pp1+++=me
none ^rb++++=none."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^nn++++=skipper
yawned ^vbd+++xvbn+=yawned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretching ^nvbg+++xvbg+=stretching
his ^pp$+pp3+++=his
mighty ^ql++++=mighty
frame ^np++++=frame
laughed ^vbd+++xvbn+=laughed
disagreeably ^rb++++=disagreeably.
