That ^dt+dem+++=That
very ^ql+amp+++=very
singular ^nn++++=singular
man ^nn++++=man,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger,
, ^zz++++=EXTRAWORD
once ^cs+tm+++=once
invited ^vprf+++xvbn+=invited
four ^cd++++=four
venerable ^jj+atrb+++=venerable
friends ^nns++++=friends
to ^to++++=to
meet ^vbi++++=meet
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
study ^nn++++=study.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
white ^jj++++=white-bearded
- ^zz++++=EXTRAWORD
bearded ^jj+atrb+++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medbourne ^np++++=Medbourne,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Killigrew ^np+++??+=Killigrew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gascoigne ^np++++=Gascoigne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
withered ^jj+++xvbn+=withered
gentlewoman ^jj++++=gentlewoman
whose ^whp+who+++=whose
name ^nn++++=name
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Widow ^nn++++=Widow
Wycherley ^np+++??+=Wycherley.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
all ^abn++++=all
melancholy ^jj+atrb+++=melancholy
old ^jj+atrb+++=old
creatures ^nns++++=creatures,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
unfortunate ^jj++++=unfortunate
in ^in++++=in
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
greatest ^jjt+atrb+++=greatest
misfortune ^nn++++=misfortune
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
long ^rb++++=long
ago ^rb++++=ago
in ^in++++=in
their ^pp$+pp3+++=their
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medbourne ^np++++=Medbourne,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
vigor ^nn++++=vigor
of ^in++++=of
his ^pp$+pp3+++=his
age ^nn++++=age,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
prosperous ^jj+atrb+++=prosperous
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
all ^abn++++=all
by ^in++++=by
a ^at++++=a
frantic ^jj+atrb+++=frantic
speculation ^nn+nom+++=speculation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
no ^at++++=no
little ^ap++++=little
better ^jjr++++=better
than ^in++++=than
a ^at++++=a
mendicant ^nn+nom+++=mendicant.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Killigrew ^np+++??+=Killigrew
had ^vbd+hvd+aux++=had
wasted ^vprf+++xvbnx+=wasted
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
health ^nn++++=health
and ^cc++++=and
substance ^nn+nom+++=substance,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
pursuit ^nn++++=pursuit
of ^in++++=of
sinful ^jj+atrb+++=sinful
pleasures ^nns++++=pleasures,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
birth ^nn++++=birth
to ^in++++=to
a ^at++++=a
brood ^nn++++=brood
of ^in++++=of
pains ^nns++++=pains,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
gout ^nn+++??+=gout
and ^cc++++=and
divers ^nns++++=divers
other ^ap++++=other
torments ^nns+nom+++=torments
of ^in++++=of
soul ^nn++++=soul
and ^cc++++=and
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gascoigne ^np++++=Gascoigne
was ^vbd+bedz+vrb++=was
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
politician ^nn++++=politician,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
evil ^jj+atrb+++=evil
fame ^nn++++=fame,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
time ^nn++++=time
had ^vbd+hvd+aux++=had
buried ^vprf+++xvbnx+=buried
him ^pp3o+pp3+++=him
from ^in++++=from
the ^ati++++=the
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
obscure ^vb++++=obscure
instead ^rb+cnj+++=instead
of ^in++++=of
infamous ^nn++++=infamous.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
Widow ^nn++++=Widow
Wycherley ^np+++??+=Wycherley,
, ^zz++++=EXTRAWORD
tradition ^nn+nom+++=tradition
tells ^vbz++++=tells
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
beauty ^nn++++=beauty
in ^in++++=in
her ^pp$+pp3+++=her
day ^nn++++=day;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
in ^in++++=in
deep ^jj+atrb+++=deep
seclusion ^nn++++=seclusion,
, ^zz++++=EXTRAWORD
on ^in++++=on
account ^nn++++=account
of ^in++++=of
certain ^jj+atrb+++=certain
scandalous ^jj+atrb+++=scandalous
stories ^nns++++=stories
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
prejudiced ^vprf+++xvbnx+=prejudiced
the ^ati++++=the
gentry ^nn++++=gentry
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
against ^in++++=against
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
circumstance ^nn+nom+++=circumstance
worth ^in++++=worth
mentioning ^vb+vpub++xvbg+=mentioning
that ^tht+vcmp+++=that
each ^ppls++++=each
of ^in++++=of
these ^dt+dem+++=these
three ^cd++++=three
old ^jj+atrb+++=old
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medbourne ^np++++=Medbourne,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Killigrew ^np+++??+=Killigrew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gascoigne ^np++++=Gascoigne,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
early ^jj+atrb+++=early
lovers ^nns++++=lovers
of ^in++++=of
the ^ati++++=the
Widow ^nn++++=Widow
Wycherley ^np+++??+=Wycherley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
cutting ^xvbg+++xvbg+=cutting
each ^ppls++++=each
other's ^ppls++++=other's
throats ^nns++++=throats
for ^in++++=for
her ^pp$+pp3+++=her
