The ^ati++++=The
Boundary ^nn+nom+++=Boundary
Every ^at++++=EVERY
Saturday ^nr++++=SATURDAY,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
family ^nn++++=family
comes ^vbz++++=comes
to ^to++++=to
stay ^vbi++++=stay.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
arrive ^vb++++=arrive
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
from ^in++++=from
afar ^rb+cnj+++=afar,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
begin ^vbi++++=begin
their ^pp$+pp3+++=their
vacation ^nn+nom+++=vacation.
. ^zz++++=EXTRAWORD
Others ^aps++++=Others
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
turn ^vb++++=turn
up ^rb+phrv+++=up
until ^in++++=until
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
in ^in++++=in
bad ^jj+atrb+++=bad
moods ^nns++++=moods,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
having ^xvbg+++xvbg+=having
lost ^vprf+++xvbn+=lost
their ^pp$+pp3+++=their
way ^nn++++=way.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
easy ^jj++++=easy
to ^to+jcmp+++=to
get ^vbi++++=get
lost ^vbd+++xvbn+=lost
in ^in++++=in
these ^dt+dem+++=these
hills ^nns++++=hills;
; ^zz++++=EXTRAWORD
the ^ati++++=the
roads ^nns++++=roads
are ^vb+ber+aux++=are
poorly ^rb++splt++=poorly
signposted ^vpsv++agls+xvbnx+=signposted.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
introduce ^vb++++=introduce
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
show ^nn++++=show
them ^pp3o+pp3+++=them
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
mother ^npt++++=mother
used ^md"++pmd"++=used
to ^to++++=to
do ^vb++++=do
the ^ati++++=the
welcoming ^nn++++=welcoming.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
spending ^vbg+++xvbgx+=spending
the ^ati++++=the
summer ^nn++++=summer
in ^in++++=in
a ^at++++=a
nearby ^jjb+atrb+++=nearby
town ^nn++++=town,
, ^zz++++=EXTRAWORD
helping ^vbg+++xvbg+=helping
out ^rp+pl+++=out
an ^at++++=an
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman
who ^whp+rel+obj++=who's
's ^vbz+bez+vrb++0=EXTRAWORD
also ^rb++++=also
on ^in++++=on
vacation ^nn+nom+++=vacation,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
do ^vb++++=do
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
As ^ql++++=As
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
four ^cd++++=four
of ^in++++=of
them ^pp3o+pp3+++=them:
: ^zz++++=EXTRAWORD
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
father ^nn++++=father,
, ^zz++++=EXTRAWORD
two ^cd++++=two
daughters ^nns+nom+++=daughters.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
follow ^vb+vprv+++=follow
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
wide ^jj++++=wide-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
happy ^jj++++=happy
to ^to+jcmp+++=to
stretch ^vbi++++=stretch
their ^pp$+pp3+++=their
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
